node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,dir_7,dir_8,dir_9,dir_10,dir_11,dir_12,dir_13,dir_14,dir_15,dir_16,dir_17,dir_18,dir_19,dir_20,dir_21,dir_22,dir_23,dir_24,dir_25,dir_26,dir_27,dir_28,dir_29,dir_30,dir_31,dir_32,dir_33,dir_34,total
0,119982,68474,69973,59971,119968,329477,168204,95823,46674,53561,357296,59989,39994,55887,92929,60005,57663,47814,69203,63043,71696,96760,64612,26625,44130,33304,48783,143344,56612,73396,109215,56594,26720,26673,39963,2954357
1,55931,69965,61767,49773,63318,396267,79988,115570,53919,86266,294954,81671,39935,63350,24505,57192,54163,69566,15731,78566,48335,76668,50019,76686,63341,57620,73347,56635,83462,36694,71697,63452,83342,59985,103366,2817046
2,56615,99969,89859,89966,43363,340250,68971,139941,99379,63776,279614,54874,115282,45751,77083,64189,70066,53616,89040,20000,56340,45001,50122,26635,66711,46627,30000,65160,43304,20000,96609,86647,34579,60208,59735,2749282
3,89909,69961,65955,99970,54268,333203,51677,29997,131630,131161,282927,76630,59157,36593,66686,113365,66634,36609,56611,86564,46753,69975,34682,59760,73304,43202,56891,16723,104252,83445,67805,61123,46629,66310,57420,2827781
4,109871,46753,53299,44629,88978,250483,66680,53351,19997,179900,366487,107656,53258,46592,13349,110147,26486,46666,48413,76177,75650,80250,55261,61614,63332,51985,66606,69994,53225,63322,33222,73276,29963,71589,54457,2712918
5,101375,63314,113307,73319,162036,267050,49983,44973,24878,19978,119975,83782,43357,43407,32271,59923,87018,36676,67619,63253,68148,52737,19905,67649,63446,65865,61590,48399,51784,43224,54795,80000,64296,26691,65027,2391050
6,383170,477046,326022,558362,402797,244803,365794,288569,438883,641573,260489,481679,719100,608934,500424,468727,415277,761732,418250,578255,512709,527651,385537,579195,809246,422798,456729,491721,480739,483646,537226,366931,517592,632763,569872,17114241
7,96836,62787,31207,33429,23367,437340,95417,56456,179338,107156,116248,184605,191064,103067,62001,60903,102036,47538,117831,89931,81175,118068,68642,114237,68289,74906,50663,73937,87242,70284,113198,88407,138723,89293,74546,3510167
8,106434,53113,46270,33355,452932,165094,156185,123410,90838,110484,128846,236275,216038,78216,106651,101277,40204,103062,79421,75288,87340,143845,64369,172185,66322,122545,31913,64537,123233,95686,88633,70356,28890,108378,146387,3918012
9,169623,26840,34242,410110,94291,98356,90930,85586,87427,98642,105729,203236,344643,146313,124303,119784,73562,146770,67565,107734,134630,52410,126751,130814,59369,74464,119989,101507,77519,117363,39377,79620,62050,56578,70225,3938352
10,143596,49207,365330,80494,64428,81495,82318,87427,58788,79244,125776,68816,240429,88094,66639,102662,59524,54350,56108,56886,108001,105260,126873,145789,29671,55404,75715,103151,69710,140435,82907,162180,122520,105222,97340,3541789
11,213146,313226,48190,74327,81400,81077,90915,82034,113161,129882,101477,81734,303376,90673,64857,81417,118023,116967,91845,161749,40022,95404,28792,23082,144650,65081,79604,81671,47259,37463,80774,57588,79568,86475,143765,3530674
12,511018,91691,99890,85107,103860,95932,68931,119436,67092,52799,9909,93365,252949,109601,94873,71204,112032,75000,142601,85531,62883,137454,45912,84152,146340,92048,53370,91324,99643,57492,99094,61887,79363,94588,83807,3632178
13,91523,93016,114175,106069,69508,67143,115997,144242,29039,24031,28390,30991,207411,54871,100346,81141,78892,79337,65918,98862,70781,43185,127340,34286,75751,56314,128383,89601,23881,121041,75892,100745,86841,52249,104633,2871825
14,177016,58677,83319,53293,69289,155275,85048,31661,46752,23897,26757,36862,233879,98564,53989,112370,69126,118334,59432,68946,20802,27489,83256,45459,110545,51699,125766,118478,91025,100099,58690,129081,77253,92732,102619,2897479
15,155733,142291,139521,104538,60125,131140,91689,32977,109952,76746,77632,375401,197024,61173,112264,87749,76756,48540,118159,31750,129606,76950,61634,46200,101108,119824,130059,49327,157636,61379,100140,50319,121891,74464,117890,3629587
16,67838,22946,63249,33235,37305,39702,37204,43453,84582,58246,307061,68243,54050,84397,51351,59148,67344,84998,55055,50497,57343,64041,56677,71500,21180,26961,36742,104536,36639,48951,63407,56407,45115,48652,106172,2214227
17,128015,64816,56858,42314,3358,54337,73384,60001,29954,50485,335671,42957,33341,103018,52016,23326,64270,76218,30000,62690,19238,35687,42660,41230,44706,22598,63587,47317,20038,56111,70624,43350,31609,36554,78000,2040338
18,20029,76677,43069,50067,20000,50823,81705,85234,79965,29988,319782,49710,66822,75604,33327,13326,57113,49915,20022,50000,47763,37272,45217,59932,62490,45234,30000,71351,33228,68512,50643,41226,23348,32545,51703,1973642
19,33355,33357,139851,29919,82017,62080,66631,64676,30030,44975,273076,104787,79861,56701,24472,79861,52512,29974,59713,38432,52412,53195,36652,91459,55681,41244,67250,42996,115452,77835,43358,26680,59224,27514,43032,2220264
20,81044,80142,23353,153637,30000,71392,73509,51832,66618,60219,362655,106157,36605,61073,54345,83915,56556,25076,38113,25148,43526,57580,29172,46033,69181,64545,46549,40975,60801,66752,53096,30000,43416,39564,55752,2288331
21,107615,155562,98920,81629,282250,87801,123083,135709,142832,61406,89255,142377,667963,376678,422793,515529,531690,678121,561418,555386,583409,500901,484065,583025,482679,481919,458022,501720,507174,507511,497107,529661,663497,475072,562799,13636578
