node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,dir_7,dir_8,dir_9,dir_10,dir_11,dir_12,dir_13,dir_14,dir_15,dir_16,dir_17,dir_18,dir_19,dir_20,dir_21,dir_22,dir_23,dir_24,dir_25,dir_26,dir_27,dir_28,dir_29,dir_30,dir_31,dir_32,dir_33,dir_34,dir_35,dir_36,dir_37,dir_38,dir_39,dir_40,dir_41,dir_42,total
0,201284,210046,175255,302214,145712,218743,166081,145533,134139,125696,180273,123707,109004,689828,72732,104098,74520,133383,145376,62238,66601,83793,69357,66818,79403,188669,99674,130301,150756,185647,206291,90946,48539,218817,231823,133046,96406,68566,152518,152945,122133,157037,40670,6360618
1,110285,242360,84971,71910,311952,68192,172185,107963,141510,91491,61823,56712,188684,270098,331383,144676,191730,138402,128321,163279,142361,138664,138022,34716,151052,121935,112480,115273,69712,198741,84803,77507,94276,53057,185453,161035,166293,137608,155590,162427,181008,51819,25589,5837348
2,240209,175488,133976,167797,208520,253016,227472,98161,196679,108681,121129,210322,271002,97759,307592,241394,238143,266958,173299,149546,201373,250636,152198,107089,255012,152564,125573,72302,106911,161334,186251,234109,188998,90481,168198,122655,181113,109074,129502,109775,78627,172011,68489,7311418
3,302997,202229,116951,263255,273179,180790,248738,192226,260830,187596,72630,168363,77174,558273,112323,82605,77836,90754,118743,100513,125415,48939,138497,43066,57905,101399,161428,115429,129569,186875,180522,169232,120138,59848,126721,189140,152328,86365,76128,172534,112397,162982,143848,6548710
4,183434,159768,164060,133004,65720,97669,49959,78176,78039,76411,153185,26544,131537,601880,99539,131559,118264,157279,85561,90448,96932,87669,118480,87815,13382,95626,91895,113747,48397,117162,94134,50240,74814,87999,85193,76051,112151,133335,78449,71906,72778,93436,70375,4654002
5,242459,117469,216102,195629,138335,74328,135563,171901,162534,79594,153253,116593,65571,651691,58219,59774,91758,197627,72270,117507,110087,134395,122130,67658,56545,134716,165540,139917,82579,74621,140359,137757,157040,137789,6048,90115,80556,115521,59790,128637,84433,73540,69285,5487235
6,247319,81081,154876,206953,49459,61709,107590,301338,110929,181559,217376,104874,95538,513240,145073,60187,93978,114863,72203,79768,68038,87230,48697,82667,55771,19939,105350,203499,149516,167067,166558,171069,171440,35728,66589,162195,157918,162831,106785,63565,133663,179863,152702,5718593
7,172238,186778,248552,32083,52096,107174,190773,74622,120814,176899,237144,190304,28556,35935,303364,109163,256585,84628,192211,131485,126613,135495,181219,192934,89992,188048,123998,83934,163687,93668,113375,108319,80663,126338,139478,31577,189592,99600,193593,87696,140154,103426,116536,5841339
8,69042,158067,204285,74676,100982,125070,105893,143555,89066,188258,81957,202930,45948,485094,142267,56081,37643,152731,135282,104952,119869,158228,190455,121626,63305,43775,116058,133808,136466,85500,88011,145456,132631,111579,154250,43930,85311,86241,124916,50840,117757,93189,99692,5206672
9,255387,153038,226471,46731,75233,88998,168207,201763,204393,170934,202080,168934,89826,121685,287871,160450,113798,139229,120287,137540,52729,127308,69162,113204,206522,88791,81750,170174,193934,104094,185768,228735,253920,151052,71207,111898,158633,236393,145668,126668,167200,165714,198040,6541419
