node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,dir_7,dir_8,dir_9,dir_10,dir_11,dir_12,dir_13,dir_14,dir_15,dir_16,total
0,19998,10169,42401,39816,19837,51940,55544,29513,48610,54248,41949,89668,64573,11260,24381,32435,19921,656263
1,23346,26904,30015,38022,24550,38894,20098,17813,21836,19519,12527,48217,39221,4595,27425,3348,35713,432043
2,24764,20001,26124,200,26787,38083,18141,13350,46317,18873,20008,57689,8278,19210,35974,28266,56108,458173
3,39825,28663,16062,59019,68672,104078,55417,8143,71926,71268,60697,46599,16543,49682,41337,60204,56549,854684
4,43612,24057,47224,44277,100154,13332,62579,37909,33006,45262,25377,37977,54644,39988,43095,50253,35083,737829
5,10000,35527,77019,47295,56480,9996,48156,35982,57921,46668,51630,10000,71519,58733,67437,46119,45662,776144
6,75154,38764,44949,0,32948,9996,59383,62267,28594,37414,0,24933,16793,68767,23654,68968,19091,611675
7,34878,51334,15932,25652,20000,42690,4257,6739,20106,25842,558,30499,22004,35940,30577,20088,23307,410403
8,43059,24989,14915,17523,44838,78735,40407,26366,33460,54195,5266,8939,39208,47107,59489,29572,75684,643752
9,39983,11486,29985,29963,22424,39038,45789,42945,26888,33532,90777,27756,64422,69209,3403,15547,28965,622112
10,44789,55286,23433,15355,15078,17147,86779,87854,76737,33172,30010,16467,118090,83856,18759,69962,75428,868202
11,38715,19988,19525,37760,7610,45004,58156,31350,44584,19569,26364,13467,49353,17745,8777,43052,40034,521053
12,90813,65151,13301,53040,23160,43978,38328,13925,40475,3312,19602,13595,11814,13960,0,29080,35733,509267
13,64990,15177,24661,27660,70906,40851,26339,34251,3269,14411,52414,18228,11449,15411,43637,25370,37256,526280
14,24231,0,7317,83184,84152,84150,92810,31156,56441,52382,3390,28252,89707,31934,42828,33652,15059,760645
15,29820,29557,69375,39851,76238,12624,63633,28096,49040,38117,37918,66371,37309,40919,33955,57427,40523,750773
16,24209,65837,64364,74072,21190,25492,46428,77428,44619,16568,40277,27121,54920,22502,42173,38341,21125,706666
17,86195,38031,44526,8465,27641,26892,148426,55387,10000,45888,35996,66326,89065,53437,44608,31033,26562,838478
18,9557,6671,26710,42048,35180,82990,39061,45033,26352,37193,10000,13002,19447,16763,271,14616,57705,482599
19,30443,4002,0,64719,39026,51827,30139,22152,21869,14529,10227,33024,14878,3321,20221,18530,7096,386003
20,42089,33332,0,19953,38306,48073,5099,36885,66651,56821,25610,18062,21838,27996,27990,31242,26543,526490
21,52788,14948,33787,77086,37485,34449,96683,20000,30000,35839,21123,38043,78437,82956,47542,33805,14158,749129
22,55529,21547,27554,29469,18030,59106,37721,15433,25563,18968,10016,18923,64414,48980,10564,42724,20140,524681
23,59048,29008,19709,25999,13811,38422,8233,53378,31381,37327,21086,27308,81254,37013,46728,34528,9585,573818
24,11051,40789,5063,0,12951,34816,10145,10319,30094,20698,21494,36537,29426,12652,20000,35429,11557,343021
25,40029,16671,19113,50449,64455,87557,71676,70377,12098,33512,20000,30420,23366,887,30159,58223,28912,657904
26,7923,9994,52647,77125,89109,29990,91229,37820,25781,37793,20037,24594,17075,28658,23195,36620,27137,636727
27,31592,36243,43819,84239,16515,62391,58385,10581,38955,40012,26618,50196,58112,35840,44596,17436,13555,669085
28,82908,94573,93140,112249,55366,102577,181906,136019,112220,112794,110243,126901,109391,110653,210479,128659,148119,2028197
29,15870,41387,91501,13733,24063,28152,10000,14013,23941,26731,0,16587,9999,13361,23274,13337,43571,409520
30,10425,41902,107147,14059,19391,20380,50226,0,19338,30830,34142,36306,18992,28277,72580,6,4928,508929
31,55749,48253,80545,0,10906,26058,43691,50118,37889,6727,30000,0,37285,32952,0,53485,13601,527259
32,39039,17915,38633,27396,9973,22680,76045,20558,37314,9018,72327,20000,23197,31824,36082,27987,30863,540851
33,47447,41271,63125,68413,34090,58988,23724,28493,26662,22273,27206,32748,51811,14476,32006,35128,32639,640500
34,40636,30155,31203,51911,21552,26064,35035,36812,40407,36739,21587,17843,9928,32426,0,23421,28743,484462
35,64144,29832,43888,28895,80241,18381,18705,32920,8439,12054,32493,41617,55876,65717,33442,25179,14729,606552
36,36560,13398,97512,25461,49018,67649,68166,67781,11451,39968,65589,22365,36555,43286,40238,38659,19330,742986
37,20093,48996,68909,91309,38862,44693,84764,78806,23370,56022,72812,37614,70946,72437,10000,41003,35935,896571
38,26399,59927,43333,6459,41621,54378,50683,15527,41524,13575,51646,25587,68536,37455,77461,35079,74082,723272
39,41656,56902,44886,82052,30000,30757,88433,25617,39349,21153,74371,48191,24091,28981,30006,40000,44186,750631
40,42077,24341,67832,49918,40486,17089,20673,73276,26694,27582,28550,44434,28986,46617,24816,30132,30103,623606
41,22826,9991,10003,19039,4244,21465,62415,16803,54131,33354,20721,22,70772,45504,28163,28141,25014,472608
42,15678,13392,20682,29846,30223,19982,38762,18411,40010,58788,6771,20000,13672,34048,30480,21716,31237,443698
43,3339,4050,38638,36641,19801,39829,82713,41852,46678,44095,48004,6511,19996,33862,67016,52306,23252,608583
44,46236,84085,44834,75044,59595,77669,52284,45428,33090,29994,10006,34282,72030,41950,67758,20661,23921,818867
45,101056,24090,39822,16745,23402,71049,14722,10104,29988,51059,23363,53820,27654,36956,60000,23208,17514,624552
46,114773,67331,31744,14458,66511,66903,33226,0,44374,53981,13284,38090,41654,42157,14734,44464,31399,719083
47,46470,33486,43979,35249,55798,35046,55952,23587,32361,19376,46706,20000,59652,12001,38806,15605,20958,595032
48,9252,15819,54354,36933,54560,41348,36722,34568,56298,29095,20000,20000,9069,33827,32456,20000,55744,560045
49,47358,44603,21903,70820,29863,37655,60576,4501,36295,3292,31914,48606,23269,24779,10827,16892,37455,550608
50,89250,40000,30522,20154,26499,63395,62464,33544,44682,38749,36684,14682,56058,31618,76952,18165,15602,699020
51,29987,33557,51410,23671,53819,40537,6666,20000,33118,45639,16769,6634,4939,29973,35297,25750,10006,467772
52,35809,9997,20003,16354,42560,12495,13172,25986,27461,5080,40392,42393,8085,6596,18523,40745,37164,402815
53,25085,13336,16215,24956,52881,42478,33211,35272,39194,19035,16868,19168,17762,50977,11298,28052,47730,493518
54,16133,41841,20631,36631,21569,34444,64565,43396,28813,24990,44829,24317,95152,10000,22912,38596,16611,585430
55,65834,28974,51482,45260,34227,26821,44995,28014,10000,17640,24192,55166,24375,26760,35869,37451,12879,569939
56,50331,23992,22322,14079,42664,23321,10000,26708,64826,27513,53140,9996,39980,21086,19132,25747,7920,482757
57,47399,34098,39908,59991,45803,18336,23962,30000,32481,55155,10003,38107,39988,46522,41813,3251,28314,595131
58,35273,41678,26707,46026,37728,65943,64787,10000,23320,10000,32551,7656,41258,29985,33512,18461,65215,590100
59,38447,59874,37757,64050,15557,63929,91017,31965,28533,47438,20000,17346,30467,39885,28643,19646,30668,665222
60,33800,11062,117071,41063,67750,35693,70302,32265,907,31960,40049,41290,55211,41797,3317,49123,20000,692660
61,32003,39876,21602,30657,31070,37330,48711,33722,33543,41336,23339,44668,51786,3345,40324,26580,0,539892
62,25688,31765,46025,15950,59707,29468,66645,31665,23325,66425,47818,15100,65277,39063,17361,26750,43938,651970
63,22535,44056,46814,28151,34877,30700,57359,31414,6137,20861,20000,0,66743,27486,53564,23387,32119,546203
64,30836,2857,24158,17295,23915,33338,9467,44377,16885,20339,18314,3363,27990,21949,50000,11077,28308,384468
65,23853,18931,29724,23338,6669,23246,76935,27667,66964,52894,23410,35622,33332,41873,21989,30000,11271,547718
66,40485,71411,70867,81271,31520,68162,18904,23311,62869,20000,38047,40687,54402,20284,40792,10000,26641,719653
67,83912,41407,26801,98915,35392,68126,47795,6680,14071,54630,10898,22202,30743,23306,37904,34322,33468,670572
68,69643,53393,80693,18439,62161,30823,35502,10336,9776,36257,57841,40000,55199,30000,3253,51230,83075,727621
69,45664,52178,48264,26499,15177,94121,84436,4787,38542,38746,37860,0,69676,11588,22641,23283,16663,630125
70,23747,23257,19159,57628,41648,92530,19782,10000,21662,57495,20014,41076,37679,26666,20000,15013,10000,537356
71,66086,3076,22968,31769,25662,77102,54547,36424,44886,52553,36729,16189,37585,24250,82850,60590,4,673270
72,44133,48611,24691,40045,33964,37152,71533,74143,29907,30000,19430,16760,20660,31525,10000,10000,71411,613965
73,25877,30000,24821,38807,26799,19701,20000,45144,15512,34962,20826,52924,60206,85478,32210,29549,24427,587243
74,41493,22999,127,1859,27390,16945,7825,33935,42449,54720,20000,17267,77194,32918,55916,32707,28427,514171
75,41753,32449,19368,468,62117,24685,7837,59837,31873,52192,40104,9392,31377,30452,19888,61720,16672,542184
76,56184,17689,21411,24763,38498,18441,62800,25712,16087,23280,24110,47075,16736,13535,57685,9551,38305,511862
77,43431,26410,14294,51449,32803,0,42257,68909,8007,19863,20052,24992,10020,12262,49081,25816,37127,486773
78,97828,60466,45640,41761,26812,61463,27268,24746,15743,16731,0,30006,34323,21042,23167,35868,47841,610705
79,69255,29487,40200,21672,53046,55913,51642,28141,34998,53810,60635,23961,35743,16709,38984,45292,19460,678948
80,59037,54236,84274,57463,41647,132771,70169,19996,28200,0,52918,13511,92791,34952,0,37231,10000,789196
81,53718,23862,10990,53303,37002,28941,86898,10062,35886,23299,48220,52428,44135,13829,44687,14626,12881,594767
82,36808,24074,31634,23553,32867,31344,33724,20000,18922,14045,10000,13340,21958,13344,2214,40668,44972,413467
83,34622,39517,31068,53359,41593,59595,117806,27772,39152,3451,31776,19231,41065,16281,63758,44863,45351,710260
84,43588,24158,57725,41841,12517,4888,22188,16657,16217,45204,40000,20000,58062,15482,38064,49868,28453,534912
85,20933,39965,38187,26700,20638,39518,66040,44808,36481,21020,16452,10010,64239,30476,57420,15912,30007,578806
86,46184,53076,29974,36643,40041,35708,58595,18344,43451,10000,21856,35800,58797,29921,35597,0,48775,602762
87,66893,22692,46560,20004,36706,10000,40326,13256,18059,58869,31727,21679,50893,24672,20448,23573,34579,540936
88,46620,65482,62024,27521,47859,32926,20270,31311,20123,20398,30000,1307,41031,14900,30000,21614,38005,551391
89,33747,81547,49875,90024,61720,51250,23336,36981,40994,20000,17171,30003,75941,30000,10012,46382,16673,715656
90,42798,64074,51825,43650,55775,39066,13327,31115,25337,45782,47396,30003,58726,86,44326,10480,12,603778
91,76303,39048,36833,56097,39004,67034,38734,52020,20000,5129,31463,74022,61595,10000,19312,34463,10000,671057
92,51545,50206,48516,48921,46906,121582,72995,15474,24208,5358,3023,0,64126,35208,40866,14148,70356,713438
93,18323,42101,22250,52421,18676,45727,72237,21095,18950,20000,30000,27071,29792,10003,46430,62297,46715,584088
94,44058,14337,31347,30580,19353,68547,70996,7509,28546,23610,23354,50000,13647,6675,50517,21855,20009,524940
95,35885,28072,23019,11203,36731,10000,30290,12126,24170,62431,40000,0,27439,19054,36750,0,34305,431475
96,49928,3373,6608,60533,13562,40242,20562,42719,27196,19625,18348,36434,55633,28947,3935,13107,33351,474103
