node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,dir_7,dir_8,dir_9,dir_10,dir_11,dir_12,dir_13,dir_14,dir_15,dir_16,dir_17,dir_18,total
0,52270,41692,10000,31208,17877,113639,31887,139641,31904,58726,16668,47973,44913,29991,56689,57680,34544,26498,66020,909820
1,55470,23338,42226,0,19984,15320,58588,24373,56609,26296,21298,46834,23307,56037,21227,26247,9410,50192,21607,598363
2,27083,164837,130464,130905,100784,169643,32246,89523,75928,43156,46295,91004,70694,106990,74830,40982,58525,19953,95355,1569197
3,92193,49185,94973,51181,118207,126146,46102,29978,50163,59679,50400,57003,44767,33886,32798,27338,21235,41135,44634,1071003
4,50476,20000,34383,75696,73519,66574,27890,29372,26499,68500,14921,39147,19895,13354,62071,18983,61700,13719,81179,797878
5,33383,144465,25396,46409,112455,69931,57081,80745,51689,74325,88803,30999,53388,53315,28956,50699,40527,48943,12137,1103646
6,123650,49136,63737,107330,34519,19731,48183,59263,48904,60132,47200,17009,99223,32668,116301,67111,48885,44771,52929,1140682
7,71710,12555,65676,71993,13304,65412,42684,99996,78018,15598,34088,75418,27470,85098,63760,58634,26247,53208,95116,1055985
8,55300,70171,97958,39598,55563,159912,99953,75146,14538,61292,71347,21824,58566,49988,62671,59560,24981,42598,65532,1186498
9,51919,1688,45495,29968,30851,129164,48030,49164,61944,46836,20137,36237,10026,36755,26592,44764,43916,46949,25846,786281
10,50914,10015,36082,36670,24792,45879,32198,28488,58847,7987,65794,16377,38103,10710,18150,14800,40226,23079,36647,595758
11,19993,81787,87917,62415,41118,143463,58169,83290,44524,31998,29462,63558,34957,53004,73234,49926,37855,59558,40060,1096288
12,217127,63535,176796,92660,131483,111811,182529,215905,265632,150067,241344,150061,150354,263846,122826,132521,162673,183417,151488,3166075
13,172135,36676,59946,56891,51474,64250,3310,33585,42467,40015,30484,40232,38317,38147,34605,46649,14458,41952,26681,872274
14,196765,200744,192831,259256,153382,379553,129855,207064,111443,214419,185461,215720,281166,158229,163946,156045,134776,189896,128759,3659310
15,217836,33497,60900,40925,8,50882,27900,65072,6,62435,28267,73087,52917,16828,33751,26757,32550,46761,18,870397
16,34470,38994,43388,103278,84861,62872,46038,101398,77977,6436,96618,45447,65231,73114,31437,51118,27531,43168,39566,1072942
17,61399,179929,56237,36460,86807,45014,76250,27389,23286,38216,11192,61733,26776,10000,35202,32107,38474,39001,21351,906823
18,181594,34740,30160,25032,16666,83394,43472,72289,32400,40119,28788,32891,67802,46025,58240,42325,28978,38973,47433,951321
19,41791,74731,28636,96689,53894,39497,79070,55083,50440,20961,6644,29790,0,90956,31950,49301,26322,37731,75441,888927
20,53935,29600,79481,124735,18579,21852,39187,92349,54349,65652,54016,50113,80865,8214,74148,69256,59903,16970,30058,1023262
21,45017,50925,126243,79323,25372,33063,93227,81632,15347,92002,34975,31578,36466,45992,14518,96551,28247,75661,41275,1047414
22,21992,32307,48214,53498,61801,54897,30487,90811,31340,38067,62162,47265,8607,17234,54491,28985,35495,63793,60162,841608
23,3351,177711,35452,25806,31597,38590,35752,29760,9855,25125,33588,41493,37646,39955,29730,61732,23583,58240,20209,759175
24,170728,23401,53921,33570,34519,10000,11543,55920,36697,34238,94208,66145,50262,19234,51187,34341,36933,32340,61075,910262
25,25651,6234,45981,49846,33919,6810,60407,99427,56626,45967,35883,47101,15525,61265,29338,29251,35015,31798,3264,719308
26,87528,136587,137301,134265,116976,137401,10000,87404,45796,15610,51666,33453,84647,110693,40710,48310,45529,69093,52185,1445154
27,37619,64443,41870,14382,15712,41721,77523,76708,31989,45546,52839,50937,34703,20794,26040,39972,38297,15536,10991,737622
28,78968,69279,59959,71435,59923,20246,36676,83874,10009,13231,17272,40913,18755,51399,65818,37569,28345,75094,25705,864470
