node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,dir_7,dir_8,dir_9,dir_10,dir_11,dir_12,dir_13,dir_14,dir_15,dir_16,dir_17,dir_18,dir_19,dir_20,dir_21,dir_22,dir_23,dir_24,total
0,142721,176677,262429,191057,94127,127493,106093,303764,195073,461623,248869,343534,209413,242282,160991,278586,231748,313914,348577,220962,225192,424082,224430,329604,293078,6156319
1,398947,35772,77989,83767,53467,76658,63611,217015,30000,39032,24508,51842,81016,53347,80042,56694,39988,62179,18577,40360,10164,43073,66638,33269,45876,1783831
2,325032,40114,70065,35702,30193,42858,35384,11636,43817,31768,20000,53331,67003,60000,20000,36999,28022,16691,62154,37304,25230,46488,43414,30727,20000,1233932
3,136458,58147,25035,80229,101151,76891,68857,147226,45085,73385,90825,49921,99152,47901,68834,70013,40348,85888,85681,77668,55725,43059,64509,27588,42566,1762142
4,232635,36731,41824,30341,24685,39994,20501,29445,6675,49774,25556,61413,29817,35652,48991,43355,70000,70418,13701,23295,74287,15038,43324,13394,31882,1112728
5,59437,87935,14444,97987,89811,23432,31176,89597,45986,53993,57606,73491,66295,50869,69596,55675,33361,61141,57751,49759,74339,61836,85391,60862,108818,1560588
6,82014,49899,110823,84963,53272,100455,53465,17824,23123,170178,66692,70904,41717,32108,43491,96207,41615,100157,41542,88733,37356,47241,64662,21639,31855,1571935
7,120961,100246,96043,88684,30222,123077,44513,151095,44087,162082,60403,36938,27367,95841,34984,55255,92236,79143,59653,32577,36224,57325,44606,73144,28666,1775372
8,253105,20006,39991,59534,10000,50138,81463,185200,36541,33564,10000,30000,26695,26674,38306,63516,10000,60729,69954,30000,18672,77808,47816,53325,40275,1373312
9,271752,26577,67001,19991,39932,41217,58694,64934,27863,43428,23770,59511,54029,20112,20000,43361,68076,18093,23379,58449,34939,13009,58414,23284,60661,1240476
10,97550,35730,87246,24379,39935,76565,40332,40745,60094,53868,35338,74419,74700,64871,110323,51731,11396,28301,47660,47570,42295,41020,79635,55077,31717,1352497
11,42640,106863,81763,49210,75459,89762,18599,9997,63299,100119,43125,34765,23110,123203,54971,41550,18679,56681,88766,55191,81387,88298,48646,78198,57813,1532094
12,54938,103964,18231,107192,70610,71403,142859,131018,82902,148644,42470,42571,54658,61350,16723,25171,64146,30149,101765,66039,59421,59602,35423,10462,17219,1618930
13,275200,16747,20000,10000,48395,51192,16603,33292,54656,11729,21514,36136,31034,46676,39575,23357,41428,43425,45637,16671,54543,38148,49338,10000,15014,1050310
14,47480,118153,127523,48502,55073,30639,95662,133298,51964,178643,33014,96550,21011,47406,38074,55904,51763,88257,39165,52814,50568,91710,90261,68268,64919,1776621
15,183006,24307,66342,13343,36685,42080,32369,210356,49148,8963,40565,39976,97954,63373,36644,60654,46637,46691,46684,44598,47045,42012,43376,20000,26676,1369484
16,611281,179489,112187,107719,114987,136480,97064,111797,393413,236678,237213,265332,186325,351250,186155,265459,216799,323691,257107,275842,336751,269460,305770,284943,305310,6168502
17,112745,105511,47642,25418,76522,40399,28718,65929,86070,63819,126089,72961,61029,60810,82723,26515,20459,47793,58324,71827,67502,35971,40256,13735,18374,1457141
18,203175,85445,101437,56668,43448,39456,56403,62530,20501,127766,74151,118407,20976,79364,56346,57421,70608,74725,19448,54653,87817,68071,17380,52547,19992,1668735
19,96831,155947,82545,116103,61695,47722,52626,71899,63414,28825,34186,96400,138951,34867,35840,58763,54062,59631,65214,21706,24798,62475,61210,44263,23317,1593290
20,114526,96419,76329,63924,71062,29187,57390,18376,77250,61549,36915,30077,67516,65203,92119,71026,52112,86291,74421,23783,51478,29384,70754,49914,32993,1499998
21,38444,114641,229831,92417,142864,148621,153606,60536,90648,139614,72396,69998,10293,105734,95903,78321,63771,60335,84357,76127,48803,70502,100761,43977,66839,2259339
22,91341,100350,114985,22258,69999,82021,95518,47269,85916,38233,51663,75015,14329,58801,76232,46731,42172,55057,63045,49439,46567,61618,32797,44813,52991,1519160
23,18418,77959,117511,85474,114310,51121,65960,117185,44055,112389,82689,37748,31253,30114,61675,80662,88774,82347,57949,74258,57264,80436,130581,45432,77122,1822686
24,42527,32831,223950,141937,81014,156929,157002,72480,38309,177900,54068,76164,94178,88757,56644,75112,61276,58752,95111,81944,80441,66512,76770,70917,41556,2203081
25,49994,127500,81474,116198,82913,87890,148998,45351,84814,96663,66263,106393,144913,79193,22408,96154,61877,63154,83145,34309,98371,76292,55569,90497,92695,2093028
26,33482,33466,65013,105285,68043,99092,97626,83911,46534,41163,84722,76148,105585,44565,56309,41296,18076,54179,88028,16702,65775,71707,75032,69936,48539,1590214
27,78479,16640,44683,29157,145664,58942,61482,80173,79167,72899,49393,51814,77653,112696,40887,60190,22436,31455,65169,57537,43386,79077,69599,81910,95398,1605886
28,57576,28275,130855,96726,54030,90370,145924,111033,67973,121080,50988,52007,51400,91754,86748,74139,71191,72524,48007,105167,143070,70360,52534,103611,65596,2042938
29,19709,90583,108438,88207,130618,151217,52033,50448,102662,140822,84122,37545,51359,63404,88161,84514,90127,89627,76776,12457,64377,164933,75906,94276,102156,2114477
30,23353,68870,22914,81379,58841,171842,87017,148902,84588,171801,126125,81447,101369,61608,74925,101343,120068,62248,117666,61906,35066,62683,161117,51860,82830,2221768
31,60376,40519,16619,93052,70660,85301,95073,54612,28799,52142,46701,71425,71510,93236,19675,51155,49993,130182,54983,65988,53561,41962,134128,65391,53981,1601024
32,36192,29991,96948,46731,79110,101254,96678,26988,98894,221611,71253,61135,75915,77169,28752,62234,77122,95105,108667,68720,71425,107086,41885,57047,96946,1934858
33,48378,44698,11064,45231,48819,69779,38616,37988,56812,46152,65616,41751,114938,76884,72070,25243,36975,66239,83200,43121,40409,65181,36168,11519,78237,1305088
34,89736,91021,119924,82219,133430,82971,119031,130905,51625,38253,38473,49784,64651,35954,49148,27716,62595,57124,31589,40456,57924,44399,63407,49844,23452,1635631
35,118615,77750,66052,52352,72513,104029,109484,124262,20000,71934,81406,65761,106446,35749,80239,62159,39233,96888,26525,59277,72777,57098,37833,98995,47869,1785246
36,120024,111615,63790,67106,58637,92685,124665,90012,46631,102801,32910,51107,91996,94588,53263,62784,91614,33328,56150,33443,53458,32247,46708,112241,23745,1747548
37,110797,48072,97758,59951,69108,53544,100911,66817,9700,31044,79884,55476,98172,75526,23203,113892,54861,47961,69005,32638,46926,51533,41492,58335,67832,1564438
38,69530,106658,160002,61631,64781,102860,75950,37037,18949,72991,42774,32710,62772,83974,52507,31269,65132,69341,28429,78589,18655,54600,68391,53539,100218,1613289
39,101681,54369,93950,52321,108121,91686,120044,154433,78756,66951,25132,85418,77364,114122,53195,40653,55496,55834,75055,35630,51694,66081,50401,69221,81810,1859418
40,68540,80734,71414,50697,71990,39746,73378,71272,21695,37039,52375,26959,70514,48312,64666,51460,61620,62181,49809,12215,63087,37490,65858,62966,64074,1380091
41,79831,169660,26067,85533,132227,101059,100993,79601,46342,126518,68510,32555,39985,63106,57226,82623,29396,53998,48527,64481,73399,73494,93841,110384,38911,1878267
42,128345,84133,116702,109103,108573,113954,104331,46874,47178,133250,65676,74739,29709,78651,68250,79312,85487,51593,81663,117969,26903,107430,38501,30110,60937,1989373
43,42105,56073,121103,88689,62004,30979,48849,70389,91020,159183,39636,61263,74816,101931,66658,102324,52424,69135,67889,37451,77300,47473,48419,40007,130668,1787788
44,28832,53122,74184,60249,45996,46455,48069,81918,48533,18398,37410,43240,75255,53776,77817,67936,72020,45938,56665,130301,75311,29250,87651,36977,31399,1426702
45,87033,32116,85098,30328,33662,38523,28274,78247,88617,51276,46027,89677,57767,41480,74433,29620,101321,112360,37337,129887,40031,64618,93780,54077,70938,1596527
46,85353,44393,64309,40637,40262,103567,135635,62369,50981,87844,40076,69752,40299,50155,58531,56629,67684,129086,111354,29921,133425,43427,45092,102617,58179,1751577
47,34786,25041,127599,107859,45562,95314,55374,85438,52966,110869,33988,41701,50720,42898,33442,94293,52790,89874,79193,52950,107939,102949,93059,87182,84268,1788054
48,21265,69499,64287,77750,85375,75318,16800,75706,46673,161831,52976,43347,82643,74213,51317,64369,72380,85465,116246,87741,42085,131391,57457,36666,72056,1764856
49,60775,82319,34417,46407,50612,85627,15400,65019,38084,72994,87567,88582,24929,123794,59128,4454,69633,57612,42783,61641,18649,161139,51547,45233,55709,1504054
50,50519,46336,40391,65641,21530,28203,82733,50484,39093,78216,59368,62579,33067,61767,49772,41460,87026,65385,47122,55778,54552,81519,93325,36748,23481,1356095
51,136240,142841,82969,259748,100379,109552,97244,70359,65553,105767,84045,47406,44172,46670,66453,96425,54087,50250,82548,20000,94669,69859,42800,75957,73319,2119312
52,191640,115614,210417,95293,182282,127811,139505,75337,10000,9016,24365,59982,45459,35262,29585,62573,88404,33488,73469,51168,127561,59177,81711,57493,60997,2047609
53,74840,97110,94744,93066,85472,103957,86564,90816,43488,22670,18467,16573,30432,34972,14057,33884,95125,58879,96162,65282,37589,56195,68917,30034,48488,1497783
54,50791,26261,65828,54064,110767,90921,51645,45758,20948,92520,74882,39834,28291,85072,83419,81077,47847,107608,12794,62327,31251,35395,60939,24305,51080,1435624
55,58139,54431,96033,62157,212035,92512,71906,116976,13344,49934,37138,9969,79310,70586,60848,66938,43676,123589,33392,75585,63351,75757,85491,99958,48714,1801769
56,21706,89984,76980,48136,106713,60459,82687,156866,57192,46611,63571,38043,44518,23999,57030,35532,41725,47263,35281,100493,38910,110057,62068,63214,17655,1526693
57,57037,84591,56555,75393,102084,99493,147382,142977,85542,81024,17446,67252,98554,39078,114576,93927,44185,72212,93441,30773,50849,12161,22293,39382,109355,1837562
58,93697,101037,74985,49677,40128,52511,35662,23908,43620,27160,3282,26524,39099,44468,65137,68407,65875,56463,97961,39159,108743,41351,54179,61192,53944,1368169
59,151742,90426,103454,89209,39140,81048,39795,58611,27187,78025,65811,59917,54308,70546,18746,18085,56815,50026,118320,68227,96475,65746,61120,122963,93462,1779204
60,81087,79103,27684,108041,88792,81826,62640,82881,47124,146769,49952,83986,25701,46322,43476,49436,96280,101575,60961,79109,45717,73241,18832,58541,41698,1680774
61,103734,47977,45212,14154,56066,34534,45902,189298,60780,113708,74055,26620,58935,82632,75604,126546,25760,59243,84222,102216,32441,107146,66657,123079,83355,1839876
62,50831,62227,58862,49608,60392,14474,57317,26404,55351,50152,41194,18116,92385,44528,57250,63340,23407,52829,1643,62577,86993,64019,50019,36565,74749,1255232
63,29009,91074,27180,12973,64955,35470,25457,30341,55673,24559,60706,49279,72057,54076,74862,24345,53380,27983,78571,40003,84700,35820,51312,41080,14310,1159175
64,129912,97515,47893,74682,44085,31465,76453,77166,52311,140747,38883,24305,54873,47440,66376,82035,67001,16225,78338,52900,141491,23294,127008,95944,74188,1762530
65,39070,76937,68317,110473,44137,75431,84454,66193,59747,166456,41710,53655,36067,87524,76293,27938,62430,51029,66474,31078,64716,131948,180957,60011,80770,1843815
66,85132,19480,62369,24338,32955,94324,75246,41952,81137,74868,49211,55203,83647,94347,46867,80063,53846,98740,91881,78275,95364,49276,60846,108642,66776,1704785
67,49444,76522,24617,32613,38272,42999,59755,30737,37454,23469,83803,63548,63500,42315,47356,83862,63990,64440,56188,64392,57850,78658,50551,97382,54724,1388441
68,111623,79109,107295,72674,137791,56377,108403,83446,46639,61400,30486,67079,48095,53756,69778,47579,40876,23018,51388,72713,35045,77702,42316,20660,111971,1657219
69,147383,115540,135659,109610,164256,225138,210160,126992,20000,167473,31970,47806,53562,33853,86203,65077,48940,75866,65474,30000,92148,79836,97809,22588,99464,2352807
70,157829,82603,49501,107413,107926,65956,70190,99989,38183,44510,63140,49739,44043,44144,7456,15005,42412,42542,39656,23847,91562,14108,43773,46680,35958,1428165
71,51257,74631,78856,43365,82086,24269,73874,102512,44224,94816,14064,14177,25599,48318,23682,29965,72403,14982,31323,45610,40911,30734,32806,37413,28359,1160236
72,119143,79270,26421,86552,71928,82710,107657,70740,65167,145020,30653,19173,52462,67174,26678,59733,58778,35943,34499,103758,32982,58416,107849,17174,25176,1585056
73,124327,101068,109939,87700,96943,82911,116810,119060,47159,31617,26336,35029,65672,30787,14881,77873,47320,56461,99636,39107,26433,34791,94229,56481,107203,1729773
74,62399,44151,86124,83350,52867,39891,13381,50795,8405,45657,36219,59092,54848,25579,88706,63083,13033,70730,75768,31765,67111,72358,29696,62302,106054,1343364
75,45374,38984,46548,21636,94884,97288,93463,71793,43356,78992,42035,28648,23922,60401,34634,87519,27369,75139,11638,40638,34520,44048,34901,49947,39057,1266734
