node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,dir_7,dir_8,dir_9,dir_10,dir_11,dir_12,dir_13,dir_14,dir_15,dir_16,dir_17,dir_18,dir_19,dir_20,dir_21,dir_22,dir_23,dir_24,dir_25,dir_26,dir_27,dir_28,total
0,110548,160109,122698,102159,109325,57759,62249,50381,242197,73547,77618,79979,108477,121147,68831,55449,94393,93625,93514,54981,23227,65257,66834,80021,60842,44579,60650,64057,122021,2526474
1,91929,76855,89005,78046,59005,84896,56754,51548,234534,28661,86817,57637,71682,27360,109655,70423,94838,55274,78663,38717,71479,80600,48870,86253,90372,87918,199875,84628,86410,2378704
2,83906,111808,111197,70021,73054,103632,132910,63547,175176,24748,147395,29869,58309,149894,65898,72096,101541,50283,31451,42485,70333,94447,29922,20244,34008,84801,116310,36642,93497,2279424
3,99775,127097,120447,84753,58054,85194,54923,9996,301856,43768,55723,51311,45046,66485,63201,66482,120752,44380,112088,58765,90929,117810,62810,53267,70510,59836,155541,61294,62631,2404724
4,104563,37133,94486,68823,44983,55606,86797,15731,32946,64298,29911,32326,87852,75880,50905,90109,8320,127172,46015,57459,47784,47573,87402,62396,40032,70756,160179,61920,61956,1851313
5,74757,55732,66223,72946,76243,124765,144427,110310,51862,78440,192735,71428,78738,107128,81277,104098,93525,135862,56361,108184,69403,120938,112332,52422,106375,109999,164824,33527,63777,2718638
6,113106,90794,74446,92761,104969,92044,111715,88061,48719,120746,214731,106140,86068,68459,24382,117525,36073,118209,100889,121582,72553,83528,22853,116608,98757,103251,109121,97568,64815,2700473
7,155995,72149,67540,108208,125395,72958,58119,78176,96360,150610,245736,89221,68015,71191,102400,138224,61443,86356,79712,108099,103673,44987,80451,91886,122843,48772,121120,76652,68656,2794947
8,66712,15353,62393,104468,38439,86443,116936,99308,84202,54797,156796,31591,23373,95943,69062,43265,39149,63142,49457,82492,32279,111670,26015,59887,73162,69187,35763,63161,72203,1926648
9,7735,86506,49919,34972,77630,99810,108650,79249,13289,0,184811,47754,68985,30197,68267,65987,84217,32634,84361,42427,98969,57521,113287,32586,16652,64603,83131,41019,60267,1835435
10,98117,64091,88010,49775,96916,78509,136563,35229,23457,53782,211995,39705,62409,73916,35001,49316,99699,90113,41148,45552,93121,63642,79114,8213,57687,77293,48821,71232,79774,2052200
11,67070,80914,53522,76547,118013,92546,56843,33347,65214,52524,190237,79838,96851,56421,57129,29847,53862,20636,80607,43975,75951,39987,89058,30918,84214,43516,93705,93009,104995,2061296
12,121627,64812,80909,72812,62773,68331,39580,54498,53481,268833,166392,97227,72484,85502,82319,45305,65017,73123,104618,75518,50129,43864,62967,114481,51119,98196,118832,95292,41718,2431759
13,52284,63565,39924,36535,115965,116509,73235,59981,220030,73535,36634,53296,27222,66292,33351,46684,30127,58738,54541,59536,35384,40000,63357,51246,83318,26755,132895,73285,26643,1850867
14,89212,29570,13257,44027,14388,65023,39986,53370,207282,35791,21184,35873,40000,43348,68488,50898,30000,71707,44942,51717,79721,58139,36641,39993,53230,65890,42210,54519,69196,1549602
15,58143,59959,34536,43145,50307,57516,3340,29985,224374,81652,40553,38210,20073,70021,69634,21331,89524,56868,47303,52082,53150,39994,36699,23372,44937,9991,56677,49905,19614,1482895
16,33580,16678,56651,20684,56289,58644,23463,20908,212193,97901,44954,23383,63161,24268,45392,36895,67020,38648,66630,53315,26609,73432,13280,64955,20000,53290,23317,30067,23359,1388966
17,239423,157159,275379,304517,50769,324955,83152,149212,128797,233264,428267,405153,374523,398157,340418,354375,389430,432310,379056,299326,315525,326249,395903,423462,353642,257602,324178,305612,273538,8723353
18,92452,53189,73157,36552,40001,159161,63130,53306,30000,182234,192460,33344,46889,6738,56957,48068,39991,78513,79930,26624,40593,80076,43387,48167,45855,23430,29994,53293,72364,1829855
19,81356,102566,76042,119538,56672,88807,26960,105288,133213,127892,72772,54979,63474,61114,80631,72558,41129,50638,74450,88791,103324,117892,50073,69560,77409,73026,142844,41504,53993,2308495
20,193418,88942,41070,112928,66570,80299,92982,91654,106887,144576,26263,54986,50698,66175,57260,102569,57386,46325,56794,101379,66302,85658,36709,81056,61058,38588,129416,40797,50446,2229191
21,101544,129731,92294,57114,19128,62320,71210,71471,77005,100619,73723,42388,35895,29428,79951,43264,65716,95094,43772,66250,67672,69339,114903,77933,46114,82286,96934,52551,47535,2013184
22,134527,89768,157361,74860,28416,70018,45973,78445,59567,89701,43256,57580,15138,27015,46246,98819,50189,82388,70509,59817,48066,95962,54576,51361,67746,81422,124483,56257,102994,2062460
23,55071,113960,72568,79724,70561,44960,48344,53352,83283,80630,48277,62502,38206,39163,64859,73503,144954,70832,69535,144963,52709,74739,77054,81653,95099,163321,115007,67321,76867,2263017
24,33280,21617,47892,37638,121106,125532,162348,87661,108182,159120,220543,127976,80238,88463,44360,65725,55496,106088,56906,65633,41316,76464,88832,40833,58314,80499,56985,36384,75544,2370975
25,67841,29665,23623,60786,167651,128456,110565,141288,97946,211355,171236,71670,109020,31176,26995,62575,4239,36542,178112,48951,44612,73826,55271,69667,114729,107054,78282,79160,59386,2461679
26,53453,47023,26961,129407,85750,109327,72592,101659,77021,163177,193426,72909,49461,45031,112544,66685,52924,99839,26125,106640,66656,25207,118383,107510,80375,34983,83366,69248,64171,2341853
27,22078,29935,66812,75860,131367,89972,118685,120540,123470,94460,176594,79588,67388,84624,127982,60090,69385,42457,91308,32884,126420,87822,89815,53782,82368,52733,90278,82258,101301,2472256
28,68023,75118,53992,93989,113261,122855,91398,116185,78354,101132,300378,94399,73137,88607,85262,95655,96720,39211,78191,9075,46243,178234,135045,51459,56853,95188,78331,57128,123450,2696873
29,169279,69567,58553,168882,125413,111858,151578,56354,51792,76756,144454,50109,38616,73680,72150,107966,61704,49654,31090,32409,64103,43137,165336,46960,47116,111817,89414,79233,128543,2477523
30,83915,98277,89131,102985,136691,116163,61390,49907,57397,81505,218314,63431,103380,72922,64626,94368,44274,92688,85336,21671,109584,20937,23339,119596,71031,27129,54267,86630,68433,2319317
31,72118,88584,61937,109997,165319,56012,25039,72155,74706,61764,117453,53629,82068,60814,59588,58255,42034,69255,94723,42284,54725,70523,49730,23443,165842,50206,79857,63540,76130,2101730
32,74003,29934,60718,50865,28781,37048,51480,56836,44874,8985,50075,66325,101683,85092,91197,65550,60152,23438,65836,80612,26364,43719,22417,16803,31995,106042,29600,22165,50087,1482676
