node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,dir_7,dir_8,dir_9,dir_10,total
0,29138,19982,27701,21606,16649,15737,13287,17994,26601,6770,41034,236499
1,16673,20000,15523,15818,26206,0,19144,15768,14837,10000,0,153969
2,8430,0,34567,6623,2930,18243,13559,27884,26378,5086,28801,172501
3,18124,43312,21448,78991,20000,24062,10003,13492,15263,15052,24206,283953
4,19994,79960,44738,44066,6256,0,10000,6736,16623,24932,6843,260148
5,49351,52670,54639,44138,100393,37572,44668,47301,49002,44799,67166,591699
6,19072,6713,29975,27595,18137,36519,13414,26677,42793,32237,21790,274922
7,59386,4522,5,13226,16277,61194,28473,0,23358,47483,32595,286519
8,9994,16550,22041,11770,5757,19690,2749,34284,16532,10005,28100,177472
9,31962,34196,29972,27461,3351,34742,20832,23316,41066,25632,4808,277338
10,26330,30607,14866,1662,20000,20344,53146,37226,27922,48384,31950,312437
11,15430,32653,11429,3190,24133,10247,9761,37036,11396,8646,45594,209515
12,27504,6675,21444,18557,38997,11223,26673,14876,37142,0,16849,219940
13,0,20000,5283,12032,13248,28730,1649,20000,20247,4274,18095,143558
14,28505,18934,13306,17612,22085,58392,14035,23357,7700,10011,23695,237632
15,8262,0,26617,23850,25938,50262,30013,0,10000,17274,14530,206746
16,26569,0,9990,13378,20823,24677,32172,5052,4238,10609,21774,169282
17,15464,18384,29805,25625,841,4453,3882,34027,18606,5829,15242,172158
18,34538,4390,29606,9978,22156,37462,10000,8604,3308,36348,23461,219851
19,9028,2063,29288,26972,30803,53219,59807,30000,0,25122,42141,308443
20,16747,8633,21985,38985,11941,21622,10271,6993,36699,4145,20510,198531
21,7536,22158,42796,20147,20963,37386,29028,19384,33455,16658,28446,277957
22,41740,26346,26576,15769,4243,33226,33280,10000,1199,9790,17807,219976
23,55011,39848,30980,54439,30007,45266,10009,2440,10000,13665,3,291668
24,10175,17951,53806,27231,22327,16745,0,5974,20015,21594,45259,241077
25,23320,34096,33674,44962,38701,4442,35935,8435,40962,15263,31351,311141
26,22593,23385,0,34041,2156,6680,13514,0,10000,13529,10959,136857
27,56013,3324,47355,9989,24185,34388,18439,3959,31270,38629,22978,290529
28,27076,45207,33629,34473,5048,16396,6699,6643,40101,41783,32288,289343
29,27436,12180,59160,10000,0,16225,11108,10000,32780,14435,10279,203603
30,9650,31177,32831,21853,10000,32035,21962,0,10000,13968,10452,193928
31,27595,13397,30811,28309,13422,43124,38256,13256,15758,12985,22601,259514
32,26714,24603,11658,15419,26201,7878,3301,0,15592,39715,3186,174267
33,35309,26692,17036,10003,37099,18386,11609,11140,0,1354,23619,192247
