node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,dir_7,dir_8,dir_9,dir_10,dir_11,dir_12,dir_13,dir_14,dir_15,dir_16,dir_17,dir_18,dir_19,dir_20,dir_21,dir_22,dir_23,dir_24,dir_25,dir_26,dir_27,dir_28,dir_29,dir_30,dir_31,dir_32,dir_33,dir_34,total
0,40286,54644,112240,167931,214155,241303,63535,79021,74668,87961,75670,21794,147360,172011,113804,167277,145268,135000,132628,129268,128549,122193,122919,121271,116469,109171,106467,112483,114309,105724,120035,116141,106266,116510,109055,4103386
1,324881,19177,181500,177537,147225,155855,307278,79744,53878,109612,93526,113871,91423,104155,167375,162396,145254,89240,131352,82976,85330,131647,133654,112672,120441,114645,103853,115738,115598,113204,110117,115179,76905,107654,104312,4399204
2,507679,171694,96574,259494,350822,346635,347807,358546,32295,68945,111513,60611,136216,152520,173839,152383,138800,128492,135648,137238,90315,132448,79136,113142,113197,99924,104257,100173,101681,75812,110352,104350,99253,103088,90407,5385286
3,95743,75247,42006,32579,67543,98142,106339,151023,147055,59762,70439,89841,87126,99370,160627,149080,130345,126293,127513,120624,121381,135905,124366,115655,111551,101052,111720,104276,102129,119267,113778,112561,98812,105564,96186,3710900
4,80458,70736,64135,56851,35042,56111,64059,102301,110154,105206,57635,81749,74235,153633,160577,153008,135206,127294,123027,84149,79651,80960,122394,110588,84383,106145,112730,96977,99692,106130,111471,98376,99693,101768,93256,3399780
5,82940,81909,84202,90993,58485,26301,40344,66401,77274,86419,72674,54348,126648,138368,151507,154096,124345,111300,83990,121867,123547,129461,116038,118097,117404,100005,98541,101369,106164,108020,99405,100523,92418,104351,101658,3451412
6,59899,78204,74154,79343,76611,57937,19092,41546,62828,69460,77576,63522,131304,143773,143775,139928,127108,120908,124460,126532,116059,113608,118237,109085,108277,91442,101741,95148,96759,119694,95455,109124,104466,95119,102004,3394178
7,89241,103384,119366,108126,108549,79138,40241,59706,73952,66095,73424,68612,131472,75525,158158,147749,140283,117524,121600,110793,111761,69881,108024,102589,65002,99637,103264,96208,108244,102943,97713,87142,94770,66773,104285,3411174
8,61797,81365,70780,72416,66386,40126,25787,50469,60345,61886,62229,54454,139448,149233,151014,136373,131033,123042,123608,118592,116269,119128,110771,103940,115761,93270,96690,106975,102033,106674,69441,89616,91783,105698,69556,3277988
9,60434,75472,65811,61751,56710,46202,37292,48168,61968,64879,61686,58917,132100,140455,92003,130462,125657,120690,124313,129808,112183,108482,111765,107990,109345,99790,99491,107525,101111,105590,101759,93019,114250,109822,111166,3288066
10,70049,68898,60936,56240,63204,44013,29599,44910,59562,63855,59587,39441,145625,100224,159801,137276,144026,124080,125943,123525,115893,120924,101467,113116,100102,100967,102148,100318,109707,109250,113767,101646,104681,108978,96292,3320050
11,42177,47497,50386,66342,64094,34229,31168,44352,50456,65331,73885,48528,139828,153223,160282,129478,80379,118183,125840,117621,120411,76739,107477,110057,102764,103735,77542,71962,103651,108647,103353,56953,99698,101392,114590,3102250
12,46354,49663,83040,92744,91216,40614,27235,40816,79231,81530,86480,60402,130403,138342,149210,126665,115907,120182,128717,110068,115224,117699,99980,94942,104547,94630,102198,98524,67787,103278,102803,99245,100367,98367,112650,3311060
13,45491,66364,101412,92795,87213,61399,33723,46519,90055,94699,88667,58775,130931,154168,92994,136280,128725,119551,116535,112381,104955,111997,101348,105230,106720,109046,103713,101109,105762,113732,103861,98348,97826,97692,97788,3417804
14,60223,66758,75484,62780,66193,46249,33406,38870,83196,87921,83063,60026,142446,154393,150548,125998,129580,120972,120122,114992,117987,108566,106192,104065,102298,98232,105470,102531,109441,111623,101994,96267,98695,101944,100754,3389279
15,72675,83676,71588,80080,71622,48700,33943,51849,85383,93979,101336,65351,150709,159548,170331,134139,127368,124434,129076,126253,117653,121473,107793,103100,100356,102347,105758,104759,112228,75122,103008,103748,109507,96992,101773,3547657
16,73692,88714,88895,81875,97251,70483,33013,52695,104042,116421,141960,155557,150589,170322,155063,130023,134332,127885,122223,122324,115047,124343,77222,108513,105186,101365,110532,107852,117079,108147,100846,99872,108605,100878,112555,3815401
17,94469,70112,86449,88016,93282,89515,60536,30679,58239,113225,134850,160138,138888,170800,161123,142680,138256,136097,131642,129725,124856,117448,101384,114660,111788,104285,118574,104994,108004,118640,103903,97353,72052,114466,111821,3852949
18,58026,137778,62524,80953,85119,101376,102204,70890,33202,58365,124979,137788,145067,172266,162082,120324,121438,126974,121716,123577,108177,110566,103255,111541,108612,105799,101423,113286,112173,120385,104352,99335,106741,102494,115311,3770098
19,75902,62918,106499,67460,87998,100404,100107,118685,84087,34009,44798,120293,128618,160657,91343,120435,125291,112607,114196,79642,109785,124324,102244,106695,102374,106447,95670,112335,112825,111413,109962,90939,102321,108715,110413,3542411
20,74751,65660,105282,117682,55246,65369,73757,82572,87762,64228,29831,54359,137922,152715,140355,121993,117309,122893,122812,120122,107018,114565,114022,105350,109684,98918,103381,107015,106485,105591,105720,94760,97633,110346,112306,3505414
21,50711,59265,85676,89758,118005,76042,92698,88210,97168,97359,69714,31682,131649,157361,152590,121476,114448,122412,124804,115802,112866,114513,105947,101337,106867,93835,105089,109705,111555,105341,101461,101202,100982,106100,112313,3585943
22,33075,38794,69635,76527,73376,109899,90421,96909,90111,94761,101094,64397,146669,158178,139503,120292,132361,118123,118791,116230,115606,113223,113843,103958,108200,109726,110109,105405,112164,98721,104237,107654,98865,109806,124273,3624936
23,33078,88976,107536,92179,87864,83430,72270,114078,138006,135524,150584,112137,128486,165667,169598,132399,129730,126067,127379,119119,113980,119682,108955,108215,110131,101144,97271,102641,107897,101603,104324,106304,98920,102481,95444,3893099
