node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,dir_7,dir_8,dir_9,dir_10,dir_11,dir_12,dir_13,dir_14,dir_15,dir_16,dir_17,dir_18,dir_19,dir_20,dir_21,dir_22,dir_23,dir_24,dir_25,dir_26,dir_27,dir_28,dir_29,dir_30,dir_31,dir_32,dir_33,dir_34,dir_35,dir_36,dir_37,dir_38,dir_39,dir_40,dir_41,dir_42,total
0,90991,69721,99466,144154,127028,58634,56588,76118,96620,98706,109487,124328,134323,91625,163476,174485,188287,173689,163812,139044,133753,133726,129969,129357,130186,124747,121528,119824,112563,120561,115678,113389,104285,118790,108874,103017,114092,106608,108895,109263,109472,100259,101699,5051117
1,987635,604128,364907,506357,335678,499935,281080,229507,198067,176449,74665,72452,154239,175817,150400,162553,188259,185425,160592,151604,151159,145704,145074,137455,132998,126324,132145,121682,120307,123315,110867,111212,111282,117038,115490,116484,118663,125159,113759,116581,114258,106659,104793,8478157
2,147095,131572,109008,159982,161410,185216,65669,118749,102526,108109,103295,102730,115697,113698,154444,172801,188851,189201,157272,144928,140347,125102,139868,133365,135886,121875,127097,115848,110056,126082,116498,121596,111574,113286,113046,107886,111851,114402,114032,108402,106486,110746,108962,5466546
3,155744,108571,115468,133875,164452,152490,111569,116576,103260,115096,104435,117289,118072,118619,163151,164718,192725,190669,165993,145899,135265,146122,131047,140341,141012,124191,119784,126713,117887,123812,110353,122760,113248,110292,111938,108287,110371,113153,98086,103374,102428,108281,108648,5486064
4,341374,153308,265637,90094,195578,213142,198843,138578,130203,116097,123270,133556,118840,123654,150562,169652,193463,182056,173658,149645,144635,132981,137028,128210,126609,124981,120423,116859,120692,124317,113490,112599,114473,121330,113439,118142,113988,108135,108815,100875,102310,108128,117532,6091201
5,70034,77184,91182,70608,90922,121761,120198,111612,66451,75213,75523,79436,86638,89535,149709,163287,188007,180410,163334,141656,141072,133120,134238,130919,120622,113898,119459,118360,115212,108584,114607,115114,110943,122245,110173,117683,112683,107407,112182,106151,106014,106422,105159,4894967
6,98434,158796,157780,166709,133443,107375,117994,110573,114392,47469,79415,74680,83802,80390,152804,163854,185431,172372,148806,140938,136972,132260,137538,117833,116811,117263,118822,113328,114040,101776,113279,109744,110274,116686,104057,109805,114953,107934,107361,106148,114808,111623,110185,5138957
7,78261,134998,140097,138240,104617,105068,58736,109013,105413,107816,75233,83974,76822,92787,156787,166680,191744,177902,144170,136950,137586,130077,127435,124369,126441,112597,124075,120888,112540,123934,107296,109916,111084,109401,108200,111007,106517,105063,108559,100791,103770,102329,105581,5014764
8,145745,178966,166626,174589,159301,96783,99554,126798,125109,103909,81227,75510,85107,72689,149837,158886,169506,157133,136062,138615,134453,135203,126138,131676,125663,115288,126727,117349,122120,117116,113233,110776,111209,114286,115188,102636,118650,107108,102598,100775,105261,103664,110256,5269325
9,81184,115121,112187,114657,159723,144930,112313,80528,103644,120167,103486,80261,90584,80640,154710,155064,176854,170427,143044,128326,132385,130287,127050,119183,120674,116260,112068,113000,122417,110865,122992,116033,114649,111365,112272,106387,109285,104525,102903,111358,105144,107820,102025,5058797
10,138998,158272,157649,197030,225383,168571,117379,98569,124027,110776,104737,91224,89791,89572,149459,165413,178249,156444,141682,131082,136910,121846,123815,126507,122546,118157,117257,114298,112275,114120,110983,112738,118722,114833,112326,107156,113691,109348,103580,113164,111811,103956,109505,5443851
11,124675,117720,138161,138518,169690,122756,103276,96521,104633,107255,105621,79933,76363,80343,150093,178971,185973,168220,145194,133169,142736,127829,119115,121957,123403,112707,121814,121271,112324,121294,113405,116924,106704,120194,106613,112361,118555,107564,112467,102160,109761,102876,110527,5191646
12,112368,120165,125242,147940,164980,132454,110715,103219,98780,104586,102647,77772,79473,82590,147952,167319,190542,162483,139914,135950,123069,140447,127808,124043,120372,117587,117390,112121,123391,119480,114457,101209,120372,113268,116097,125167,116630,110692,113202,107723,102509,105292,103889,5183306
13,89323,95156,88235,124740,152995,167895,130678,116133,79710,95490,105659,106171,79927,87002,169687,179506,184526,162746,140501,138028,143512,128420,130341,126851,133604,121216,126658,112794,112854,114847,114730,111191,116724,120334,117976,110663,106858,110751,115324,101687,100853,104470,104921,5181687
14,93615,130349,117235,149571,152059,158952,142367,120304,107685,113180,108175,112939,90456,82259,152420,164180,170802,164630,136628,139134,122884,127844,120854,124391,121380,109780,114551,111409,112573,118105,109291,116965,113064,110743,114939,111693,99296,107936,111880,104640,103118,105145,102881,5202302
15,85744,82927,75961,90232,111531,114626,97023,84350,73758,92672,83501,103534,62974,66261,164150,162904,179418,163330,148258,140086,122297,128340,131176,120935,118927,123585,122573,118430,113257,116526,112231,112048,115416,125730,119627,106077,112417,107162,105244,113378,113384,106341,104028,4852369
16,66946,71068,92773,74957,93490,118383,145012,133369,95861,83356,112875,115280,112200,83055,153512,163239,183669,164193,135549,132112,124639,122602,133344,118175,123556,112762,121301,116458,114642,123190,122625,116116,113296,123966,112679,108658,119785,111950,106611,107457,109327,107736,106778,5008552
17,89503,85587,98891,95382,118512,139802,153733,128989,100607,104426,114702,115493,134168,87497,159323,161198,182935,153532,136464,134266,125322,119585,121986,125457,115846,113592,113383,112410,114032,115530,104057,109461,118404,114038,106669,112392,116171,104652,102561,106221,111698,106445,108410,5093332
18,76049,96678,77020,75778,93521,103306,110777,94769,101888,94982,101185,111447,113658,114325,177344,172073,173667,166639,137203,130658,131621,129992,133427,126631,127087,122002,116814,119004,116844,116853,119026,113192,122439,115749,112377,112881,117649,109353,115433,109595,105745,110740,113396,5040817
19,69520,68364,66951,75659,107614,101990,133368,99699,96884,90286,90409,96194,130699,114894,166215,176526,178731,167882,139113,151032,132791,128559,125282,124440,131778,118520,119681,115255,126470,114560,112215,114989,111920,114648,110989,122578,116500,114924,108068,111867,103842,112636,109340,5023882
20,46030,63987,64700,79851,72495,86932,120414,118919,89196,113809,84579,95063,104449,142998,153148,163788,176022,174836,135451,142833,131688,137814,118685,126589,126352,122494,117950,117058,115848,111298,118217,115754,123991,135660,118699,111934,109783,117722,110811,111080,101524,105105,116756,4952312
21,50812,59629,50697,61170,66082,78457,97682,99704,79671,85986,75490,90341,87510,133304,159129,168873,178111,159909,145274,133812,129714,126186,128194,130188,117666,116713,129381,111332,111709,116383,116082,120601,114791,119713,114509,106353,105196,111620,110837,105800,110197,108415,106191,4729414
22,51719,55891,59711,47278,54032,75824,75671,91361,89807,84840,83711,67818,85063,82842,149674,164385,177734,164219,141026,141072,130663,127197,120167,115223,119122,124014,120791,120010,119297,120353,114651,111683,109605,119092,106780,115229,121364,108057,105164,107532,110080,116659,115266,4621677
23,54604,133319,53972,56096,60460,75253,78675,90181,94937,109202,102837,80553,74243,89063,150479,182948,177562,148434,138038,128050,121509,136934,129063,132802,119310,119641,124140,117999,115834,107285,119117,122292,115734,107584,112861,115074,111107,113195,110809,115362,105700,106212,112125,4770595
24,53679,63304,96110,53393,57709,70329,81284,78979,94390,98711,104179,95674,81394,65791,156082,167729,163806,148024,131488,124567,122096,130185,126982,122648,136446,112469,115592,123736,121679,114747,112808,116118,113262,113424,110176,117518,103190,108560,114490,111450,111754,107422,104775,4658149
25,43519,48897,59964,86889,54188,47258,67883,72486,64742,81513,91501,103938,87476,88196,168590,158427,169740,162205,139577,128716,119267,130734,121778,116013,112031,119782,116356,119238,118264,118072,113120,112256,117530,119321,121147,115711,110864,111765,105308,112004,108590,110433,103898,4579187
26,48630,60586,73446,62641,51501,55703,66559,72411,73126,80319,98728,113961,86229,97676,168849,162069,171344,157595,147809,127327,132429,125310,119335,119242,125393,114446,121585,121601,117413,113665,120917,113150,111823,124402,113242,111896,110748,108929,111770,111707,112906,105320,109390,4653128
27,45303,61285,60894,63022,51805,57324,50322,54986,58945,82376,93992,107619,80023,86853,163745,176372,181192,161138,144838,134104,123844,123509,126513,133145,132394,123749,120747,124346,116266,123419,122186,112868,117369,124440,104703,118753,120730,106719,103867,118153,117825,115067,119424,4666174
28,48929,49626,61913,55632,50693,49371,61635,54759,60391,67672,85482,95159,109703,84049,162374,163841,168098,144928,140811,126611,122918,136057,127669,114323,120871,126048,117878,117236,121543,121446,119804,113583,118647,126467,113078,113313,118516,112210,119514,107864,117965,104498,104483,4557608
29,74885,66839,111101,126031,103563,98639,99983,94408,114536,109514,132162,132988,146463,136196,150239,183554,181222,171700,140724,152816,132920,138212,136128,129115,122726,122392,117320,117482,117080,111146,107110,111050,108342,119579,108706,110973,116119,107091,114373,101479,109004,105504,103327,5194741
