node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,dir_7,dir_8,dir_9,dir_10,dir_11,dir_12,dir_13,dir_14,dir_15,dir_16,total
0,18247,38987,57789,33176,52082,8936,71598,75236,61248,64661,57169,54399,51328,62578,51379,46412,43938,849163
1,103391,6413,78746,83052,39400,46754,72294,43168,64143,60420,51775,56545,57390,57487,54985,53876,48949,978788
2,149142,85640,34184,66977,24951,44433,39101,71474,64529,63027,59140,55803,49514,61461,48950,50248,34629,1003203
3,41769,46848,33874,18508,68959,53628,31879,43356,46632,67815,60640,51360,49655,62054,45938,42499,60011,825425
4,64238,58401,56340,27839,37685,41072,59562,64633,63724,61725,40933,46209,55918,53510,45197,51222,51493,879701
5,27000,29366,24721,20608,23445,44102,66643,65941,58427,59062,55598,53386,35418,60158,45938,49190,57915,776918
6,24911,37291,35199,18160,25755,39691,65557,70019,63742,53938,49205,53249,56284,56072,50103,53397,46406,798979
7,28325,63853,41521,19567,23488,63709,58613,64357,33612,58024,54494,52112,52883,52333,48873,33924,47421,797109
8,25375,43279,46751,30968,15097,27803,66615,70062,62246,61442,33872,46881,56719,54711,47038,51796,43623,784278
9,22384,41247,40192,33588,29116,19655,71166,41813,63197,34247,48762,52301,36101,54854,47655,47218,52117,735613
10,19919,33080,42980,38935,44419,26161,71948,57044,65437,52772,53620,60176,54979,34570,52115,32733,45529,786417
11,22568,43737,65096,50527,66884,48498,59869,71494,63413,65184,53988,50236,61786,47768,46812,46137,48098,912095
12,37689,25008,43482,56840,35547,57798,52445,59093,65008,59506,52249,47167,57164,49681,43714,45693,47705,835789
13,46299,39369,21500,42899,43654,49122,71403,55922,60244,58699,52988,50045,58144,53444,44324,53021,46613,847690
14,55660,64995,52173,28938,45704,46142,68447,65600,52970,48076,33599,48923,52668,61386,38574,46962,46315,857132
15,56554,80984,47292,27835,44707,56757,47534,81179,63966,50936,46510,48705,66190,55961,45783,56257,52924,930074
16,48463,59836,49184,19948,36594,55793,65417,63961,61845,59564,48541,46111,56844,59721,43858,55739,50089,881508
17,49129,56983,47582,30803,36211,54332,36225,71347,52145,59633,53937,55543,45232,59665,46529,49156,52129,856581
18,47058,58750,43394,27210,41439,62204,67330,71643,57953,58289,50964,58022,52885,48140,56468,48809,47842,898400
19,60890,47302,50838,41335,24496,33277,70501,72888,58965,52180,49940,46997,53934,47880,49609,41614,49854,852500
20,45729,63727,52308,59952,40975,21244,71319,66439,65646,50176,52687,45231,53853,54934,45884,48120,56229,894453
21,27108,49807,53645,46023,43901,40045,65542,76070,64071,54911,51148,48377,54136,53072,56982,39711,41206,865755
22,20812,62619,85171,45865,54830,48927,58570,66719,59419,56177,49494,45492,51540,52669,43907,40730,43779,886720
23,40981,24669,50334,60434,46249,53807,65459,58814,65602,48906,52154,56236,42377,48712,42343,47700,41996,846773
24,65982,53790,23344,50028,60385,49036,70190,56995,66208,59248,50952,49026,42574,55088,46427,41371,38460,879104
25,61458,81759,59515,28594,45050,54377,68910,58773,61645,54994,53603,49437,50305,38331,52813,48753,44794,913111
26,56003,71726,51508,33889,41325,51076,58800,64764,55620,60043,51697,46305,45069,50955,52638,45234,45296,881948
27,45056,46021,38554,24046,36889,51267,61809,61888,57729,54067,48101,50336,45004,46385,45884,41237,41847,796120
28,41919,49707,43413,28859,44381,61283,62296,61477,55920,52550,49454,48452,48634,43245,43516,50283,36038,821427
