node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,dir_7,dir_8,dir_9,dir_10,dir_11,dir_12,dir_13,dir_14,dir_15,dir_16,dir_17,dir_18,total
0,57235,42187,41639,44864,74879,64053,80331,74623,70571,67643,67345,68133,65732,61284,57364,52139,57423,53605,64258,1165308
1,238967,155151,137784,71415,72537,88080,70821,71915,78642,81030,81735,70196,72210,67436,50534,56788,63696,57003,69820,1655760
2,69810,74487,101355,47026,57706,62302,82297,75634,72333,80582,76536,68147,66804,63241,60683,57635,55277,54272,66690,1292817
3,95194,91588,76655,60204,59596,50725,71672,67392,71758,78571,65367,67427,67105,65436,56319,57994,58189,55364,62990,1279546
4,43406,57499,61773,82164,51595,49469,70644,71746,73359,67787,61174,59246,68890,64435,59430,49725,61971,44486,64998,1163797
5,58391,70524,63009,56975,57672,38221,75760,71671,84360,67382,63258,59076,59931,58610,57370,58586,52563,48348,70028,1171735
6,51137,64211,71710,55084,48826,41915,70933,74136,74088,72342,63670,67115,67828,59614,52367,57710,63224,55133,74901,1185944
7,48228,59567,57988,56084,41440,46055,85775,85105,89981,70304,68144,60802,56978,55162,56236,61135,56799,55292,62831,1173906
8,36254,56264,54158,58475,54072,54785,82231,90429,84990,73159,71558,72366,61680,62487,55287,60574,55016,57466,62881,1204132
9,25221,32703,38433,37083,43456,43381,81579,83216,73264,71306,77688,64068,63513,64693,60177,56271,57773,58993,65382,1098200
10,26870,48865,33150,49608,41550,51593,72888,82495,78067,75465,65857,68236,65753,57824,51239,55148,59537,52385,63415,1099945
11,41465,46112,38882,44669,53546,53492,72680,75433,79166,70517,63539,71234,67831,59469,62739,59436,57019,56471,57614,1131314
12,36246,27929,39126,34743,40998,48078,86581,86896,66761,75955,72898,63360,65566,67751,62283,62209,61823,63887,55366,1118456
13,64147,57335,76600,62121,81412,70371,70347,73515,80855,71078,67752,71780,62350,63320,53162,56382,55471,49201,54272,1241471
14,58996,58328,55805,57255,55549,73721,75311,67559,68583,68424,73876,66939,67119,62929,57704,59206,51824,54264,52307,1185699
15,64818,59977,55464,68290,65186,78607,73894,85403,67331,73882,65921,67213,73956,61379,52556,54112,57128,53753,52493,1231363
16,57971,63805,61486,55916,57563,57089,67130,71416,82604,61042,73008,71879,61495,64284,59147,52251,62312,55067,49392,1184857
17,55327,72397,69705,71948,57976,60793,75215,72783,74072,83340,63362,64691,67258,59154,60277,50183,54346,48160,63978,1224965
18,65267,87549,67965,72642,64822,62419,79174,77783,73291,68913,84388,58380,56669,60456,59745,55059,55239,52520,61881,1264162
19,66227,89224,70581,59690,60602,67839,81262,82764,77479,79370,73370,77863,59002,62337,60569,57695,58266,53131,61917,1299188
20,65616,75427,67923,60370,51285,65386,78814,82445,85584,66849,74574,62237,72169,59892,61202,59115,59287,55799,53356,1257330
21,53740,74764,57864,56617,48754,58321,82973,81912,80198,69434,69686,61530,68787,63398,53159,59514,52152,53293,62452,1208548
22,64196,48042,61156,59013,48399,56781,80298,81147,85036,64263,70971,66035,67793,64934,63735,51212,55211,57241,56468,1201931
23,59448,68449,57062,69668,58626,51545,77290,84423,78970,75518,75242,67145,65069,62260,58127,52915,54816,53583,54905,1225061
24,47111,68908,56595,65522,54608,55124,81889,84074,87821,72793,68703,59732,66977,62964,56592,61362,62258,55258,59135,1227426
25,63533,65598,64849,49859,58734,55525,89582,83714,92956,74695,74757,72454,64262,60239,51565,55332,58320,57628,58145,1251747
26,66152,68376,69906,59635,80287,69297,71284,72823,77734,70538,66189,60967,64562,64790,57250,55027,55135,48323,43526,1221801
27,61674,69809,60039,68037,65171,75304,80732,73936,68744,73194,68020,57614,60987,53648,56966,57814,50988,51066,52629,1206372
28,53372,64398,56074,64518,65351,79399,71941,81223,71791,67877,59064,64812,63660,63565,58262,51954,51097,49322,48659,1186339
29,61935,64462,62137,52801,66255,60141,73144,95016,70645,73795,67275,60467,62505,63381,53616,58940,61669,46448,52049,1206681
30,59861,70743,62127,62848,66937,68718,81184,79457,61268,73022,73750,64522,60732,58766,65932,54718,48714,47503,55176,1215978
31,56848,73958,61973,61568,60766,63948,86460,72408,81774,70388,67286,58956,60906,70444,52791,53346,48873,45796,52707,1201196
32,55599,65035,54223,61924,53844,61607,76528,77624,72275,69624,66632,62929,59999,58675,51176,54039,47869,45331,49809,1144742
33,58413,70566,59832,57694,54514,59335,77366,74999,77231,88387,65943,60480,63724,53718,63366,55197,52503,51579,54827,1199674
34,54803,67701,65311,67783,57698,59922,77168,79186,70805,75356,66524,61115,63118,52891,57854,56411,51383,50860,54944,1190833
35,66615,61204,70539,69677,65371,55199,78139,78062,78385,71959,88393,64346,62922,60885,56908,58807,53027,50375,53751,1244564
36,59690,66611,51986,64525,60695,59686,84309,84740,82878,72008,68698,61242,63009,64524,65425,54245,48591,55545,52486,1220893
37,59925,77846,60778,68295,64239,55309,72177,81869,74222,68608,69673,81236,61310,61281,61279,59882,57857,53037,44911,1233734
38,67348,60965,66029,53695,71569,59654,77292,81178,85924,74505,67544,66021,64355,63838,56612,52256,54217,43825,41135,1207962
39,62819,57349,66382,55760,71332,63406,74108,73010,71018,62692,78324,51381,53234,46596,45916,48985,47225,47235,51759,1128531
40,58603,74024,52820,67015,66882,75482,74582,71907,66718,61796,62434,59110,48792,50913,55263,54626,51893,51654,40350,1144864
41,55201,71099,59987,72025,59326,65735,71498,64547,61975,69771,64805,58836,51509,52870,51307,52813,52088,44753,43733,1123878
42,62232,54700,71054,59524,66219,59036,73206,68739,64049,61353,55392,61468,57048,55476,55518,57201,49297,46382,46056,1123950
43,60282,74511,57165,65848,59026,63100,73543,69440,69161,64224,60949,54366,55979,56241,47555,51759,46911,44457,50083,1124600
44,51590,65139,58276,57520,52306,60413,66678,63585,58883,63721,63928,58724,56911,54129,51169,52412,54265,49113,49787,1088549
45,53698,62646,54093,61167,56665,59509,78034,68283,66402,66229,64576,56673,59733,58030,54576,48441,52524,45280,50702,1117261
46,62018,66672,61996,64374,56470,59439,66912,68930,77185,63721,66758,52764,57461,62384,60414,51767,48055,47321,52964,1147605
47,51372,65845,59295,61807,51576,59943,72535,67305,68772,66416,63484,61575,60460,55850,53812,49395,52132,49527,54262,1125363
48,62261,48019,66048,55134,58598,50616,69261,73661,68467,66833,59390,61195,51778,61677,53039,56759,52307,52135,53542,1120720
49,60095,73573,58075,67154,59546,51636,74248,69359,66836,82502,61082,57781,57700,53682,57778,56388,53449,53639,49203,1163726
50,52926,66107,57345,65842,56323,61324,80413,69691,67010,66655,61336,65384,52329,59616,51634,52529,54288,48404,47052,1136208
51,60589,53046,62486,54721,53993,48610,83811,69555,68252,70202,62406,66058,53178,54694,57128,51950,51431,49647,39371,1111128
52,60030,55419,67403,53092,65563,63018,71357,63463,65150,79561,54381,51849,46655,47334,46627,47811,45918,43794,40077,1068502
53,60279,65614,50926,68788,61203,67882,72536,63055,65657,63824,53498,53827,49587,50457,53150,48109,41680,47557,39943,1077572
54,52348,63552,60573,76072,53546,74034,69612,60421,61551,63348,54391,57327,58370,49166,50336,43673,45012,47528,40494,1081354
55,62730,58334,61728,58049,69648,60912,70038,64960,63297,59259,50741,50939,49956,53537,47325,49804,52196,45882,47109,1076444
56,60470,69545,49859,60698,55380,57938,63813,61523,62889,61646,67699,50671,50059,46795,51811,49920,45659,47930,42596,1056901
57,59056,70305,55559,54905,54737,64909,65981,75852,60692,61767,57943,55230,53092,57213,51007,47943,38815,45040,46306,1076352
58,55248,64530,56790,65178,54844,53243,69089,62096,54665,51677,57663,53456,57462,50896,48102,49840,43454,46538,50310,1045081
59,49102,61201,53197,64572,52694,59537,63098,65673,57810,58803,56307,60392,57325,53211,55108,49350,47137,52701,48407,1065625
60,46327,56768,56168,62178,54305,55808,64421,66577,64950,63106,58425,60579,52221,53188,50189,51165,48309,47913,48972,1061569
61,60984,49590,56623,52812,56838,54617,72544,64940,69911,58369,63157,57719,57460,52131,46009,51062,51645,47803,49635,1073849
62,53438,67288,49475,58008,56450,55920,67075,65995,54979,66748,58891,61193,57077,54242,51932,46335,52272,48224,46407,1071949
63,45966,60372,48008,62578,50406,58772,67128,67043,69980,61136,54441,57892,52392,53223,52104,56659,44382,51953,45723,1060158
64,57979,47247,55966,51854,60762,45314,69786,61904,62675,56604,58742,62605,57257,53104,47687,52667,48049,49996,43833,1044031
65,65272,60669,65770,55748,69420,58466,61881,60877,52186,52018,48821,56191,46450,50658,42672,45378,41199,39308,42172,1015156
66,59450,68651,59269,66360,58959,64952,68942,58146,55181,52041,52325,50467,45230,45568,46313,45315,42863,47727,40827,1028586
67,56675,65084,61138,64885,59402,75170,63762,60393,56909,52061,51202,52484,45790,50061,52199,39840,38681,42613,42514,1030863
68,55340,49758,62299,58895,61851,62091,57166,54803,57357,66656,53286,51496,50307,40513,47505,48426,44310,46335,44068,1012462
69,56719,66029,55226,56377,51160,57511,71859,65127,58432,59465,53766,51830,51229,43320,47863,49332,47884,47903,42508,1033540
70,54204,65537,55547,55560,54513,58401,74737,56109,55497,55786,46399,53077,60924,52931,42404,54034,40063,46574,42120,1024417
71,56886,66976,52546,56849,57232,64074,69047,65197,55710,56926,51992,50597,57299,51558,51108,51235,43260,44054,44587,1047133
72,49878,61445,48748,55916,49395,55345,67183,63623,51623,57118,54973,51531,55561,51573,51319,53906,47646,50673,40066,1017522
73,48965,59755,54772,58398,49699,59619,62902,57719,53481,57006,68060,54581,55893,50025,45592,43329,45772,43639,39953,1009160
74,59434,46425,61367,55435,57376,58280,65128,66985,54815,60972,56035,53340,54750,53079,50782,46416,42579,45532,37976,1026706
75,53956,64521,49795,66835,53535,54353,65389,60748,59077,57542,57388,50640,49947,56896,54279,53352,45296,46029,38349,1037927
76,47498,58503,51511,65409,50573,49223,62653,60097,67243,49520,56051,51626,51438,46373,50683,47651,44829,50480,49333,1010694
77,58800,54083,56535,54744,64030,49224,59109,60781,65916,64127,58052,51014,55226,59620,50411,52585,46324,49391,41791,1051763
78,54393,49819,58412,58482,69630,58541,63216,54776,62799,48458,49192,45740,43037,44931,48258,46726,45089,43653,37239,982391
79,58287,63007,50867,59805,54455,63922,74710,55033,61028,57203,48964,46817,40506,41645,43127,46156,42952,38568,41386,988438
80,51320,61122,50429,54698,49347,63295,68363,56508,54911,52977,49305,50440,47511,47940,44812,44664,41344,41239,42783,973008
81,56204,53202,53263,56611,64877,53000,66567,63818,58818,52420,53269,47321,43194,49169,53021,45168,42363,40098,38526,990909
82,62005,68535,56563,58862,51164,57805,61981,60352,50952,46737,52857,50083,49322,55652,48172,40787,45165,35910,44213,997117
83,52300,65948,49749,57067,48821,62151,64830,55580,60565,52426,50098,57431,49521,42468,47574,46361,48188,41146,41956,994180
84,48911,62675,48404,57288,54836,65595,62930,50615,51919,64044,53572,49522,43383,47635,46995,46722,41850,43518,41145,981559
85,49624,58961,53415,58453,52776,51640,61054,70201,54740,51010,50307,50278,48490,46046,47077,46220,43839,44138,46318,984587
86,47704,58608,51263,58601,55601,58760,60514,56391,48306,58402,51851,48532,51013,46237,46876,40959,40812,46884,36787,964101
87,56005,44333,57123,42340,48731,49458,66855,62085,52757,58280,52788,51984,49886,45599,48858,48858,40194,41922,43180,961236
88,49029,56810,46297,55760,46345,55776,59277,61943,56489,52304,53987,48536,51279,49056,49048,43614,48934,46057,44652,975193
89,44126,56548,46820,59311,44977,50668,67619,56648,55262,55763,53038,48392,56957,49804,46404,46454,38015,48093,40402,965301
90,51532,49442,57425,52959,54755,47175,60625,59410,53455,54467,67599,49476,46698,47778,49756,44191,42405,41164,45982,976294
91,53985,49876,62078,52455,58599,50330,74106,54643,55745,53054,57465,51926,42568,47330,41025,42295,37906,39400,42819,967605
92,51467,61545,50927,73289,56364,54856,67676,54381,46837,52175,51448,43408,46603,46752,46490,43174,43746,40449,40516,972103
93,50327,58076,52626,64263,56288,64882,60737,56368,66210,48755,45471,47087,46472,43549,38715,44674,38772,35334,37966,956572
94,55924,46601,59536,50221,57460,56738,55053,56268,50963,48057,62120,44194,41287,42906,42290,37486,45268,41743,39375,933490
95,53202,62520,50527,55993,49123,64494,60598,58224,56240,48952,41462,47480,50684,44647,40159,45492,40318,43755,42071,955941
96,52009,64180,54432,53308,54914,53838,62335,54970,54187,49560,52604,52305,46540,49174,50560,45775,40098,44608,43824,979221
97,51270,62373,45950,57861,49161,62614,66751,52430,52138,48331,51285,49687,47485,43221,42835,45003,41248,41088,46711,957442
98,46939,55580,47138,58175,54449,57327,60491,56552,55462,50435,46667,47920,44803,43743,48602,43065,40097,48041,39612,945098
99,44587,65789,50746,57005,53562,56636,61742,70650,46374,47559,44358,50453,41859,41151,40133,44220,41165,44381,38937,941307
100,53026,41875,55932,52215,52486,49726,62847,55109,45593,65359,55860,44972,44110,47135,40729,44473,38707,41345,39908,931407
101,55615,58585,46307,60469,49770,55464,64160,56788,48436,59152,50671,58166,46341,43863,45860,46122,43566,39548,40839,969722
102,43407,55843,47592,57421,51212,49565,58436,63853,51342,49773,49265,50349,42327,51810,43478,46120,44258,42492,44487,943030
103,53185,48320,50140,50786,56617,46554,64078,60204,56131,53885,50554,57300,43637,48870,44023,43774,45094,41885,39096,954133
104,60273,54718,62428,49060,60711,48277,67525,60443,51637,47834,47876,49474,42327,40260,44217,39542,38288,33893,36736,935519
105,48017,54414,46335,56618,47224,53157,64457,55465,51062,51251,50532,51471,42284,40377,38244,41113,38721,36663,41538,908943
106,48252,55672,49196,53820,49393,62217,59717,54249,51162,47479,49324,49682,45512,38567,40333,43543,37468,38990,38183,912759
107,50661,47642,53779,44419,53543,47733,54913,62891,52284,53485,50073,45711,42154,49217,44923,40103,40919,35534,39735,909719
108,48836,58751,49270,54021,46756,52713,56005,54961,60839,45497,46998,41950,38720,41481,39183,38526,38637,42441,44939,900524
109,46801,61762,46751,57613,48968,50681,56887,53970,51108,48479,48259,43916,44315,55774,41739,46632,37762,36885,41795,920097
110,42325,58303,44398,53949,42438,50251,67331,54607,61599,48655,45673,40459,41286,48022,44277,38567,38772,42331,44881,908124
111,45951,56842,49343,57104,47379,52816,56327,54925,54222,41547,60215,41752,43549,43182,42435,38764,40939,39896,41875,909063
