node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,total
0,31516,28999,24502,21479,27195,20960,17012,171663
1,48337,31068,30146,21260,21154,25105,23366,200436
2,27578,27257,25021,26507,21288,24371,22513,174535
3,19736,26743,26933,23730,23666,20137,23023,163968
4,21815,22876,30283,29949,30011,19453,23395,177782
5,33602,36598,28149,22052,17554,21419,20430,179804
6,25306,36691,27625,24231,21041,22983,18525,176402
7,19219,28328,28156,24676,22327,19785,22832,165323
8,18510,19409,27461,21412,22527,20171,20291,149781
9,28171,29141,33012,24582,19641,23590,18564,176701
10,23890,22704,21072,19672,20166,15890,18171,141565
11,24962,21848,24057,20491,18817,18490,19440,148105
12,19959,23660,21615,26168,21580,16890,16342,146214
13,24412,22977,21688,24450,17927,17344,17886,146684
14,24075,20557,22170,22118,22747,19149,18614,149430
15,20267,19126,27483,17716,14916,16928,12894,129330
16,17858,19424,21808,18405,16279,13444,13076,120294
17,21104,23052,20443,20543,16180,16348,16312,133982
18,22072,22894,20423,19519,18664,17106,15659,136337
19,17955,21949,24441,18204,18261,14828,13289,128927
20,19382,18482,23811,15721,16492,11649,11921,117458
21,15499,18586,23815,17901,16430,12882,13943,119056
22,14796,17286,18459,15280,14499,15210,15328,110858
23,15923,17113,19580,17240,17758,14801,13838,116253
24,18221,19911,25244,17556,12326,12639,12145,118042
25,20476,30865,27051,23709,18414,25086,19204,164805
26,31926,30719,22026,19770,20069,24422,24046,172978
27,28139,26659,22391,22344,20595,16960,22829,159917
28,29917,24517,23356,21574,18957,22828,18562,159711
29,31791,28650,27168,23933,22381,26965,21137,182025
30,22364,27587,20695,21106,17678,21659,13677,144766
31,30130,21958,23313,17114,17441,17959,17072,144987
32,26636,17807,21951,19684,21263,17191,16737,141269
33,23503,26482,19048,15524,13124,18622,17002,133305
34,23478,27733,22288,19176,13779,23674,13956,144084
35,21340,21289,21452,16613,17411,24050,18029,140184
36,32093,13564,16468,17081,14838,14920,11802,120766
37,25194,23829,18418,17429,19643,15794,13090,133397
38,19148,22564,22273,15195,18074,18084,15102,130440
39,22724,21831,18472,17187,15316,13311,14445,123286
40,18101,18061,19329,15789,13895,18237,17193,120605
41,22814,21190,17720,18289,15027,14862,12976,122878
42,20047,25749,20220,13709,12857,13604,14904,121090
43,21312,22888,15301,18245,14932,17342,12301,122321
44,21594,20494,14371,14798,14840,13263,13636,112996
45,19230,20543,17106,15640,10632,15656,14609,113416
46,24379,19416,17877,16429,13419,15903,13294,120717
47,23715,20556,15590,14876,13882,13851,13115,115585
48,19955,19722,22195,14648,14693,15848,13785,120846
49,22453,18363,16875,13307,13308,13535,13593,111434
