node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,dir_7,dir_8,dir_9,dir_10,dir_11,dir_12,dir_13,dir_14,dir_15,dir_16,dir_17,dir_18,dir_19,dir_20,dir_21,dir_22,dir_23,dir_24,total
0,66055,78167,48662,42861,76245,59229,60046,85630,103554,108093,114855,96977,98587,90271,82776,79511,84238,74893,77287,78974,73152,79165,68967,77932,70968,1977095
1,406624,246667,240872,121360,121758,138258,92665,83257,100266,110310,112660,109092,100234,93628,80626,77856,87986,72004,82752,74013,66731,75899,77779,78394,75106,2926797
2,118449,154289,118119,117981,39632,75733,78374,67276,105190,106309,104920,86654,86738,80739,80205,76039,78772,73989,80379,71550,74876,72405,67732,76424,71395,2164169
3,78498,95122,76615,91326,55529,62061,70660,53867,96956,109009,108946,97228,93865,87451,80176,79218,72363,79903,75184,73932,71378,73015,73770,75533,72978,2004583
4,55722,51601,80983,77731,75787,55464,63871,66010,96752,119284,103700,89645,92652,82167,71935,74261,78187,74220,75400,65089,74168,70761,75206,73819,72492,1916907
5,70088,83015,98964,72863,70687,44451,56194,66806,104592,111300,116693,94951,95429,85787,67871,77403,76673,71995,69745,71977,76808,72318,71712,69988,59581,1957891
6,63732,71689,87364,68035,63347,50022,57782,76445,103773,122006,96999,86299,88289,83819,77196,76060,79711,72226,75552,70883,75778,72211,79747,62013,68167,1929145
7,63038,84319,101605,82014,76407,63964,55330,68566,99241,121264,111837,97880,80604,80092,80455,75764,77114,74379,72682,67089,73301,74148,80060,62315,76587,2000055
8,55231,76516,75673,77080,71376,78227,66487,65913,111519,108236,102691,86166,84945,86749,80273,81721,84192,74898,73736,75452,74998,74524,86761,68344,72548,1994256
9,41651,43465,85622,84797,86400,75836,71364,61848,102429,106147,107965,82053,85369,79759,71496,72697,74846,73699,73193,73853,80740,67760,85203,66675,69302,1924169
10,59934,65573,68570,66190,70305,68725,67545,69511,111377,108747,95833,86163,72786,73487,75360,75322,76195,82921,75837,69769,71933,64528,83311,70075,70976,1900973
