node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,dir_7,dir_8,dir_9,dir_10,dir_11,dir_12,dir_13,dir_14,dir_15,dir_16,dir_17,dir_18,dir_19,dir_20,dir_21,dir_22,dir_23,dir_24,dir_25,dir_26,dir_27,dir_28,total
0,26454,72045,62727,97003,143082,55120,74901,68038,74453,16872,125115,91049,132509,135930,119220,83262,114355,113993,109570,97519,95016,104939,97870,88430,104326,90763,103092,92556,92958,2683167
1,234773,92783,184070,193795,117629,216963,26279,87226,88835,41575,116695,127014,132057,124961,119172,117167,105776,70812,93785,69688,94572,89146,89245,86482,85423,85246,100905,78250,84861,3155185
2,383637,151494,16833,195572,259675,243287,262071,79172,64336,126838,70100,121652,128449,135229,119077,114887,115010,113394,105684,105988,87773,57168,84101,87544,92353,89478,92315,80224,86958,3670299
3,68653,110584,72515,23979,60845,116644,139813,54690,62804,94235,106932,122673,127750,118907,108513,110082,108884,116047,62047,95075,102507,90063,96061,88490,87343,84048,95639,77935,89940,2693698
4,64627,51424,61835,43419,22329,43323,72916,94015,69769,54295,98682,115102,131296,69096,112254,103602,103640,99804,96650,91514,96462,93092,86212,84765,83301,83712,81281,84094,95121,2387632
5,39314,61149,63835,72326,49105,25827,35732,60036,61553,68930,105949,126590,127177,114598,103133,119380,96874,66638,94514,84328,63047,89666,89208,79091,85079,82357,79402,83306,96565,2324709
6,93345,78766,90600,84567,74015,38596,50872,61508,65481,67453,108316,121957,132838,62466,108575,108639,98919,94853,100322,82425,98236,85527,87953,74509,80213,89351,78147,82378,95743,2496570
7,47950,61841,54368,57605,43558,29300,39874,50176,51859,50396,77520,120509,128435,126179,106267,103424,99586,98331,98628,88236,96439,97620,87275,81719,87126,81675,83819,75273,99086,2324074
8,54787,63529,54774,57437,33730,26715,38888,47974,47446,39676,119383,79744,125068,115870,103576,102587,96784,95521,94679,83079,97555,89804,97329,79789,83430,86406,100511,91436,60447,2267954
9,44915,46620,41692,45910,28851,29500,32033,49012,65270,38010,109623,123794,118695,114594,108725,106887,98997,111245,96034,83134,74274,89476,87442,77981,80882,52831,83382,88763,94241,2222813
10,29321,38294,51084,49819,32761,25430,34356,56021,65315,42088,66537,131925,117243,113113,101023,102162,102044,70103,95167,88959,89825,84526,65010,93331,88643,87891,86440,87608,95996,2192035
11,36450,52004,84423,74166,46376,24321,44536,76639,84225,39911,111574,125195,113983,110500,103060,105007,101138,104965,92485,58194,93183,89447,88020,88418,58189,91980,81956,92095,65913,2338353
12,43488,46469,64289,70418,43634,27114,40722,79748,84424,50994,117810,131185,122010,126786,105501,105830,98478,107442,96871,98371,97261,86799,87968,91426,91598,87522,52301,91075,97778,2445312
13,72450,67752,73252,75792,53097,26522,39538,84507,109413,134606,76485,128511,122507,124651,106932,114780,112282,66089,102970,103748,101013,91815,94975,60061,91166,94685,81155,87448,98009,2596211
14,78775,56131,65138,72492,82637,54882,31360,52733,113205,134195,120177,124129,125796,112110,103400,110008,99976,107363,94893,95137,98506,92223,83467,89377,90511,98715,79852,99592,97201,2663981
15,47894,79347,38120,57345,71615,67730,50465,30599,42054,115856,116888,132153,121692,115921,119135,109675,103675,103936,100299,103752,97997,88494,74809,90461,87297,92496,86412,83268,86456,2515841
16,59155,60984,76877,39817,51680,44639,68958,45966,30462,36841,121759,116847,118314,106270,103075,101066,66785,94779,89199,94686,92034,68081,81753,89437,89047,101969,78585,91665,83835,2304565
17,53028,61285,73149,83398,33978,63577,72022,72479,50747,27123,112532,114541,73069,114542,105365,105892,99934,102810,94777,86659,98454,90809,75549,92092,84634,82372,91128,86898,91224,2394067
18,22673,48376,58896,62327,73898,56921,60294,70742,67435,46747,126533,70191,121706,116185,106906,108802,103004,96545,87667,97370,108787,87105,86772,94170,90469,90931,88446,99139,89817,2438854
19,22621,66244,88298,103244,102336,84350,105994,111673,125647,88173,103198,137500,129655,114296,105949,116938,100189,103464,104606,99027,93685,95522,94546,88418,86906,82334,86312,75018,81989,2798132
20,59197,26184,59158,78514,95528,99444,47224,85216,74102,111480,107904,127102,124704,114845,119999,108555,103201,113555,88550,101574,105478,97164,58161,85862,81662,83841,89802,78838,88014,2614858
21,81776,61138,38840,73684,92817,88847,68948,75117,81953,93617,117360,124395,104886,116470,115379,106455,88083,108629,90960,93191,95795,97930,94380,79902,94131,76981,78949,87946,86887,2615446
22,96707,111866,80422,43211,67511,102192,99650,82235,80164,102598,111832,121120,113629,108925,119352,106763,103437,107341,92755,98465,89104,97191,92213,93094,90003,81462,80192,79366,96065,2748865
23,101736,116709,127571,78141,37978,59671,85356,105033,104433,91665,109150,74525,128632,112481,108713,109032,110352,72558,101433,98598,91962,90660,86853,85263,90840,84589,70417,93754,85541,2713646
24,104836,125525,141355,132544,75006,46471,64886,101963,117323,107015,108155,133430,74807,137716,101809,109470,112678,109385,92170,92010,91325,89915,84009,84760,62105,96346,78215,83627,85780,2844636
25,99991,127587,137809,131748,85046,40056,69325,107038,117086,94262,117162,125781,126623,108252,132841,104927,96331,107302,63151,96589,94887,89717,89568,84026,82143,93997,79130,80971,94657,2878003
26,103430,119245,119675,117668,84170,39451,55021,92276,99130,91856,118937,127595,129436,122004,99003,106515,100780,102692,103458,94010,95338,88099,83716,78935,93978,81974,79467,86991,99874,2814724
27,94941,101268,103885,110609,75509,45781,56586,94711,101943,77811,121799,126436,121519,119014,105434,111854,114984,95764,90129,101164,95444,91438,87188,93772,93041,90018,46970,89438,92288,2750738
