node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,dir_7,dir_8,dir_9,dir_10,total
0,14612,31682,40339,4206,42422,39684,32401,34036,29813,25367,26614,321176
1,59814,2990,38676,42664,23193,43599,20762,33809,31098,25990,28543,351138
2,43611,33058,18156,32922,39777,39119,31959,31930,29412,29048,36119,365111
3,30186,37954,13469,21797,43277,37859,34069,27556,26258,21341,23221,316987
4,27842,31634,11057,21339,25218,35174,35274,35713,31422,18887,16783,290343
5,30338,27427,23055,15723,35808,21047,31422,26666,27231,27645,30948,297310
6,18090,29416,28781,23500,41890,27934,34432,30886,27720,28380,25224,316253
7,15677,31083,27869,28700,35598,43088,34793,25254,27718,23623,23812,317215
8,25805,12526,28554,31297,40843,32932,34366,27639,28442,26072,25815,314291
9,31848,27323,16592,24762,39199,30736,28608,30014,23124,26883,24027,303116
10,36292,28409,14383,25085,39630,38191,37341,25167,27764,27875,24464,324601
11,32592,28060,14918,34249,36366,31535,29054,27546,27234,28752,25242,315548
12,35109,29685,26543,16384,45380,33751,30892,27512,29203,29232,28406,332097
13,18386,36066,33441,24313,41904,21997,34688,29300,27944,27226,29636,324901
14,10994,36056,32212,27006,34900,38800,32410,23279,27842,29503,24357,317359
15,25053,19145,29917,30818,39758,36718,30451,30962,25732,28938,23780,321272
16,34593,30667,16466,26452,34927,30809,26887,26765,23783,25536,22288,299173
17,34515,28604,13252,27338,37235,30970,29444,31061,25517,25406,27609,310951
18,30783,25179,13950,30850,42730,32368,31204,30490,22659,23167,25077,308457
19,29800,28870,24625,14111,39075,33670,30153,27470,24338,23412,24166,299690
20,17257,37756,31735,25347,38681,34643,29506,23275,23841,23322,24135,309498
21,17831,31880,30778,23362,32121,31195,28044,26045,23731,23702,21251,289940
22,21260,15799,28367,25431,35830,36561,27393,25099,24169,23781,22441,286131
23,33655,25053,17665,24925,36640,27103,24874,28680,22078,24502,23171,288346
24,31802,25411,14060,26339,35198,25986,27906,27651,27748,24206,24300,290607
25,29586,23708,13127,26455,32218,30574,26686,27821,30536,22657,25099,288467
26,36996,30851,26721,14805,40818,35560,27610,25420,25932,22492,22939,310144
27,18196,38012,32518,23185,34908,30271,29224,27832,25770,24298,21715,305929
28,16772,33318,26457,25520,33493,30227,23943,28121,23356,23029,19653,283889
29,21943,15686,29356,30467,33677,26274,27439,22269,21394,21797,21536,271838
30,28363,24015,14046,28545,36737,28252,27340,20870,23705,23533,23492,278898
31,27726,26567,17255,27713,30070,29634,26244,25820,25426,25408,21731,283594
32,26113,28207,17287,30084,32927,25280,25990,23164,26399,21568,20832,277851
33,29940,26983,23880,13410,35336,31626,25801,26532,23333,26575,20718,284134
34,19368,28534,28180,23653,33282,33591,31439,25489,20493,25070,23673,292772
35,17394,27310,29623,20970,32389,28786,21613,23810,19464,20747,18492,260598
36,23693,14281,29227,28032,34422,25601,22515,19540,20510,23877,20406,262104
37,30476,24458,16413,22422,33877,25795,24856,24485,19658,22044,19983,264467
38,30706,23593,15953,27789,36872,28934,26327,20981,22649,21925,21319,277048
39,24184,23818,11396,25949,32584,29155,23861,21736,21224,23794,20522,258223
40,25439,26416,22953,12651,34454,30817,24509,24386,24719,23457,20536,270337
41,19224,27852,28357,20498,30674,28632,21439,25065,24665,19540,21430,267376
42,23455,29364,23511,17370,27191,32538,19180,20783,20628,18403,15585,248008
43,20411,15691,29989,25228,37360,29747,24654,22399,21430,18525,18282,263716
44,31544,26146,12407,29757,33306,22781,20506,20511,26273,22092,18368,263691
45,25949,26459,14359,27521,33465,23028,22359,19895,18725,20210,20120,252090
46,21349,20062,12467,18458,33564,26671,23334,24264,19920,20794,19041,239924
47,24193,22356,20822,11615,29172,29995,24170,21235,19050,24640,19981,247229
48,19403,21941,22084,19222,31391,27832,23555,23044,23734,19089,17473,248768
49,23616,28456,36042,29014,31780,30298,27341,29996,30619,24295,23577,315034
50,39224,28681,32606,32960,29179,30280,29427,17410,38247,35219,30493,343726
51,56455,36274,32145,31985,33173,33017,33274,16873,29528,32619,28126,363469
52,43244,41818,36705,31400,35472,33657,32167,22088,18337,30608,33523,359019
53,41359,41144,42046,27741,35042,32383,27241,25915,23910,20684,26871,344336
54,39373,50324,37048,36731,34257,33137,37275,27864,24479,18607,25578,364673
55,48121,43690,42097,42397,39691,34792,36208,11507,27943,22441,14647,363534
56,22836,24476,26433,34233,24232,29560,30912,23936,31866,19945,20311,288740
57,37336,35786,31199,29851,29590,30668,28300,16794,27729,30091,25364,322708
58,42286,33125,35489,37280,36975,27610,25544,17551,25813,25562,25628,332863
59,33507,36288,34684,37326,32479,26760,24922,19302,18375,21160,26985,311788
60,27452,36392,29390,26729,29411,32741,27567,22064,21269,16934,24084,294033
61,29281,30977,31659,27413,25639,28310,25890,31277,21059,12977,24560,289042
62,35294,41866,38832,33472,31788,29372,27908,17240,28338,25231,11770,321111
63,23236,22380,27150,28186,23501,27697,24210,24323,25710,21462,20921,268776
64,41145,27205,28873,25792,22965,24563,22701,12019,24533,17781,22229,269806
65,36208,27658,31166,23677,28600,24056,19522,12136,21514,19926,23182,267645
66,26491,32618,30061,32158,24545,26831,21628,20389,13136,19366,25323,272546
67,30064,29040,29873,26249,27905,26877,25872,21140,19172,11417,17608,265217
68,29045,29331,29998,28506,24870,23165,26349,23119,21231,10369,22344,268327
69,34562,34320,35494,34712,27761,26671,27440,15855,20900,19577,12463,289755
70,23665,28559,22858,22814,24966,19561,20305,24201,20291,18773,17925,243918
71,35137,26780,28181,29070,27050,21425,18320,13088,23030,23705,22003,267789
72,37609,31564,27107,29055,26408,28368,22750,10982,15812,19331,19808,268794
73,23588,31778,22406,28336,26348,21775,17797,17635,13385,19484,21462,243994
74,26457,28425,27680,31031,27274,24562,23949,18812,23023,12668,17130,261011
75,24821,27723,28360,28936,24809,22561,20845,26089,19571,11534,18805,254054
76,28909,29791,28755,27274,28949,22876,21710,12889,22437,21394,13354,258338
77,23934,22279,25689,24687,19035,23366,21388,19671,18834,17735,20872,237490
78,29596,30363,23987,26413,23593,17527,17726,14221,20103,18625,20863,243017
79,31188,26337,26846,22309,24768,23210,21229,11033,13704,20234,19903,240761
80,23215,26234,25855,21563,24124,20425,21105,17254,12017,16851,20059,228702
81,23218,28718,24784,22596,23841,21534,21623,17757,18305,11737,21899,236012
82,28433,26917,26571,25590,23637,21040,23653,19344,15461,12751,18796,242193
83,30341,33232,33051,28529,26634,27468,25413,12452,20617,16898,11243,265878
84,25501,27030,27870,19001,21721,19171,19287,22539,19595,19392,16924,238031
85,32004,28829,24980,22127,21337,21740,21138,14694,19260,19593,18684,244386
86,29826,29064,21080,21709,19461,22697,17714,12266,15656,16590,21874,227937
87,25180,25375,26918,24240,21360,16221,18929,17432,13231,19278,20669,228833
88,21283,24488,27150,29669,23221,19072,19645,17501,21833,12615,18932,235409
89,23547,31251,28993,27009,24243,21884,21044,20167,13363,11007,17071,239579
90,26698,33086,28567,26176,23697,22825,22302,13662,19663,18655,14602,249933
91,26535,23620,25619,22321,17519,18936,19722,18415,15551,16506,14547,219291
92,29424,22691,27713,25300,18212,18783,21215,11570,16626,19727,17040,228301
93,31071,29640,24512,23514,24485,20234,16957,11748,15403,18311,18101,233976
94,25869,22870,24240,20877,19143,20508,16586,15036,13877,18431,18499,215936
95,22283,26520,21049,21545,20873,18859,16637,16190,17296,12540,19472,213264
96,26117,29184,24725,20518,20257,20357,22776,20894,17920,11560,18031,232339
97,28396,31621,28513,21765,27768,19646,16830,10984,16187,16913,13045,231668
