node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,dir_7,dir_8,dir_9,dir_10,dir_11,dir_12,dir_13,dir_14,dir_15,dir_16,dir_17,dir_18,dir_19,dir_20,dir_21,dir_22,dir_23,dir_24,dir_25,dir_26,dir_27,dir_28,dir_29,dir_30,dir_31,dir_32,dir_33,dir_34,total
0,125742,117386,116506,130895,118576,166756,116242,96788,94347,96513,77486,165349,81439,107290,103557,103071,108542,96836,98471,98193,109265,118024,102300,132903,111903,111354,106782,107620,102953,108603,109291,105683,106706,109025,103825,3866222
1,376369,103674,70141,66515,53115,88151,108794,64753,58829,57739,60239,58038,80767,57793,50346,50490,54288,52411,52240,51038,51543,49681,50269,48118,55118,50489,56728,49546,51828,54137,47060,60905,50683,54967,49324,2396126
2,74190,173324,75843,64426,75126,77878,84279,99312,57992,54155,60395,62751,76169,56988,67707,45295,46563,53228,55058,59600,53375,54060,54145,51523,47387,52413,54584,54052,51849,52662,54659,76550,54165,54201,47920,2233824
3,87346,178068,317730,85372,84855,105884,83019,82182,87897,52719,63029,80169,109620,70046,60929,57500,47906,56909,53119,51463,53314,47543,44370,53058,58378,54551,50886,53737,47676,51467,59705,57861,50040,52688,49172,2600208
4,56422,132015,101078,281811,108175,98698,89484,83492,78256,79118,59439,121584,79592,69178,54754,72459,56391,49403,44960,48918,80233,55033,55708,55827,54631,58265,59855,50619,48975,64710,75836,57640,57821,47767,50430,2638577
5,67811,111208,92393,144176,249510,86315,69222,67376,57447,53446,83070,105471,124246,55703,44313,45111,58545,48675,49034,41761,50717,39871,44703,46610,40242,58096,44757,45818,38479,46930,39476,48286,44042,44317,46801,2333978
6,239660,137849,136360,100815,103050,112074,346399,355526,367411,354481,364060,402371,378650,176815,104607,147935,79069,174594,177705,227925,65651,145777,203164,165197,114192,81978,145292,245209,72097,116129,129206,218632,157359,207910,169089,6724238
7,98387,59636,103781,105986,114817,297004,309207,267650,239572,212754,212628,251966,358646,147550,167277,83410,191840,68250,128205,108063,201204,157152,118971,158345,89447,105045,104151,58946,126867,119877,182687,81704,166904,89151,122322,5409402
8,90928,109077,99591,85768,291182,344574,390390,347402,245108,254615,279115,290325,447329,141374,87843,202573,137279,125214,113969,67316,177248,233486,75515,169868,78003,167486,75436,93487,207503,138096,125233,114642,79987,186600,137408,6210970
9,131501,187731,79860,295569,236743,360566,417021,278277,297006,287919,241759,325595,494616,129798,173554,129068,116584,194254,89615,148498,166148,96378,216086,200869,73301,82280,188958,111004,113472,178828,89188,145683,152820,124909,145539,6700997
10,93473,93367,315945,261365,328480,415985,485752,486874,440493,301676,344209,79736,569238,138289,94325,84406,80928,110120,72901,91801,140713,122304,156010,231868,61333,108286,157331,130654,171552,261217,154804,237223,214861,187472,157340,7382331
11,98437,200907,193692,248068,272219,350854,358662,333629,244214,259933,69952,155675,489242,148099,183501,216227,191648,132019,203293,168919,119365,149872,102780,66582,252752,167756,124617,144521,98944,59541,104931,100901,100113,121615,177153,6410633
12,246519,230551,274748,297890,363404,344648,542789,340112,295285,40224,130270,224854,582967,161458,88945,136276,150201,78514,171043,107166,90329,185248,54855,77666,208481,249803,91301,167790,153313,117549,228447,130341,142893,201824,166462,7074166
13,203809,249154,279367,347796,325125,363684,368042,275168,44193,80049,99864,123092,600260,159187,160204,72519,109212,117911,128123,204271,71051,37884,155371,85671,183144,103486,205726,163457,71673,140109,148227,155809,217671,131490,184450,6366249
14,214348,222572,271661,244706,277818,320907,236271,50265,72793,74562,76802,94563,524151,136971,78134,152978,66398,163259,104081,105951,53230,92034,107229,87434,133323,136038,150645,200626,128949,150229,83237,211720,101529,193451,189112,5507977
15,259982,219913,179693,206990,233029,241118,78391,60879,44740,47424,55621,124042,520280,119807,153548,124089,161624,111689,107116,71367,191613,118754,71136,121051,143904,153081,142087,83266,212462,166352,151202,88027,137971,124021,182080,5208349
16,72940,62237,73557,69733,77675,128434,61163,58067,61742,61790,82169,194228,89403,65486,65661,57937,49838,61720,51955,54520,59960,51638,48704,58417,52082,47881,47571,54272,57226,48815,51661,47757,57958,67809,74943,2326949
17,100294,55527,45896,41508,40114,37677,38487,62546,60425,40576,49249,58278,59425,47382,48835,68727,55700,57965,50383,51894,62640,49988,48734,50822,50332,51494,57484,50689,55930,49921,59063,48708,56788,62030,55365,1880876
18,73210,236048,60496,45421,46644,39173,48745,59150,62125,48893,49968,97662,62394,63989,62762,56287,65156,46979,51874,51345,56563,50814,49572,53588,51446,57001,51346,54549,52311,49366,51192,48605,53751,59641,57814,2125880
19,63270,80538,92136,47752,43094,42329,52181,49141,96942,56256,39633,96483,84961,56743,56440,75670,54154,55166,50179,47884,55447,52084,47519,56599,52069,56862,46459,51490,52392,50745,54465,58682,56128,60791,72944,2065628
20,43413,60882,62051,167755,51637,45051,53706,46153,83234,72825,63854,174204,95866,57045,71457,53643,50933,51527,58666,46778,55185,47101,51146,57334,56962,48039,51288,55485,58709,52064,54492,49794,53913,66140,81470,2249802
21,108528,96235,129189,117256,144221,148128,107771,70041,73664,85188,108493,293438,74727,98060,90782,89657,80249,88313,95200,93918,92714,91817,99256,102793,99936,106507,95614,117351,108409,123404,110851,128653,127586,136622,179862,3914433
22,188624,190549,118455,121703,193695,103207,184654,142092,125755,101937,76694,68327,401339,84664,77354,87666,90800,88677,86606,87951,86155,84477,81852,90006,83304,89714,85936,95772,106661,89100,93278,102525,100202,108082,111306,4029119
23,514332,390399,358613,422849,493099,240217,700878,439834,280251,236528,303412,413868,101019,130486,171552,196058,202736,216424,238103,265360,286997,278511,323806,133827,121275,129779,121899,116441,115354,105080,122332,133921,129402,145995,170997,8751634
24,380737,400408,326776,354667,427121,107624,169200,578887,224223,242155,235779,266656,87047,93353,125818,143119,158011,165487,179964,210259,212491,236135,225157,265552,78012,69211,75089,70641,58823,73805,62770,68261,84420,93937,87445,6639040
25,271856,377030,406832,383968,446500,79586,107727,161815,299119,267171,393996,259240,84288,85118,86261,134205,140812,157649,174581,184405,268624,230200,254480,238372,273154,73711,68701,71098,79970,64617,72756,52972,78392,87121,83460,6499787
26,291396,278733,425312,459717,513450,69510,91617,115376,199978,358737,403885,383256,81986,94340,91015,88520,148815,142664,171656,172513,196025,327996,237944,279431,264824,304774,78771,71000,79705,83514,74949,79962,65677,87838,82201,6897087
27,418812,361913,362203,550472,574159,81966,91190,117357,164640,225267,424199,402310,88497,102756,94455,88741,89177,166894,163596,185590,198514,227520,423587,251668,318460,301486,383973,76364,69964,83508,104125,72976,86114,88259,110497,7551209
28,478165,394328,410907,472442,751812,91626,95116,131874,162807,195835,361262,469707,110191,112434,93655,87722,96590,86448,185307,165546,204769,216876,233773,428009,309032,376176,387673,500504,75106,100703,89475,82424,86896,113892,147393,8306475
29,275103,178352,145321,147847,158595,223095,341587,351951,363243,336314,287938,351329,582261,290633,131571,162235,120977,175047,166184,88238,71898,143602,208672,166611,135628,106761,123956,189395,45846,156871,169902,206142,160719,195029,171482,7130335
30,257742,181059,173069,180049,193558,408531,358390,367552,338872,290081,309422,361047,664412,245168,334512,118241,263580,116277,155036,153172,96240,173312,158452,201653,112761,151695,130624,85675,104268,99810,238508,141619,199631,203740,165895,7733653
31,238639,183682,197680,199007,358505,467847,399245,394049,318345,338478,340778,459189,624922,196448,234676,408005,192945,153929,135108,107601,216564,76797,105993,204252,108838,190704,88642,112178,214001,118585,127110,174635,163779,232762,191188,8275106
32,314809,271018,294423,418991,479030,579140,519309,438561,443032,437927,421043,562755,700337,214227,286110,286907,349755,294449,130181,187875,203633,117927,67547,223710,90549,86377,227869,131301,144688,177756,64401,162764,217985,234099,205039,9985524
