node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,dir_7,dir_8,dir_9,dir_10,dir_11,dir_12,dir_13,dir_14,dir_15,dir_16,dir_17,dir_18,dir_19,dir_20,dir_21,dir_22,dir_23,dir_24,dir_25,dir_26,dir_27,dir_28,dir_29,dir_30,dir_31,dir_32,dir_33,dir_34,dir_35,dir_36,dir_37,dir_38,dir_39,dir_40,dir_41,dir_42,total
0,214408,156637,146571,100373,182308,177980,178201,199683,316286,118172,252557,303571,206257,236870,169906,128216,114898,101655,123966,107654,98637,131656,92568,93105,113130,149067,107683,161145,155802,176091,167527,100535,97247,234079,121945,104607,114795,110747,94845,109218,148620,129187,107061,6455466
1,137770,534534,128476,91560,399411,116226,368416,235710,300708,195705,87888,164413,595073,713129,419234,287517,295324,164242,167472,165782,177127,152253,120397,94347,199278,193566,240484,178221,115260,236792,174364,119190,177106,128372,266385,212050,249261,149665,166879,193645,241507,108742,113278,9576759
2,495362,119204,127736,385272,98573,386346,284815,172811,394971,224412,154382,565355,617309,167833,489201,221321,187970,247968,216887,189304,208466,206548,202651,161393,270090,120347,138047,93095,121132,202859,255775,196003,189691,116452,140608,116979,171364,171116,183466,144912,80686,208572,105151,9552435
3,213409,200340,123203,117537,114542,143467,106699,129638,140623,233086,90614,323116,206502,170106,119483,109816,121084,114535,91160,123060,105510,82184,118664,96895,76100,109178,134286,103335,147977,144549,178019,169683,88994,94108,214100,110378,89761,102583,91622,93187,139348,202256,171824,5856561
4,457268,297264,174200,102051,88702,130686,112192,152053,92452,109037,315774,94742,213409,126373,100243,150717,87950,116262,122841,120493,109016,73081,89794,85126,86966,76941,120308,115477,112014,71409,103191,93467,74453,95082,80204,128388,72066,124906,74369,77547,87837,81016,95820,5293187
5,224481,170725,531409,183892,95355,158217,105110,139520,93673,210132,205604,141375,146033,297383,138958,104033,113703,130830,103695,136811,144419,148944,162852,97665,95517,191048,97601,85328,98753,99901,76514,73883,78372,74264,84141,73138,109403,117347,101354,82762,119251,94412,122057,5859865
6,382978,179825,176570,403122,124319,96552,110242,111514,111692,218557,150085,120441,242694,170796,171104,121515,113389,100634,87167,85199,115784,76794,77561,138719,74708,81162,90850,136281,87970,149478,174197,266052,175801,84736,74655,309853,93782,91160,90968,85018,145138,174771,192404,6266237
7,87040,387208,276012,102242,130824,88450,227812,117045,378836,199206,299174,308177,96044,153255,400153,200560,276430,145496,236722,166501,174341,103526,254346,141310,114978,186576,134893,193031,174701,163790,156493,208218,118286,205434,173234,80497,252291,145212,226611,104566,233132,164623,182344,8169620
8,146741,209496,175889,357065,123711,116265,66979,147189,86143,114705,95480,159857,263695,216453,208959,123865,100160,133902,139170,133508,171721,204035,226187,191250,154495,100056,187475,82799,105384,103970,102778,76619,77601,79860,79844,86148,72798,104946,108385,106817,107288,101770,99516,5850974
9,258849,236932,326550,82283,113878,120784,347713,270041,247190,212769,235223,472549,121113,333539,395925,211270,191414,190747,150534,243016,121402,192867,120903,155665,361839,121531,102161,226878,265729,143796,234167,366825,370559,276294,162433,208231,648045,246090,117847,191109,169868,281341,336070,10183969
10,234061,58392,138721,105697,78365,328469,222071,189043,109851,259313,237115,148046,76658,460168,476018,183116,133389,186137,204174,196135,121200,169531,200169,97716,252819,244506,140573,169861,209876,149537,173272,151727,104058,116306,227123,123659,159340,251361,139995,196140,264029,249386,242800,8179923
