node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,dir_7,dir_8,dir_9,dir_10,dir_11,dir_12,dir_13,dir_14,dir_15,dir_16,total
0,72275,84914,53683,155611,115953,167660,55955,107210,111198,80932,112042,96491,91730,65223,59166,70237,75923,1576203
1,100435,22809,84558,68641,37212,65150,32678,28305,25099,31386,30647,48787,78108,26843,39422,29070,37560,786710
2,38089,69553,20579,67635,40416,45871,59695,33562,26405,34240,33634,35062,32682,37470,44304,38266,39909,697372
3,51631,39245,46049,156205,175168,140082,120921,79317,86731,66786,123621,119369,45126,79751,59858,68834,90215,1548909
4,97760,50526,100058,106004,116080,36895,144427,70724,74366,69677,76724,108287,63829,77319,94244,98334,94778,1480032
5,40499,83631,140079,96324,79386,75102,130604,61558,88687,92745,91917,50704,118647,74940,45659,74775,57480,1402737
6,84454,114824,134605,33151,40828,41873,131822,55215,56892,61203,50180,46083,84184,104076,55197,85501,57809,1237897
7,46442,34751,38153,40765,56439,50890,31379,31563,44277,60931,27052,31030,35207,33105,32487,32377,30805,657653
8,146736,66354,32876,51324,111847,192536,77659,49669,54718,44632,34486,42759,90713,113971,155372,54210,110013,1429875
9,104643,27398,51795,25899,131107,185363,113345,54803,72196,71899,98816,61196,112112,63945,48266,48172,75260,1346215
10,93709,132882,43555,79305,149765,111510,116321,105082,74166,58138,62940,75286,164685,137379,79280,126807,70965,1681775
11,85822,80326,99164,87199,72265,138327,58954,52722,81992,50041,45597,64894,58638,39519,48410,51163,53048,1168081
12,58532,50991,58290,72215,43685,72797,42719,40535,28714,31128,40230,38526,31077,33579,31551,40376,46902,761847
13,46351,49558,39121,43410,55466,58226,42302,30505,33874,51001,40350,31664,38822,42876,36399,39705,54919,734549
14,34010,32189,28016,190736,174918,212216,195252,86583,99006,92729,31729,83968,97958,75962,102249,76702,67433,1681656
15,41574,23320,152983,161152,149618,52553,135161,54364,77006,107798,115892,50448,91303,75763,95729,84969,69535,1539168
16,26371,124570,171552,147872,35152,52040,146177,60029,93818,90527,57730,67730,92608,76605,84864,79570,54538,1461753
17,144725,138573,170980,35359,32244,54959,175144,103929,29680,92973,116035,81226,148869,57379,56215,91977,56429,1586696
18,33149,29457,29316,90628,74270,103360,29174,29445,30064,57525,56219,76251,108941,27882,22595,32783,41001,872060
19,113736,31573,27724,101485,74036,97073,35770,38138,62454,51615,69412,82728,31722,34685,46048,42744,36672,977615
20,88288,68359,45654,84336,91712,146661,54532,82914,64757,86527,95723,38636,64356,54311,60513,48708,47834,1223821
21,130508,88778,85568,118176,94663,131656,112390,79296,118893,113146,88042,83133,95875,104345,68340,66076,92221,1671106
22,82533,33418,50400,41595,98587,121479,49819,56510,89519,46139,46228,61063,72477,53956,71659,30714,56255,1062351
23,119534,27018,32620,40548,92669,80710,54942,69590,39845,90734,29198,89677,75722,46450,37483,63571,38939,1029250
24,38786,48949,34029,31841,38711,36806,37480,29802,31801,47585,39418,31912,27702,27603,37895,43294,33255,616869
25,32737,28994,39817,110662,112613,122581,134437,96324,42253,72295,45898,72636,50427,44914,71458,42778,48401,1169225
26,34330,35208,103018,124780,118379,53999,138131,76091,55875,61867,91779,44360,56761,58629,38630,81419,51164,1224420
27,91866,83302,114732,122331,50462,54125,129634,64074,106917,67496,71016,53023,72728,86446,76881,70265,83230,1398528
