node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,dir_7,dir_8,dir_9,dir_10,dir_11,dir_12,dir_13,dir_14,dir_15,dir_16,dir_17,dir_18,total
0,118948,104460,46588,80081,45338,62437,59812,96526,75293,71334,73186,67480,67128,65016,65633,70920,86443,80132,84949,1421704
1,52001,33665,22523,24532,18272,21013,41168,44679,44425,39663,38296,30616,26972,30489,31665,54839,53711,36090,35229,679848
2,56389,223672,254614,225379,170656,68414,51650,175073,93822,110265,96261,95143,152679,115554,81627,59360,219474,59622,90734,2400388
3,126106,182001,178789,129192,97176,79534,47467,44397,45056,66250,70576,80127,90001,45182,44063,191469,38024,48863,42901,1647174
4,66623,34224,99549,83126,55020,53811,33438,36367,44905,44428,53147,56046,33158,35701,95005,35429,50667,38043,47581,996268
5,24990,241700,61229,224172,236399,60337,50997,124549,75910,74439,76552,50746,116923,138077,46682,56951,86641,81932,82200,1911426
6,175579,103765,197508,292526,61332,60093,64764,130818,79460,96838,81369,49953,122140,113764,49030,80184,74604,45797,50767,1930291
7,113210,53295,206758,223983,49269,189360,65449,151012,77251,49317,45341,112616,73743,54678,98137,63660,52661,86388,149372,1915500
8,54589,151580,175835,78951,187959,57297,94803,154374,71932,101366,113217,81738,69086,67423,89866,117324,61468,96734,129279,1954821
9,68606,26662,25563,54003,50033,78796,61633,53701,52809,75506,44492,56430,55305,37366,46700,46995,53550,59679,74527,1022356
10,83680,25528,17380,16930,33414,51092,48055,47278,63659,37847,43064,37342,30537,37861,39844,39374,34549,57326,59076,803836
11,33261,131533,129421,165551,48893,77458,115084,164463,53844,74961,74168,73888,70779,91006,67962,101238,77488,96793,132951,1780742
12,231878,214085,172016,136579,105399,95865,166069,129729,165402,115733,121440,105306,101677,102258,94713,103290,84044,87948,97466,2430897
13,68835,39993,28907,36090,33743,74870,38237,60356,52697,43894,50592,53900,37795,38716,39943,41494,40039,40307,46256,866664
14,142954,135667,89500,93391,103209,95289,126469,175760,131391,130498,95194,96376,121889,116854,101225,118679,94781,81885,104363,2155374
15,117462,55061,41709,40376,37520,44079,42245,64332,35970,54307,46448,35541,44568,48710,44014,42224,42837,56591,40481,934475
16,45526,85541,50981,148097,139730,112616,44853,176452,125553,40169,81178,62305,94199,53864,86369,53421,66153,60560,66179,1593746
17,55798,71371,76976,40661,42236,46029,47959,40000,48366,67442,40793,51766,52243,37237,49576,54923,42218,75674,58155,999423
18,74941,58620,107911,42024,53049,65813,45144,55830,41284,42372,72693,35090,58333,51135,36108,42706,57239,76845,93813,1110950
19,46489,137333,104913,159931,165611,86031,67412,129280,91627,44500,57487,88432,32706,148230,48885,62129,100183,64186,144705,1780070
20,116838,62373,225346,217855,100179,99140,75915,152156,66543,112275,85621,44437,102446,34006,75667,83323,97211,53841,53860,1859032
21,64161,81495,273240,184714,114448,134204,60929,113170,78308,66388,72011,61946,66896,107903,34704,88687,55561,180772,99638,1939175
22,31296,62336,158260,254079,102532,125457,63608,96377,59616,75803,70679,114859,38329,42889,165265,37038,74268,61922,125956,1760569
23,53796,53154,87334,106524,192908,145227,56533,49139,46198,78219,84575,90155,93814,46606,58762,171439,40376,64320,67380,1586459
24,66136,40177,106229,120991,188138,31533,47232,64610,42031,59039,92394,90298,115312,104162,41020,52722,204764,34122,92141,1593051
25,67302,34984,81432,114065,116834,33445,144673,131216,58333,43178,48843,50543,46468,63918,52021,86655,55476,74355,39030,1342771
26,58764,68676,154430,315441,316530,201044,22623,122269,42082,58806,91539,79686,116271,217242,54221,78628,187902,102130,80830,2369114
27,40999,66938,39631,36848,49202,26141,69632,61539,66889,52998,53406,40300,42248,28348,49206,42871,45125,52280,38529,903130
28,91342,111394,76890,98669,98407,76042,56763,140706,63650,67064,122908,99901,57517,108869,94490,92199,95421,114428,100202,1766862
29,57233,91017,45949,33920,34738,57569,51388,49859,102349,49867,44191,50193,50899,45304,29693,61957,56932,64871,57595,1035524
30,225226,40434,57276,56576,157818,181617,51497,155152,26581,59517,69220,98382,135309,50486,147204,90739,102526,72267,118809,1896636
31,48850,69628,62158,53497,48003,32156,50786,36304,75646,76173,64335,43221,48829,51387,49274,32013,60563,65429,103935,1072187
32,167778,53460,85354,56971,60043,148403,56374,43598,46413,51261,42303,60566,108746,106707,43798,126512,78862,144180,82056,1563385
33,44647,122635,107314,164338,163036,55832,70512,118967,70779,68607,198293,69499,65276,128770,66814,39230,29724,103779,151655,1839707
