node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,total
0,14065,38311,19151,16563,26544,22246,23005,159885
1,31510,41011,12540,16335,20627,20965,24572,167560
2,65437,36809,35610,32688,35333,27576,33519,266972
3,60256,49077,26678,25319,27958,23909,27815,241012
4,53219,32799,37563,36106,26845,31858,40498,258888
5,36559,29676,22063,15858,26819,13588,19959,164522
6,49199,56264,32036,30369,32071,38821,26020,264780
7,49023,21664,11161,22882,21151,13836,22962,162679
8,16961,47394,40200,15048,34743,24721,23173,202240
9,23621,46427,17048,36235,20824,29932,34706,208793
10,46014,34270,33935,42050,37217,18230,28320,240036
11,44101,27284,18693,14822,14429,30337,26724,176390
12,24369,44678,13955,14282,30686,29224,24059,181253
13,38255,27609,42889,28353,22345,16789,35603,211843
14,31996,24008,13950,11766,21325,30880,23809,157734
15,37150,49224,20598,17062,21192,32556,30631,208413
16,32846,37372,11352,34789,28828,8109,22369,175665
17,35529,34998,12260,14852,35911,25180,37624,196354
18,29613,35053,30280,11606,16108,8473,18563,149696
19,44655,30171,24515,29576,43907,36849,33668,243341
20,45124,42224,13483,19416,16800,22900,23094,183041
21,47725,46085,10112,10331,33478,8814,30035,186580
22,31453,48124,18900,33891,27644,23841,22206,206059
23,36752,27632,44261,28166,27392,24806,47497,236506
24,43643,37296,12912,10140,31431,7069,28114,170605
25,13807,21151,33739,23244,21252,12675,23939,149807
26,13391,24148,16474,16578,16003,23129,10821,120544
27,28278,12365,13734,17511,16207,13370,9299,110764
28,36652,39254,41994,27736,38891,27207,19642,231376
29,25951,18361,16992,24702,17730,16169,6203,126108
30,7592,27947,18983,11539,16684,7792,20054,110591
31,15182,22460,26218,34744,20906,21047,15153,155710
32,21931,15366,11915,16647,18052,8669,8552,101132
33,35090,32999,42509,29319,31205,18962,23301,213385
34,37372,11906,14905,23913,23121,15847,6445,133509
35,19378,18978,21825,23159,38331,14968,34076,170715
36,25552,24727,38892,27638,29811,30071,23047,199738
37,26927,18095,18015,16163,14109,13490,20933,127732
38,36633,31355,29899,37989,33339,31985,25795,226995
39,49694,37533,23939,21971,17656,14014,9270,174077
40,12458,30408,34866,34139,29474,6768,20395,168508
41,14327,32516,32140,36982,28125,17368,7347,168805
42,16541,10752,15870,13365,10399,9682,9332,85941
43,32079,36837,26402,26654,17996,20832,18653,179453
44,21509,10741,19337,12923,14669,12669,6042,97890
45,21921,29752,35136,33653,27940,39619,27046,215067
46,19606,16538,18721,16166,28680,34122,18106,151939
47,72028,52733,29462,27490,22618,20705,13334,238370
48,30950,24910,21747,32068,26125,33389,28225,197414
49,36974,24394,20958,20565,17410,14605,29727,164633
