node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,dir_7,dir_8,dir_9,dir_10,dir_11,dir_12,dir_13,dir_14,dir_15,dir_16,dir_17,dir_18,dir_19,dir_20,dir_21,dir_22,dir_23,dir_24,total
0,240898,157578,133075,148616,131743,124819,141590,145915,144716,200031,131059,124215,112924,122045,115107,115823,114485,114126,114523,116831,108049,116541,118235,118318,124398,3335660
1,189882,53849,62457,41626,36809,45067,61122,39628,49299,49609,47215,45295,47069,46453,38694,41955,42182,48319,43760,47469,43485,44489,45969,42423,47637,1301762
2,105062,59950,43409,55771,40583,42578,38116,35078,38443,37890,42433,38521,41556,38602,38572,32228,34740,35644,35302,33661,35480,37274,38142,39188,38122,1056345
3,170742,58735,55840,278603,194476,184628,215835,72828,67930,270323,148670,81762,139677,104800,124572,81301,59080,70006,97838,150956,86966,62540,75669,60624,101411,3015812
4,98552,71635,38552,53316,39637,47878,42124,38273,38761,52600,42366,35303,39195,39043,34377,33179,38526,32882,33277,36709,36482,37341,41666,39517,40078,1081269
5,49666,230200,52511,262797,185855,53875,46395,252218,69706,254693,100673,65352,62017,57598,137703,39217,70354,76820,72794,79071,131098,42108,116255,114923,103497,2727396
6,56396,63501,266872,201506,80034,301841,207463,81261,79506,233336,85248,121855,108645,68281,73091,137227,51793,86001,65066,123704,45995,69676,97759,62597,72536,2841190
7,247794,169825,255396,72857,81206,302389,57452,80635,92168,182424,87436,78550,94319,98054,55967,156907,158424,120919,63489,58553,70189,151941,79377,92704,121881,3030856
8,65584,62419,35275,95843,42068,61617,38885,41623,50777,51224,51142,48481,48097,38525,42109,47622,45280,49642,49008,47111,50018,38849,41202,50646,47570,1240617
9,88841,36919,34854,31140,54242,28024,34222,38252,41235,43398,38166,41997,52189,33036,39890,46481,36426,43837,39870,34585,34617,37926,37922,44585,40215,1032869
10,30650,46507,191691,41715,42431,192189,185790,174169,92951,258080,68983,87800,68408,60490,117701,56391,45497,57551,112422,161543,114445,52432,102449,84868,75609,2522762
11,41891,161861,290950,36663,211402,262896,34627,41815,113671,229367,65930,57311,51488,78117,60270,46990,120736,68705,95112,65123,158635,83592,89292,125499,146512,2738455
12,175076,53461,75640,183078,265469,79906,227195,53192,122343,204095,84110,101854,129305,125801,51872,148620,74584,75891,87089,80706,68652,177802,74492,74751,83633,2878617
13,101902,40243,31811,48554,31972,26517,37034,44074,42953,38060,38081,36354,44285,50167,43108,36648,47582,40880,41457,33295,39750,37781,43852,44521,49849,1070730
14,120467,174728,159473,153088,303823,49327,43071,49594,179836,200465,67666,86466,57940,66961,62314,76963,120253,97900,72449,72629,89879,111521,106496,144591,90670,2758570
15,116755,71843,44329,93997,28656,44107,53467,100962,49031,101112,64638,60824,45800,45415,73414,46356,41300,71265,54756,54255,58860,62514,53097,48153,46800,1531706
16,256384,149357,132505,100459,104486,100323,94456,102417,170682,163743,148831,117726,127185,111883,109611,128138,121061,119000,111918,113864,104222,98866,95262,96326,99344,3078049
17,132383,80025,53777,44636,40824,70188,52236,95957,61006,92804,87817,67460,65642,57310,38975,40960,53562,74788,53840,32773,39479,53244,49070,60361,55564,1554681
18,180521,120059,120448,94861,80576,95094,115802,87094,83639,194408,100322,112100,108895,101265,105044,79884,87315,82356,97485,95179,83048,101146,87388,102610,88363,2604902
19,95467,214874,75601,53498,41860,48841,66860,84818,73529,55237,58153,81708,82834,61451,56138,61216,38337,42354,60339,63197,60071,40507,51098,66971,63766,1698725
20,129447,166931,62333,55117,46670,65317,77255,75314,70427,80983,57005,54935,77674,84306,72540,61268,59942,40495,35760,51666,64981,50898,53755,70991,62319,1728329
21,52186,85181,143326,89989,341692,191627,251252,262636,76733,328774,181835,72118,63515,136428,156335,88107,73921,73752,83999,143842,103514,76045,70333,89421,114524,3351085
22,92462,100675,168283,68977,66216,54277,85882,91539,83091,81666,86410,87548,50291,58877,73377,79538,63354,58175,58465,46916,50373,73308,61908,72046,87657,1901311
23,64793,274266,155181,369498,203883,98688,131264,341442,81114,321106,135926,85351,88740,68665,52551,116644,111199,97153,86878,83046,172824,82905,169616,123887,134669,3651289
24,69392,104177,402018,241737,92330,410688,296774,99061,71470,303652,128477,173566,164676,103885,88397,59248,107210,123035,67280,145937,71570,114083,134392,115042,75716,3763813
25,36689,177800,242629,382001,92425,106548,384372,80201,80592,261592,113208,106218,117389,121291,91354,137217,68041,190278,85669,53969,84077,159510,94956,186043,177736,3631805
26,40771,73794,94075,142748,229507,71026,105412,158332,72565,57411,70494,102677,127284,99258,88465,105574,51923,55314,78823,67426,60455,69814,63665,162899,177862,2427574
27,85363,55154,110176,174560,245204,168872,147859,209107,83413,70611,54515,78125,118573,126514,95030,116852,126476,50985,51084,79373,68195,58648,72133,125890,247927,2820639
28,64332,62535,333548,198643,307660,426184,472977,438645,123285,327713,102397,106070,103201,145974,244824,127052,142228,181159,140041,60557,193620,65677,103705,246707,165166,4883900
29,72049,177602,449424,242938,602799,556131,389216,171212,107302,296134,105240,92140,53213,117453,188190,174879,190443,179719,237032,54423,71846,152011,90538,259256,345981,5377171
30,51571,157537,88959,193080,475709,737497,515374,628445,141799,248594,107222,132517,141024,125218,94182,231911,217239,173636,221931,260699,48558,62235,134265,72271,191987,5453460
31,101633,88332,115585,265416,438406,525699,480776,233218,69429,79879,83979,117135,140178,99515,54500,122526,203828,255120,169193,226403,242491,46247,57706,87664,68540,4373398
32,36276,68715,229669,236183,435936,681793,451194,223572,188125,243197,86251,97706,123100,147543,108277,82982,172708,244259,295751,211297,262775,397347,93615,58916,262750,5439937
33,96418,91114,46729,75448,84384,208780,221509,250845,72943,78779,95115,59732,103995,94266,100612,43301,65106,143203,153269,216078,46016,343603,46204,48782,81127,2867358
34,56982,118662,76682,69025,97387,109148,107561,61201,77238,67003,77350,78401,84807,61598,87755,47587,48752,80929,53788,61912,51693,58504,55976,99021,88115,1877077
35,95857,101279,59596,71507,71305,106662,109919,158494,45879,67586,80623,91695,84545,58650,100941,50747,49471,50046,69234,47646,43009,63417,64237,99753,90182,1932280
36,190046,97427,123361,139773,135865,152664,166574,128339,79666,191510,83391,119359,144861,126262,109563,152812,108218,78670,112916,97275,102398,115257,81178,180768,120931,3139084
37,181542,89432,61965,89689,81417,110698,123766,103856,63905,48190,72109,92907,91976,87400,57663,99126,45817,47929,48602,69557,48873,54489,59249,112944,102046,2045147
38,113763,247129,95548,79408,143852,89704,160682,122902,55920,62312,56505,65967,96266,104088,111054,55454,112769,53621,51008,98307,56935,55924,68246,51594,130434,2339392
39,119950,191182,92271,88109,360264,215644,317941,283424,70906,314511,188233,121177,89084,150048,186511,77911,130981,69348,101658,47096,110639,83210,75903,84452,149644,3720097
40,171524,213208,77114,95718,129298,230273,148674,113259,77163,67074,68033,53859,62100,105371,101335,130928,58236,136045,47780,47962,94934,59792,59696,202449,56950,2608775
41,145667,414125,95811,369307,221810,234350,172698,321057,62316,273632,134442,55115,102244,103685,110107,130761,104133,186539,91315,72712,50246,65455,192467,238523,126542,4075059
42,94644,137877,190085,297203,218892,245408,428509,166151,56165,261836,98295,180680,66070,75830,145459,123075,139988,110914,169404,133361,45776,123535,95983,84356,204569,3894065
43,48274,96337,250018,358359,245033,97180,204525,372368,101063,200417,95815,66611,64503,130056,94321,184627,134286,133665,171050,54082,76696,46050,70658,126934,183213,3606141
44,52025,170193,231901,331273,85765,115636,285759,250075,91168,52184,92899,70462,81349,52124,56852,138272,136698,179917,50668,208863,45290,46783,90286,99106,85540,3101088
45,116838,158609,255153,345932,125796,94467,258670,224522,85175,71288,72905,95285,81848,47907,72040,134439,147166,171100,60531,220223,55619,49480,48136,65142,108793,3167064
46,59086,159999,455580,266673,126395,280391,447975,182057,97344,287782,66738,141986,95975,86559,61242,66995,135186,157781,291158,46201,310413,50828,79454,163052,141580,4258430
47,55813,74685,285044,581112,271358,306999,305114,239091,124886,252566,70465,71526,96752,102043,68426,93876,191300,160756,242224,60310,246527,102549,94084,73799,143814,4315119
48,55654,181493,170096,215173,439659,382113,119581,230344,141760,214359,88397,74457,137055,157565,74485,63939,70884,171398,186564,267013,63678,305853,65949,58292,190753,4126514
49,50001,98606,85991,225085,230367,258390,104842,82533,55569,72165,90546,72908,72565,118173,87061,47267,86032,180439,168124,248348,50607,299835,71772,79087,70521,3006834
50,41449,108024,56198,199025,146448,191036,302765,98745,266849,262172,78428,116705,51964,112602,76141,91329,60108,88540,67932,58236,78434,105022,111566,73089,66285,2909092
51,59597,74478,49574,285024,202015,247481,325190,84093,107736,216163,79265,76539,73975,67528,101615,127641,60473,84410,76690,41648,81535,129176,132365,108192,86661,2979064
52,97382,50714,135040,53434,122540,97059,103934,40400,41824,56072,66190,70029,84525,85283,63563,62274,113166,50977,100452,118273,79195,67301,81680,95383,111259,2047949
53,43359,88324,72007,58265,52270,89698,103237,62398,68018,77172,72590,79804,66973,62898,49773,63048,118913,34351,100993,120565,44959,67288,70894,47553,98635,1813985
54,89976,89814,68430,90518,92983,121851,74018,65280,84729,196341,105480,106606,87651,105104,106254,205971,128276,91360,74400,84924,78808,124413,93427,165543,157601,2689758
55,63910,73811,106066,41279,85846,58423,109787,126791,54837,44131,61038,85793,64299,92895,67264,51669,52700,119260,40533,141039,151902,80613,67422,203003,111124,2155435
56,62865,65724,95942,47054,78542,39018,114166,157804,62192,59677,70245,97609,78904,71760,49591,46564,55049,129544,42920,138318,157826,44530,82293,173923,50117,2072177
57,45672,55478,66336,67541,293146,187582,233725,178071,64674,290151,66217,109284,82219,127298,169337,112236,91001,77055,111331,50799,110278,60598,66532,93937,167080,2977578
58,103089,86335,78326,65752,80753,83982,130198,40849,54074,53672,47253,41517,75521,84224,106505,89827,52890,58261,141284,46868,172416,179085,98250,169257,205125,2345313
59,265035,61107,205396,81228,274295,222170,80113,120598,50390,282358,160940,97172,86862,95057,66762,63511,96695,88909,155460,102392,158551,174526,45921,228545,186268,3450261
60,231698,53854,49004,58854,211833,199431,89425,323391,67741,259560,111960,49182,58648,140730,103051,92238,96245,169025,69485,153267,61207,101308,75498,55732,112522,2994889
61,168326,43751,143683,201514,198397,104131,92656,345885,80625,216544,87203,45338,73522,105862,78408,163842,75643,73578,58009,167513,56558,192827,270520,144511,260279,3449125
62,191803,73933,99873,46971,96723,58593,133097,52486,78155,46375,93218,62903,91075,44966,96119,96399,52790,54885,53397,171357,62631,193325,241710,53829,145024,2391637
63,99820,56369,55176,67304,99739,97316,106582,32556,94461,65514,79822,67597,61499,67025,108714,49314,105621,89815,91638,50720,68920,54647,67348,49585,57001,1844103
64,244936,313679,53751,257625,101436,96427,307866,265887,121209,307245,68283,129855,63818,58207,74361,107392,131106,95068,60274,38678,309419,43985,369029,358581,150779,4128896
65,84029,352768,137913,370779,70667,320161,233346,157993,118565,226478,54521,79423,60335,141594,108125,121957,151793,62453,85019,63623,203037,117780,354748,286380,66980,4030467
66,255165,43580,141885,69286,57186,255702,334895,46362,148109,201007,60544,107644,116646,75345,70432,114594,72600,127981,133103,171395,65882,93251,83971,133789,53467,3033821
67,33015,49575,69442,73647,55972,51885,116844,37388,79157,72352,84931,69892,54358,47254,56362,109818,47707,130937,122920,47450,63452,64314,60310,130902,58386,1788270
68,111535,71042,287085,149095,165189,178978,65903,53789,75906,71360,72529,72125,45879,54137,90445,86684,93744,67499,191440,37770,49167,92962,75338,53367,81478,2394446
69,101208,147429,96011,232757,363643,373670,432353,348714,27831,227942,73445,102406,51428,53290,136217,129458,84115,158722,179633,47250,105242,57115,131090,110348,123154,3894471
70,96032,80863,77510,127157,54708,51488,152692,150502,41865,50791,83571,63986,63719,83154,94042,46257,52513,42819,47955,50960,48037,47938,84112,166173,120055,1978899
71,47644,78424,134284,85652,74085,55976,88459,104799,53686,65980,79324,53646,58241,52155,51940,47611,59562,41988,58067,48059,37416,51941,65393,127393,108069,1729794
72,375214,99226,89888,212604,117303,325957,264047,250367,81356,227737,99049,95523,177274,79898,82389,146912,194771,144556,82556,268729,93276,204204,124596,163087,70603,4071122
73,443955,114842,172887,183893,120654,249635,233367,294870,65298,44416,83094,112913,101695,69592,48381,171646,110878,130095,74357,215893,50053,53750,45887,127904,121781,3441736
74,161013,123531,179565,94160,75964,74456,62675,135624,67453,53935,46341,106214,80953,96396,79000,128724,49572,60781,47739,47358,63686,42083,49108,152836,218655,2297822
75,86331,95740,76181,100603,332566,212082,175722,198301,50826,262663,60546,102128,37500,181729,52900,117303,63411,82417,109791,45955,113235,79899,71236,51131,230725,2990921
76,276637,334952,100606,53416,184175,77388,239904,42513,49760,51993,45292,68643,72695,82645,48875,52556,108152,138582,131700,58404,269890,53538,53761,92744,97216,2786037
77,71094,585642,361081,243826,165109,443967,229950,270558,71122,291469,138120,93091,122097,96426,71740,48840,265681,165605,145759,164334,231563,42066,50808,62465,250689,4683102
78,250763,121033,205714,99482,345058,235134,94040,296852,85541,254228,131366,37670,103433,90340,141547,100132,150024,140731,79330,59853,70046,120008,124981,41599,164624,3543529
79,69055,66409,194257,226249,228029,87256,107284,269852,97272,226053,93866,116260,104351,84506,75693,58867,49269,44885,75842,36661,80478,97028,94456,108928,123320,2816126
80,68116,273693,298757,66100,54701,191377,86136,47971,102803,48789,63105,51027,72577,69783,75377,50853,49439,136966,125032,126736,54745,312293,78197,52845,117136,2674554
81,79621,250173,306052,360620,85549,171705,217201,101285,63317,58597,114104,49937,67655,118571,121131,89453,49667,265989,144769,131668,91663,285158,38838,158344,70755,3491822
82,278110,203170,144274,347632,94993,172724,256379,201493,136088,257851,84448,146062,80181,125813,69402,101253,107095,163920,31856,61696,58291,88227,141117,217594,47188,3616857
83,47737,48627,62530,160091,306971,109457,222421,216808,143067,245190,65994,56301,104790,117598,89782,67786,52272,68778,133881,70684,36061,89497,127795,134150,62296,2840564
84,51525,261089,91853,127085,71159,67742,161144,220641,247818,217543,49817,113574,57651,56502,65083,55398,74849,75220,89704,95555,52572,50377,92196,97964,81939,2626000
85,67573,381798,79654,170770,91019,64320,221941,267561,106510,234275,108605,108127,52767,64498,75368,73719,111026,73635,82057,113356,47248,46090,53871,143721,135658,2975167
86,95684,90835,161837,173272,57243,109927,67907,52935,33475,62298,57982,69589,57624,116065,108651,44727,59222,78559,99765,35881,229219,214438,95995,225942,133038,2532110
87,334215,80043,76839,148504,101325,194832,259278,178973,32293,196734,58172,103541,95417,102874,121099,101533,62979,93313,97004,53396,254325,238984,44918,151912,89386,3271889
88,95915,66215,68250,160330,87374,111571,121636,40063,40922,50675,87031,86735,44385,92023,57190,69399,60046,111591,116512,82941,71001,75878,59686,148761,53383,2059513
89,41216,71442,87064,69528,98420,54855,125348,60265,63319,78340,101904,107199,43862,37944,52621,69926,57449,136294,139404,40119,46627,58935,62611,158032,116515,1979239
90,213130,78887,84411,112218,127010,80139,67715,93169,86105,253648,110761,105595,98952,73758,133451,109588,208008,77284,83052,84298,87216,71648,78342,103966,202511,2824862
91,66121,80420,144353,92793,183630,79593,54190,109468,69108,41695,66537,50260,58305,56378,127725,107497,53039,68559,45074,111181,67117,222660,262784,80370,270747,2569604
92,66694,93272,125352,65041,185306,117472,52449,115452,63414,48159,56550,72797,72101,82690,105018,103506,45181,53667,30530,120990,58097,227631,303531,52620,169559,2487079
93,231318,46424,104156,99446,57237,305851,263557,153282,47501,269249,33535,103960,77349,58294,60517,142027,79626,75973,227141,134033,152310,112183,94061,39925,221941,3190896
94,41217,83149,81605,148734,54341,56513,107886,55943,73405,60149,55520,98901,105763,52251,55232,53301,65301,74798,162940,169730,38867,65112,74092,63093,168402,2066245
95,58080,208010,73906,175826,56322,320759,246985,79840,78388,259832,53482,127661,122149,55521,52393,101224,140817,173248,90836,110119,35530,83448,36840,52495,130447,2924158
96,193130,131673,112115,55314,232665,300225,264319,307805,88089,231428,136703,53281,33710,74492,116290,146928,139220,66112,70493,42559,145177,88625,423879,325452,141554,3921238
97,66904,158925,158954,161515,285309,89184,308243,312005,81545,227945,114179,77641,91369,128168,115064,138858,126470,27373,54259,38606,168576,31019,393511,394960,73373,3823955
98,65315,45525,105878,62693,148561,120496,47716,91893,79765,47229,69038,36523,112891,87857,46662,66932,71239,82382,58749,170197,186540,79034,91311,155357,47956,2177739
99,70336,98643,97173,45141,166470,79711,40747,97398,76047,62129,77193,82188,71735,88952,50118,56021,50873,101976,54347,211142,201298,42991,50210,124488,50264,2147591
100,252389,187895,79417,75268,239961,57918,52784,196350,163190,225971,87490,64775,123771,99721,44725,69799,103679,95089,92439,68357,64631,43561,153769,82783,98655,2824387
101,234985,63697,38116,91343,115705,317912,53803,146620,220142,236263,124490,40979,71475,90828,94874,52743,118907,123842,41024,55545,45658,86160,86762,87527,78700,2718100
102,309126,67704,77171,51963,156461,273611,72703,270719,94693,207795,122591,100924,96609,147258,114128,62527,40588,62150,33316,69370,55615,95810,61960,78955,124665,2848412
103,342708,61121,277900,104478,125017,115658,55918,194552,28484,158600,68293,60728,86779,94182,119687,94455,96291,61210,123661,146373,73276,34836,65796,139058,97046,2826107
104,82599,124689,54846,103575,152372,125771,134696,56693,38477,65288,112904,64466,80703,104290,55611,96247,122719,101243,80596,48656,65754,100404,67114,144694,42462,2226869
105,282072,109454,96944,92026,96178,281978,199004,163691,35841,189867,44918,109360,57187,62726,45024,139592,113783,76269,169207,165420,166321,101558,53398,37576,185994,3075388
106,57024,107771,167589,102742,119270,110642,72686,86615,47333,47073,62608,64702,44833,50503,59386,72085,87582,32879,173955,210865,40879,213211,214996,86627,237034,2570890
107,55768,77153,182555,115599,74809,84742,57027,67314,61615,88019,88331,69472,56644,29646,68028,99151,52103,41226,62781,97427,35909,219485,201447,60725,123427,2170403
108,268093,110401,178941,157976,66959,111984,63407,82295,83217,281989,121453,110758,118203,105456,85565,85321,74274,87018,76075,74420,89285,123300,95438,73840,128301,2853969
109,49335,97210,139555,44528,44087,100728,48185,51212,82552,47740,74890,96794,63196,154510,96406,76588,46412,84870,49614,67479,81171,73040,38932,79025,135865,1923924
110,49590,85783,90820,112638,39462,95627,56196,49489,59941,50114,51965,59415,47367,104662,112946,51178,124111,139635,66593,64279,57047,38637,102437,61382,170311,1941625
111,184294,169026,83273,59750,116370,181462,325055,190183,70170,275819,47314,75494,46785,54612,50335,114297,128374,163556,56646,177359,237423,99949,147269,147159,127719,3329693
112,72624,100053,115153,136599,298266,181787,67150,159057,97008,50707,35147,56332,60740,77356,45747,73059,107224,106561,50027,198121,301653,39428,385841,350824,141037,3307501
113,80661,229119,65265,215935,290923,243768,181782,164030,82725,240909,88570,100789,105437,57432,56786,83359,170116,128814,93615,123550,212418,43643,335126,314442,73519,3782733
114,157860,62477,44337,87181,221714,181033,54569,225692,86198,178671,70128,92602,83533,138694,141651,77103,71258,46975,83627,41701,48169,108083,162416,101446,47582,2614700
