node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,dir_7,dir_8,dir_9,dir_10,dir_11,dir_12,dir_13,dir_14,dir_15,dir_16,dir_17,dir_18,dir_19,dir_20,dir_21,dir_22,dir_23,dir_24,dir_25,dir_26,dir_27,dir_28,total
0,536216,461423,339053,276962,265576,102325,94113,89666,67559,150690,205409,123405,181219,239559,133213,103733,179901,114790,189464,133708,94662,103954,189970,92259,87599,161906,166609,165680,236184,5286807
1,474244,425906,318335,229849,233165,296506,61711,72582,75275,57830,76112,65464,101877,66251,234680,92134,128475,70037,82588,49745,159407,93418,256181,178426,153687,95274,109886,107770,73023,4439838
2,187757,346527,337847,238611,215254,239435,285091,58687,101868,62930,111135,230611,72525,80266,82350,186543,140223,62071,54858,93399,148557,114224,61819,98380,58186,114082,123952,110190,234818,4252196
3,180322,250271,386662,251160,211463,227993,229681,56653,106890,93154,180830,105230,64423,84991,134994,70602,179103,54128,123339,66199,139198,197583,83802,65717,210975,96489,119786,90744,68796,4131178
4,134227,182015,176687,262401,195575,186073,203687,61440,54934,92175,109234,79894,187249,85998,63144,108999,55680,169162,65819,110147,97053,58050,108466,179039,70094,81366,111441,82559,169107,3541715
5,132296,145563,141514,161598,238215,324156,312097,161337,164366,133150,311108,137586,213466,214458,134822,125002,175781,195020,219901,139028,106548,147093,237414,88292,279908,152932,150873,122906,112303,5178733
6,164995,138644,175214,182149,371714,360948,178452,180655,141516,137327,384206,275250,121457,209192,79475,124711,75745,243925,144775,277506,75634,120760,52244,168412,126448,205591,241851,180564,165065,5304425
7,145149,182415,159453,308481,385284,262129,233720,170497,155057,196871,374900,173932,163687,105318,199533,142925,98558,124646,194084,196374,152217,132677,154067,239124,280331,116288,222076,112678,126847,5509318
8,100999,46900,154700,170721,233928,289875,196381,162214,169344,50025,316226,103223,69533,148042,114917,58132,80714,128204,79873,187644,56189,114091,74036,118100,181861,85980,75654,148046,106919,3822471
9,38830,131092,158358,183371,228919,296209,209834,206258,64737,49532,315026,100746,164819,63306,82726,149685,93922,67064,112014,54962,179393,77477,128942,92603,60699,110322,157736,89380,122948,3790910
10,120206,136790,157667,167113,209511,194085,201096,64315,46050,63006,262127,117357,70900,92784,61691,120969,126447,101448,68813,65779,138963,160364,89516,72250,81964,159846,109370,155541,124129,3540097
11,150591,156497,151819,180241,205079,170302,62795,35836,38295,48083,279269,91798,117425,123069,145849,90019,187292,52455,83526,81995,118682,100126,149536,53125,107059,72890,81134,106366,145278,3386431
12,172646,159962,147786,143298,184609,157302,66813,49056,50945,93776,314709,113846,77737,76502,111957,98743,57476,109250,123370,94348,119109,77534,93610,158080,121922,100973,175030,151709,117407,3519505
13,116945,90364,88399,78190,97541,104902,79775,70000,109877,68136,75434,63450,61069,64759,73563,61655,59771,71240,61243,78545,64617,69598,111148,72314,68211,77819,176455,62456,67007,2344483
14,92301,48694,44749,44678,60465,153419,48502,42791,73846,72086,63723,56359,46495,65113,73724,42808,65377,46244,45961,50428,46664,47127,49054,49760,53209,59749,44324,56965,50164,1694779
15,36294,151327,46790,56374,68307,101289,86131,36496,52821,65417,74887,50622,51007,54187,45029,42494,44109,45057,50354,47191,42628,60164,44041,44674,60384,46067,45483,53004,41645,1644273
16,33488,62483,97314,52578,70727,98110,50355,109673,53811,92510,95194,48290,56508,43053,47343,66221,42189,44002,45461,44088,51565,45724,42883,67398,44445,47139,47468,63754,50691,1714465
