node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,dir_7,dir_8,dir_9,dir_10,total
0,39793,30539,64236,89865,47122,46935,40363,54191,44475,43834,49655,551008
1,45800,11984,15500,15447,16072,17753,17157,19331,15736,20817,20669,216266
2,33477,25838,59703,25481,36686,46826,33198,33720,42591,28858,39145,405523
3,62277,55432,45585,65915,53673,62852,50522,47415,53782,64492,48093,610038
4,36283,71577,73842,42787,40628,43626,45459,39326,42947,55423,39960,531858
5,128944,132819,73179,100621,79697,78079,68458,64015,61628,72458,67841,927739
6,73620,31234,49898,65127,60293,52511,60137,45690,72998,58267,76790,646565
7,48918,56560,59577,40412,28179,39433,48629,31563,39441,44451,36990,474153
8,56694,59529,50236,32721,44667,26553,23668,60623,27780,22002,40385,444858
9,74820,51707,50988,62327,42118,40622,33900,39236,71083,29527,37800,534128
10,37665,63287,90862,27772,29751,60290,49439,23358,23504,72961,46862,525751
11,59116,83737,20577,26818,39996,41915,47401,53133,24982,17299,80055,495029
12,34042,22545,24699,52377,69535,28758,23825,36171,45079,25060,36049,398140
13,42493,19952,31795,50054,37104,78255,35628,24273,35484,45788,43577,444403
14,68902,56199,43647,47023,31267,63294,26286,37277,20112,24585,38120,456712
15,80009,64507,88895,88838,45215,44664,42685,73250,50333,87414,48357,714167
16,34695,77614,43739,40673,42021,33717,70199,20459,37947,27465,31621,460150
17,93673,42309,38551,31059,22855,28875,18392,27979,61411,19979,78379,463462
18,30077,32979,73283,34374,52656,61441,33879,77012,14359,54692,32140,496892
19,31475,31815,74425,18861,84797,35734,44604,14653,32249,46311,44867,459791
20,21047,79615,35829,21049,18316,32674,38143,27995,69167,19562,40723,404120
21,73569,65093,59329,48917,25219,37496,41610,76869,55886,28033,36505,548526
22,57083,52696,51501,39732,36464,80084,49678,14605,12699,25282,39917,459741
23,91291,50098,60256,49309,40064,39256,28696,26968,30279,70959,82679,569855
24,36705,65288,59507,33851,26150,50368,24426,45271,71442,52629,26735,492372
25,52261,64937,26241,38932,40604,32402,81535,39232,23920,17927,33547,451538
26,42045,30890,34639,46726,72520,67167,15720,21042,16365,19566,24867,391547
27,45065,23473,38246,37307,26519,31508,27737,16672,46899,73762,80295,447483
28,53596,50394,50616,69482,18162,28339,16454,35208,74374,49104,58831,504560
29,67529,52817,62066,52132,23511,31371,19764,22157,21594,49517,73402,475860
30,42240,44077,62285,48337,31828,109871,54845,27224,15330,17147,21147,474331
31,69951,58533,46591,47774,24419,29991,62608,77274,59847,20953,35425,533366
32,42098,50236,39593,50552,32889,52494,14484,9695,49311,64960,36724,443036
33,40115,43248,48919,40661,70569,55961,20884,23551,12315,17723,60728,434674
34,77902,41831,46634,43645,26206,54553,90658,62161,24629,44124,35705,548048
35,68854,68483,55396,59002,16839,46532,20891,9532,48286,21073,77292,492180
36,67203,62959,48681,66933,16051,25456,70548,29683,51009,17011,16901,472435
37,70414,59570,47622,79616,25501,29884,28900,45673,9491,67357,35826,499854
38,51157,43810,49372,57306,20826,95539,17959,28530,20096,16982,29653,431230
39,63715,47001,42468,50237,32412,39215,38616,20039,69419,27071,76248,506441
40,51682,54730,47837,33515,69941,59784,45599,18129,22744,36501,34590,475052
41,42984,49627,53394,52771,19105,36581,15132,65797,14960,39260,58592,448203
42,81110,60612,63134,86784,13560,35022,45783,20100,20013,65844,19010,510972
43,83636,60403,53991,78260,20507,39923,13275,22798,83424,15149,26522,497888
44,57101,66452,51488,74276,27338,20546,15326,67166,21998,27033,39187,467911
45,54266,47899,54955,54272,20803,33072,65071,9556,13730,39408,61336,454368
46,42618,50630,44659,44219,34199,98648,19309,22320,36867,30589,43852,467910
47,52254,46900,47753,37280,73919,43767,16787,37889,38154,15063,52197,461963
48,62406,58452,48435,49937,22246,62102,36750,35214,10988,16357,85395,488282
49,23488,25409,18689,30108,27352,24149,21417,12330,13983,13586,8250,218761
50,14928,30310,46153,39247,30878,27863,29967,12609,32848,16955,29821,311579
51,41550,54496,37567,39648,46686,35967,29553,18429,13428,41267,12913,371504
