node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,dir_7,dir_8,dir_9,dir_10,dir_11,dir_12,dir_13,dir_14,dir_15,dir_16,dir_17,dir_18,dir_19,dir_20,dir_21,dir_22,dir_23,dir_24,dir_25,dir_26,dir_27,dir_28,dir_29,dir_30,dir_31,dir_32,dir_33,dir_34,total
0,110000,112000,111000,109000,105000,87000,70000,43000,39000,37000,37000,38000,74000,51000,55000,61000,64000,66000,52000,52000,52000,50000,54000,58000,55000,57000,52000,53000,51000,56000,54000,170000,128000,83000,35000,2381000
1,35000,32000,30000,28000,27000,27000,70000,50000,31000,31000,31000,31000,50000,53000,53000,58000,57000,64000,63000,48000,48000,49000,53000,53000,53000,53000,55000,46000,51000,48000,54000,46000,150000,106000,58000,1792000
2,34000,28000,27000,27000,26000,26000,26000,51000,41000,28000,28000,28000,48000,46000,49000,56000,56000,54000,62000,61000,45000,51000,47000,52000,49000,50000,49000,50000,43000,47000,46000,47000,44000,128000,81000,1631000
3,32000,26000,26000,26000,25000,25000,25000,25000,30000,35000,26000,26000,42000,43000,46000,47000,56000,49000,52000,58000,59000,43000,49000,43000,48000,44000,49000,49000,48000,42000,46000,43000,46000,42000,107000,1478000
4,29000,25000,25000,25000,24000,24000,24000,24000,24000,30000,31000,25000,40000,44000,40000,45000,42000,53000,48000,53000,52000,55000,43000,47000,40000,46000,41000,46000,45000,44000,41000,45000,42000,43000,40000,1345000
5,29000,24000,24000,24000,24000,24000,24000,24000,24000,24000,29000,24000,39000,41000,45000,42000,45000,41000,51000,42000,48000,48000,47000,41000,45000,40000,44000,41000,44000,43000,41000,40000,41000,40000,40000,1287000
6,30000,24000,24000,24000,24000,24000,24000,24000,24000,24000,28000,24000,38000,39000,39000,42000,40000,46000,38000,50000,40000,46000,44000,43000,40000,42000,39000,41000,39000,41000,41000,39000,39000,39000,38000,1241000
7,30000,24000,24000,24000,24000,24000,24000,24000,24000,28000,24000,24000,37000,38000,38000,38000,42000,37000,41000,37000,45000,39000,43000,41000,40000,37000,40000,37000,39000,38000,38000,39000,37000,38000,38000,1195000
8,30000,24000,24000,24000,24000,24000,24000,24000,27000,25000,24000,24000,36000,36000,36000,36000,37000,37000,37000,39000,36000,41000,37000,38000,37000,39000,36000,38000,36000,37000,37000,36000,37000,36000,36000,1149000
9,30000,24000,24000,24000,24000,24000,24000,26000,25000,25000,24000,24000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,1103000
10,30000,24000,24000,24000,24000,24000,25000,25000,25000,25000,24000,24000,33000,33000,33000,33000,33000,33000,33000,33000,33000,33000,33000,33000,33000,33000,33000,33000,33000,33000,33000,33000,33000,33000,33000,1057000
11,30000,29000,29000,28000,26000,25000,242000,252000,266000,275000,289000,275000,224000,122000,119000,125000,123000,111000,123000,227000,232000,216000,204000,190000,181000,170000,166000,171000,174000,122000,128000,141000,148000,149000,174000,5506000
12,24000,24000,25000,25000,25000,151000,151000,146000,141000,133000,128000,254000,127000,142000,115000,107000,112000,119000,101000,115000,220000,221000,207000,197000,182000,172000,158000,156000,161000,164000,112000,128000,132000,142000,143000,4660000
13,24000,24000,25000,25000,140000,129000,117000,116000,106000,103000,111000,243000,114000,108000,115000,109000,104000,111000,109000,102000,110000,221000,218000,206000,194000,178000,165000,152000,149000,151000,154000,106000,119000,123000,131000,4412000
14,24000,24000,25000,130000,119000,113000,101000,96000,90000,91000,99000,230000,111000,100000,107000,104000,100000,101000,102000,104000,97000,100000,222000,210000,199000,187000,172000,157000,144000,136000,141000,127000,97000,110000,114000,4184000
15,24000,24000,121000,108000,105000,101000,89000,86000,77000,79000,86000,212000,103000,101000,97000,96000,95000,100000,95000,96000,89000,90000,97000,219000,207000,193000,177000,163000,146000,132000,122000,108000,94000,90000,104000,3926000
16,24000,110000,98000,93000,94000,89000,80000,74000,67000,70000,76000,193000,88000,89000,98000,92000,93000,93000,92000,86000,90000,84000,80000,87000,210000,200000,183000,163000,152000,133000,112000,94000,74000,57000,94000,3612000
17,201000,98000,83000,85000,80000,81000,75000,64000,60000,54000,59000,66000,86000,82000,80000,88000,88000,89000,87000,89000,89000,85000,79000,78000,84000,202000,190000,172000,154000,136000,117000,95000,76000,55000,35000,3342000
18,67000,112000,87000,73000,73000,70000,69000,64000,56000,53000,48000,52000,87000,75000,77000,72000,81000,83000,82000,76000,82000,78000,82000,78000,70000,79000,184000,177000,156000,140000,120000,100000,79000,57000,35000,2974000
19,50000,35000,85000,86000,61000,64000,59000,59000,57000,50000,46000,42000,73000,79000,70000,70000,69000,71000,74000,75000,71000,77000,75000,72000,76000,63000,71000,174000,158000,141000,122000,101000,80000,57000,35000,2648000
20,40000,34000,31000,64000,82000,52000,54000,49000,51000,51000,45000,40000,68000,72000,74000,61000,65000,59000,71000,68000,66000,66000,68000,68000,66000,65000,68000,69000,163000,144000,122000,104000,81000,58000,35000,2374000
21,38000,33000,30000,28000,44000,78000,44000,45000,43000,44000,45000,40000,64000,62000,67000,66000,59000,63000,63000,62000,58000,63000,62000,63000,62000,63000,60000,61000,69000,145000,127000,105000,83000,59000,35000,2133000
22,36000,32000,29000,27000,26000,24000,69000,37000,39000,38000,38000,39000,56000,58000,60000,65000,67000,55000,60000,57000,59000,54000,59000,57000,59000,57000,58000,54000,56000,65000,129000,105000,82000,60000,35000,1901000
23,63000,190000,63000,225000,64000,208000,127000,145000,96000,122000,92000,82000,120000,82000,84000,82000,83000,85000,77000,85000,83000,82000,141000,132000,134000,221000,223000,77000,86000,84000,99000,93000,90000,45000,37000,3802000
24,28000,26000,30000,26000,29000,27000,52000,32000,26000,26000,26000,26000,38000,39000,38000,38000,37000,42000,38000,40000,40000,42000,51000,53000,47000,51000,50000,38000,38000,38000,41000,38000,37000,37000,39000,1304000
25,93000,51000,25000,71000,24000,97000,24000,199000,94000,65000,82000,62000,93000,89000,80000,86000,72000,75000,83000,70000,81000,78000,75000,130000,126000,126000,122000,215000,71000,84000,84000,89000,90000,85000,38000,3029000
26,28000,25000,25000,25000,24000,26000,24000,26000,30000,27000,25000,25000,36000,36000,38000,37000,40000,36000,39000,36000,39000,40000,40000,45000,47000,42000,43000,47000,36000,36000,37000,39000,36000,36000,36000,1207000
27,89000,55000,74000,48000,24000,59000,24000,91000,24000,208000,74000,57000,78000,73000,82000,77000,83000,72000,73000,80000,68000,71000,71000,68000,119000,115000,116000,113000,115000,71000,77000,77000,83000,84000,81000,2774000
28,29000,24000,24000,24000,24000,25000,24000,26000,24000,26000,24000,24000,35000,35000,36000,38000,36000,36000,36000,36000,35000,37000,37000,37000,42000,44000,39000,39000,40000,35000,35000,36000,37000,35000,35000,1149000
29,83000,32000,65000,31000,68000,30000,24000,53000,24000,84000,72000,211000,67000,67000,69000,78000,82000,83000,64000,66000,75000,63000,69000,68000,62000,111000,109000,105000,104000,107000,67000,70000,72000,77000,77000,2589000
