node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,dir_7,dir_8,dir_9,dir_10,dir_11,dir_12,dir_13,dir_14,dir_15,dir_16,dir_17,dir_18,dir_19,dir_20,dir_21,dir_22,dir_23,dir_24,dir_25,dir_26,dir_27,dir_28,dir_29,dir_30,dir_31,dir_32,dir_33,dir_34,dir_35,dir_36,dir_37,dir_38,dir_39,dir_40,dir_41,dir_42,total
0,40000,38000,154000,154000,34000,34000,34000,37000,95000,95000,66000,34000,66000,33000,63000,53000,57000,55000,56000,51000,60000,54000,54000,61000,56000,50000,50000,57000,71000,63000,61000,58000,61000,52000,53000,63000,59000,59000,52000,54000,64000,57000,63000,2581000
1,82000,922000,34000,49000,872000,898000,79000,828000,813000,825000,34000,814000,34000,51000,546000,406000,381000,598000,524000,387000,507000,357000,398000,459000,428000,452000,498000,419000,43000,516000,442000,495000,490000,477000,526000,564000,440000,549000,414000,360000,538000,520000,459000,19528000
2,924000,914000,33000,750000,833000,827000,65000,825000,65000,47000,710000,33000,34000,37000,576000,580000,491000,510000,510000,500000,413000,398000,357000,416000,483000,360000,379000,395000,155000,525000,536000,571000,453000,507000,566000,526000,511000,438000,448000,435000,464000,387000,446000,19433000
3,827000,896000,702000,860000,697000,39000,817000,63000,51000,31000,30000,33000,34000,813000,585000,491000,593000,451000,488000,426000,566000,432000,545000,357000,524000,524000,494000,397000,155000,522000,451000,413000,402000,570000,385000,482000,377000,512000,467000,499000,360000,460000,438000,19259000
4,90000,791000,60000,941000,650000,54000,51000,818000,729000,48000,645000,30000,33000,717000,588000,438000,444000,378000,454000,560000,483000,457000,493000,538000,357000,446000,360000,389000,59000,537000,552000,497000,574000,397000,432000,481000,466000,398000,487000,535000,499000,509000,414000,18879000
5,42000,34000,32000,46000,31000,97000,58000,30000,31000,94000,32000,30000,30000,31000,53000,59000,49000,53000,61000,51000,49000,50000,55000,52000,55000,58000,61000,59000,58000,52000,60000,56000,60000,52000,51000,57000,58000,59000,55000,51000,56000,54000,54000,2216000
6,42000,35000,33000,32000,30000,31000,75000,31000,30000,30000,108000,48000,45000,30000,55000,50000,50000,58000,51000,50000,48000,58000,50000,54000,53000,53000,55000,52000,49000,56000,55000,57000,51000,48000,57000,53000,53000,57000,50000,58000,53000,51000,48000,2133000
7,53000,807000,719000,717000,30000,825000,31000,710000,700000,699000,49000,36000,31000,30000,612000,451000,508000,413000,377000,469000,445000,561000,399000,398000,517000,438000,477000,357000,107000,562000,467000,497000,413000,525000,528000,385000,495000,478000,537000,507000,449000,493000,360000,18662000
8,1016000,915000,940000,1133000,911000,924000,1011000,1007000,1001000,1134000,994000,1135000,936000,1000000,1333000,1281000,1315000,1303000,1292000,1263000,1278000,1243000,1225000,1228000,1226000,1270000,1266000,1225000,1849000,1195000,1238000,1256000,1214000,1205000,1228000,1225000,1227000,1205000,1225000,1229000,1225000,1207000,1260000,50793000
9,44000,658000,632000,604000,33000,859000,32000,567000,569000,577000,49000,45000,31000,30000,361000,506000,452000,528000,554000,491000,503000,388000,532000,527000,421000,498000,462000,570000,75000,357000,480000,435000,506000,396000,396000,531000,444000,459000,378000,412000,492000,433000,544000,17861000
10,37000,33000,32000,33000,31000,30000,30000,30000,31000,67000,31000,31000,31000,30000,48000,52000,52000,57000,51000,58000,54000,53000,54000,49000,50000,58000,54000,55000,51000,52000,55000,53000,53000,55000,49000,58000,48000,52000,52000,58000,49000,49000,56000,2012000
11,37000,33000,34000,31000,31000,30000,30000,30000,45000,30000,60000,42000,30000,30000,49000,52000,52000,47000,51000,53000,54000,52000,49000,49000,54000,53000,54000,50000,49000,55000,52000,52000,51000,49000,51000,48000,47000,47000,56000,51000,47000,53000,50000,1970000
12,661000,30000,31000,633000,886000,30000,564000,30000,564000,34000,45000,574000,30000,565000,417000,517000,509000,546000,503000,395000,469000,483000,434000,395000,579000,495000,559000,541000,139000,390000,360000,446000,357000,513000,490000,458000,472000,509000,453000,379000,435000,421000,513000,17854000
13,47000,656000,30000,621000,890000,568000,562000,576000,575000,33000,30000,30000,30000,30000,443000,478000,360000,499000,466000,519000,378000,506000,387000,581000,397000,411000,453000,521000,91000,399000,491000,508000,518000,357000,532000,431000,521000,420000,475000,448000,539000,478000,496000,17781000
14,665000,39000,624000,889000,569000,31000,572000,567000,30000,34000,30000,575000,30000,30000,456000,386000,468000,440000,446000,440000,517000,523000,574000,517000,457000,554000,531000,521000,107000,400000,380000,360000,480000,419000,357000,397000,414000,493000,492000,492000,482000,536000,493000,17817000
15,668000,30000,944000,577000,31000,30000,566000,30000,31000,30000,568000,30000,561000,579000,474000,542000,544000,363000,416000,559000,435000,581000,526000,484000,499000,496000,443000,515000,123000,420000,501000,450000,426000,460000,397000,357000,491000,385000,505000,536000,377000,398000,479000,17857000
16,37000,35000,31000,31000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,55000,51000,54000,50000,48000,53000,52000,53000,48000,48000,54000,51000,52000,55000,51000,51000,47000,47000,52000,54000,49000,49000,53000,48000,50000,50000,51000,49000,54000,1913000
