node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,dir_7,dir_8,dir_9,dir_10,dir_11,dir_12,dir_13,dir_14,dir_15,dir_16,total
0,13000,13000,13000,13000,12000,12000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,241000
1,13000,50000,51000,37000,43000,24000,45000,45000,80000,40000,69000,43000,38000,40000,39000,26000,43000,726000
2,13000,29000,23000,20000,26000,17000,38000,32000,33000,31000,74000,34000,57000,32000,28000,31000,32000,550000
3,13000,23000,21000,17000,15000,26000,26000,24000,23000,26000,30000,25000,66000,29000,42000,29000,26000,461000
4,19000,16000,16000,13000,19000,17000,23000,20000,21000,20000,23000,20000,26000,22000,47000,22000,17000,361000
5,17000,13000,13000,14000,13000,13000,17000,17000,18000,16000,17000,16000,18000,18000,19000,17000,17000,273000
6,29000,16000,14000,55000,54000,25000,63000,79000,48000,71000,46000,44000,46000,45000,34000,48000,17000,734000
7,16000,13000,34000,28000,21000,16000,39000,32000,35000,75000,37000,63000,38000,36000,39000,36000,17000,575000
8,13000,13000,27000,23000,19000,15000,33000,27000,26000,34000,28000,72000,31000,51000,30000,28000,28000,498000
9,12000,24000,19000,18000,18000,14000,22000,23000,22000,23000,23000,28000,24000,59000,26000,31000,26000,412000
10,12000,16000,15000,16000,14000,14000,19000,20000,18000,19000,19000,19000,20000,20000,19000,32000,20000,312000
11,15000,15000,29000,20000,17000,13000,21000,22000,21000,22000,20000,21000,21000,21000,24000,20000,24000,346000
12,22000,21000,13000,48000,28000,13000,35000,30000,27000,24000,29000,39000,30000,29000,20000,29000,28000,465000
13,24000,38000,13000,18000,68000,13000,43000,44000,84000,42000,40000,30000,39000,39000,39000,43000,35000,652000
14,18000,13000,13000,14000,13000,14000,17000,16000,18000,17000,17000,18000,17000,16000,18000,17000,17000,273000
15,23000,18000,14000,18000,16000,36000,28000,22000,27000,23000,22000,25000,23000,28000,24000,25000,17000,389000
16,30000,13000,17000,28000,14000,52000,36000,32000,30000,33000,42000,34000,35000,23000,34000,35000,17000,505000
17,13000,16000,27000,14000,20000,58000,65000,84000,48000,46000,36000,43000,44000,43000,50000,40000,17000,664000
18,18000,14000,14000,14000,13000,13000,19000,19000,21000,19000,21000,18000,19000,20000,19000,19000,18000,298000
19,22000,23000,21000,14000,19000,12000,26000,25000,25000,25000,25000,26000,33000,30000,27000,18000,29000,400000
20,16000,46000,31000,15000,20000,12000,38000,34000,36000,52000,38000,37000,28000,35000,35000,30000,41000,544000
21,13000,13000,13000,13000,12000,12000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,241000
22,13000,51000,35000,67000,14000,39000,43000,35000,36000,37000,70000,31000,36000,21000,28000,33000,38000,627000
23,13000,13000,13000,14000,13000,12000,18000,17000,16000,18000,18000,16000,16000,18000,17000,17000,16000,265000
24,21000,22000,19000,34000,23000,24000,29000,24000,29000,26000,25000,27000,25000,31000,25000,27000,17000,428000
25,71000,13000,22000,13000,58000,42000,41000,45000,40000,75000,37000,40000,22000,46000,36000,41000,17000,659000
26,15000,16000,13000,14000,13000,15000,19000,19000,19000,19000,18000,19000,25000,19000,19000,17000,17000,296000
27,25000,22000,16000,21000,39000,26000,28000,31000,31000,30000,30000,29000,59000,29000,31000,18000,17000,482000
28,72000,15000,29000,15000,30000,13000,67000,43000,76000,42000,44000,25000,51000,44000,42000,18000,41000,667000
29,14000,17000,14000,15000,12000,16000,19000,21000,22000,20000,20000,27000,22000,22000,20000,23000,20000,324000
30,32000,30000,27000,18000,12000,15000,34000,35000,30000,34000,33000,68000,29000,32000,20000,23000,29000,501000
31,14000,13000,13000,12000,12000,12000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,241000
32,16000,13000,20000,16000,16000,12000,20000,23000,22000,23000,28000,24000,24000,23000,28000,23000,25000,356000
33,35000,30000,47000,15000,51000,13000,37000,28000,32000,30000,31000,26000,31000,29000,33000,34000,30000,532000
34,14000,14000,15000,15000,13000,23000,20000,19000,18000,18000,19000,24000,19000,18000,19000,20000,17000,305000
35,57000,14000,17000,35000,50000,13000,43000,34000,34000,32000,29000,34000,32000,34000,37000,33000,17000,545000
36,19000,16000,15000,15000,15000,17000,22000,22000,21000,19000,27000,22000,20000,21000,22000,18000,17000,328000
37,15000,60000,15000,21000,38000,45000,42000,46000,36000,32000,42000,42000,39000,39000,38000,18000,17000,585000
38,18000,15000,17000,16000,16000,13000,22000,24000,22000,28000,22000,25000,24000,23000,19000,18000,24000,346000
39,15000,62000,15000,23000,12000,20000,62000,41000,46000,43000,47000,44000,43000,44000,19000,19000,45000,600000
40,18000,17000,21000,12000,20000,14000,28000,24000,28000,26000,26000,27000,23000,22000,20000,25000,26000,377000
41,15000,13000,12000,12000,12000,12000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,241000
42,26000,14000,21000,19000,12000,12000,28000,29000,25000,29000,28000,29000,26000,24000,29000,28000,31000,410000
43,13000,13000,13000,13000,12000,12000,16000,16000,18000,17000,18000,18000,18000,16000,16000,17000,17000,263000
44,16000,17000,19000,16000,24000,24000,26000,23000,23000,24000,23000,22000,23000,22000,24000,24000,17000,367000
45,34000,17000,17000,19000,13000,22000,32000,26000,24000,27000,24000,25000,26000,24000,27000,18000,17000,392000
46,25000,40000,21000,18000,21000,13000,36000,27000,30000,30000,30000,26000,26000,27000,19000,18000,17000,424000
47,19000,26000,47000,21000,18000,31000,39000,31000,33000,30000,34000,34000,30000,20000,19000,18000,17000,467000
48,22000,28000,50000,25000,24000,15000,37000,36000,38000,38000,32000,31000,21000,20000,19000,18000,36000,490000
49,24000,29000,47000,27000,12000,13000,40000,50000,38000,36000,35000,22000,23000,21000,19000,37000,39000,512000
50,32000,36000,54000,12000,12000,14000,71000,44000,39000,38000,27000,28000,26000,28000,40000,42000,44000,587000
51,15000,12000,12000,13000,12000,12000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,241000
52,16000,13000,12000,13000,12000,12000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,265000
53,14000,13000,13000,12000,12000,12000,18000,18000,19000,20000,18000,18000,20000,20000,19000,20000,19000,285000
54,14000,13000,13000,12000,12000,12000,19000,22000,22000,20000,20000,22000,21000,21000,21000,22000,21000,307000
55,74000,91000,118000,101000,83000,64000,90000,52000,44000,40000,25000,23000,21000,20000,19000,18000,17000,900000
56,74000,62000,98000,103000,79000,61000,85000,73000,46000,28000,26000,26000,21000,20000,19000,18000,17000,856000
57,70000,48000,95000,90000,98000,53000,85000,67000,65000,67000,62000,57000,28000,22000,20000,18000,17000,962000
58,130000,107000,118000,157000,169000,192000,197000,192000,181000,179000,174000,176000,175000,178000,180000,185000,180000,2870000
59,63000,70000,157000,145000,156000,169000,187000,181000,176000,171000,164000,163000,168000,174000,175000,169000,168000,2656000
60,85000,169000,145000,145000,133000,157000,184000,180000,166000,171000,169000,164000,171000,169000,163000,169000,163000,2703000
61,192000,156000,145000,145000,133000,169000,217000,201000,187000,181000,179000,183000,183000,191000,197000,207000,217000,3083000
62,147000,133000,145000,134000,133000,76000,166000,151000,146000,144000,140000,143000,141000,147000,149000,145000,149000,2389000
63,68000,157000,133000,145000,133000,42000,145000,130000,122000,128000,126000,129000,122000,118000,116000,120000,124000,2058000
64,59000,48000,169000,133000,133000,39000,128000,115000,115000,108000,114000,108000,112000,104000,111000,107000,110000,1813000
65,48000,49000,58000,90000,76000,74000,95000,49000,35000,26000,23000,22000,21000,20000,19000,18000,17000,740000
66,34000,34000,24000,19000,16000,15000,32000,27000,25000,27000,28000,26000,23000,25000,26000,18000,17000,416000
67,15000,14000,13000,15000,16000,14000,25000,25000,24000,21000,23000,26000,23000,23000,22000,25000,17000,341000
68,15000,13000,12000,12000,15000,15000,23000,20000,21000,23000,20000,19000,21000,21000,21000,20000,22000,313000
69,15000,12000,12000,12000,12000,13000,19000,20000,19000,19000,21000,18000,18000,19000,19000,19000,18000,285000
70,15000,12000,12000,12000,13000,12000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,263000
71,15000,12000,12000,13000,12000,12000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,241000
72,14000,13000,13000,56000,62000,63000,66000,39000,34000,37000,41000,24000,21000,20000,38000,37000,38000,616000
73,12000,12000,24000,28000,26000,55000,39000,47000,33000,32000,34000,35000,22000,20000,19000,32000,38000,508000
74,53000,12000,24000,19000,19000,23000,35000,33000,37000,35000,31000,32000,27000,21000,19000,18000,32000,470000
75,22000,25000,22000,17000,17000,16000,33000,31000,33000,34000,31000,33000,32000,24000,20000,18000,17000,425000
76,16000,15000,14000,18000,15000,15000,28000,29000,31000,32000,31000,28000,28000,30000,20000,18000,17000,385000
77,14000,24000,15000,15000,14000,13000,22000,19000,18000,18000,18000,18000,26000,20000,19000,17000,17000,307000
78,36000,12000,51000,15000,44000,22000,37000,29000,29000,32000,27000,31000,25000,29000,30000,31000,27000,507000
79,14000,12000,13000,12000,13000,12000,16000,17000,16000,18000,17000,16000,16000,20000,18000,17000,16000,263000
80,17000,19000,14000,12000,52000,20000,26000,26000,28000,27000,29000,26000,27000,23000,29000,28000,28000,431000
81,15000,12000,12000,13000,12000,12000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,241000
82,13000,17000,13000,17000,51000,16000,28000,22000,25000,29000,24000,26000,24000,21000,20000,25000,29000,400000
83,23000,12000,21000,14000,70000,18000,65000,33000,54000,33000,36000,37000,36000,39000,19000,18000,36000,564000
84,12000,16000,15000,15000,15000,15000,23000,22000,22000,25000,32000,25000,24000,20000,19000,18000,22000,340000
85,15000,18000,28000,20000,14000,62000,37000,45000,33000,47000,32000,36000,35000,35000,33000,18000,17000,525000
86,14000,17000,16000,14000,14000,14000,19000,22000,21000,19000,26000,27000,21000,22000,20000,18000,17000,321000
87,13000,57000,12000,17000,21000,16000,34000,32000,36000,29000,32000,27000,33000,32000,34000,33000,17000,475000
88,13000,13000,15000,15000,13000,13000,16000,16000,17000,17000,18000,16000,19000,18000,16000,17000,17000,269000
89,13000,39000,12000,61000,21000,47000,41000,31000,35000,34000,27000,30000,31000,22000,20000,32000,32000,528000
90,24000,16000,12000,16000,49000,15000,24000,23000,22000,23000,25000,22000,23000,24000,20000,22000,24000,384000
91,15000,12000,12000,13000,12000,12000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,241000
92,20000,20000,13000,15000,21000,63000,33000,32000,30000,30000,29000,23000,29000,31000,20000,19000,32000,460000
93,17000,12000,14000,14000,13000,37000,23000,21000,23000,19000,23000,24000,20000,21000,21000,18000,19000,339000
94,12000,25000,14000,21000,14000,64000,66000,36000,41000,36000,35000,23000,22000,37000,37000,18000,36000,537000
95,18000,14000,20000,14000,17000,26000,29000,30000,30000,29000,27000,27000,22000,27000,30000,18000,17000,395000
96,15000,15000,14000,14000,14000,13000,17000,18000,18000,21000,18000,21000,24000,19000,19000,20000,17000,297000
97,13000,62000,23000,20000,14000,14000,36000,47000,36000,33000,34000,33000,23000,21000,35000,32000,17000,493000
98,13000,16000,18000,15000,14000,14000,26000,26000,26000,27000,26000,26000,27000,21000,24000,28000,17000,364000
99,21000,14000,20000,45000,26000,16000,29000,25000,24000,33000,28000,23000,26000,28000,19000,30000,26000,433000
100,14000,12000,15000,15000,16000,13000,20000,22000,19000,22000,20000,19000,28000,21000,19000,22000,20000,317000
101,14000,12000,13000,13000,12000,12000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,241000
102,58000,26000,13000,34000,31000,25000,37000,31000,33000,30000,29000,33000,21000,30000,32000,18000,34000,515000
103,17000,13000,15000,13000,18000,18000,24000,26000,23000,23000,33000,26000,21000,25000,25000,18000,27000,365000
104,12000,15000,13000,14000,14000,13000,17000,18000,21000,17000,21000,18000,18000,26000,19000,18000,19000,293000
105,58000,30000,20000,39000,17000,14000,62000,58000,36000,38000,27000,35000,35000,20000,36000,38000,17000,580000
106,21000,14000,19000,15000,13000,20000,31000,30000,32000,33000,25000,27000,31000,20000,31000,29000,17000,408000
107,17000,14000,15000,14000,13000,14000,26000,21000,25000,21000,21000,32000,23000,20000,25000,22000,17000,340000
108,15000,14000,15000,13000,13000,13000,16000,16000,17000,18000,19000,17000,16000,16000,21000,17000,17000,273000
109,21000,15000,12000,42000,15000,13000,33000,44000,36000,32000,34000,24000,33000,32000,19000,35000,36000,476000
110,13000,23000,41000,37000,47000,43000,41000,46000,41000,33000,25000,34000,32000,34000,33000,19000,32000,574000
111,13000,13000,13000,13000,12000,12000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,241000
112,15000,13000,14000,15000,14000,13000,21000,19000,18000,18000,18000,21000,20000,21000,19000,19000,19000,297000
113,19000,13000,15000,15000,14000,16000,21000,20000,22000,27000,23000,29000,24000,21000,22000,18000,25000,344000
114,13000,16000,20000,16000,17000,26000,30000,25000,26000,30000,31000,24000,28000,20000,28000,25000,25000,400000
115,14000,16000,33000,21000,14000,17000,34000,32000,36000,30000,31000,24000,31000,32000,33000,30000,17000,445000
116,19000,34000,47000,13000,14000,23000,61000,53000,36000,29000,34000,38000,38000,36000,20000,37000,17000,549000
117,16000,13000,13000,14000,13000,13000,16000,17000,17000,17000,16000,16000,19000,19000,20000,17000,17000,273000
118,18000,15000,16000,14000,14000,14000,21000,20000,21000,19000,25000,22000,26000,23000,19000,21000,17000,325000
119,16000,12000,19000,14000,16000,14000,24000,24000,25000,26000,31000,27000,23000,23000,19000,28000,21000,362000
120,17000,12000,13000,13000,15000,15000,31000,29000,31000,32000,27000,31000,21000,30000,27000,28000,28000,400000
121,15000,21000,45000,37000,23000,78000,28000,19000,16000,30000,63000,37000,40000,36000,61000,34000,25000,608000
122,76000,28000,16000,19000,26000,79000,21000,36000,41000,20000,15000,32000,27000,37000,57000,37000,36000,603000
123,45000,64000,27000,37000,28000,83000,19000,16000,25000,15000,19000,23000,25000,57000,36000,36000,35000,590000
124,29000,16000,54000,19000,33000,185000,18000,30000,15000,44000,22000,35000,21000,43000,36000,38000,48000,686000
125,21000,22000,18000,44000,35000,178000,17000,15000,29000,23000,29000,60000,26000,22000,35000,39000,36000,649000
126,16000,33000,30000,19000,40000,167000,15000,26000,20000,18000,39000,39000,50000,16000,42000,35000,35000,640000
127,89000,84000,80000,70000,72000,217000,89000,71000,70000,82000,76000,37000,39000,38000,13000,13000,38000,1178000
128,48000,18000,19000,22000,15000,138000,47000,19000,24000,27000,16000,46000,40000,38000,43000,38000,15000,613000
129,37000,24000,30000,15000,17000,118000,35000,42000,18000,20000,19000,41000,39000,44000,41000,26000,13000,579000
130,25000,42000,15000,27000,18000,93000,29000,19000,39000,16000,23000,40000,42000,39000,53000,15000,15000,550000
131,20000,15000,22000,16000,19000,64000,25000,33000,23000,51000,34000,22000,46000,37000,35000,58000,13000,533000
132,15000,29000,25000,18000,31000,168000,55000,20000,17000,17000,30000,36000,37000,35000,32000,40000,18000,623000
133,72000,66000,55000,46000,42000,217000,50000,46000,37000,49000,56000,15000,15000,33000,34000,32000,37000,902000
134,41000,17000,17000,20000,44000,143000,32000,18000,21000,28000,15000,36000,18000,33000,32000,29000,43000,587000
135,28000,25000,29000,47000,15000,121000,26000,35000,16000,19000,18000,26000,21000,30000,32000,37000,39000,564000
136,23000,33000,55000,22000,17000,99000,22000,18000,37000,15000,20000,48000,18000,20000,31000,35000,34000,547000
137,17000,58000,20000,15000,18000,59000,27000,33000,24000,40000,24000,35000,41000,15000,10000,37000,32000,505000
138,62000,17000,31000,24000,19000,71000,20000,16000,15000,21000,38000,32000,44000,31000,20000,11000,32000,504000
139,50000,21000,15000,16000,22000,67000,19000,25000,32000,17000,36000,37000,42000,33000,32000,17000,11000,492000
140,31000,35000,21000,33000,25000,71000,18000,15000,21000,33000,17000,43000,33000,34000,34000,14000,13000,491000
141,24000,15000,46000,18000,26000,179000,17000,26000,43000,28000,21000,42000,38000,38000,29000,15000,17000,622000
142,19000,20000,16000,37000,29000,170000,15000,47000,23000,22000,22000,25000,41000,37000,29000,27000,21000,600000
143,15000,54000,17000,52000,17000,56000,22000,28000,20000,25000,21000,18000,36000,29000,33000,35000,12000,490000
144,54000,16000,30000,21000,18000,62000,19000,15000,35000,21000,28000,30000,16000,31000,29000,34000,27000,486000
145,40000,23000,49000,15000,19000,62000,18000,24000,23000,16000,35000,20000,14000,35000,36000,30000,30000,489000
146,27000,28000,19000,24000,24000,62000,17000,31000,17000,27000,15000,20000,12000,37000,30000,28000,32000,450000
147,21000,56000,32000,16000,24000,183000,15000,20000,36000,27000,18000,29000,12000,21000,44000,37000,42000,633000
148,16000,17000,15000,35000,27000,169000,51000,38000,21000,19000,20000,22000,27000,23000,22000,43000,39000,604000
149,66000,24000,21000,18000,30000,175000,40000,19000,16000,15000,24000,24000,21000,28000,19000,24000,35000,599000
150,45000,35000,48000,42000,36000,215000,36000,36000,41000,40000,34000,24000,24000,24000,24000,15000,15000,734000
151,32000,15000,16000,19000,34000,145000,27000,18000,24000,23000,48000,23000,26000,23000,46000,25000,16000,560000
152,24000,21000,25000,42000,44000,125000,23000,36000,15000,17000,16000,24000,22000,39000,41000,20000,18000,552000
153,19000,29000,49000,20000,15000,103000,26000,16000,29000,44000,19000,13000,27000,40000,37000,41000,16000,543000
154,15000,16000,60000,25000,24000,167000,34000,32000,24000,17000,19000,27000,43000,35000,23000,25000,25000,611000
155,61000,23000,18000,16000,28000,171000,34000,18000,15000,56000,21000,25000,21000,38000,22000,21000,26000,614000
156,41000,31000,32000,38000,33000,211000,29000,38000,31000,27000,29000,19000,19000,23000,23000,22000,24000,670000
157,28000,60000,15000,18000,32000,144000,24000,16000,20000,20000,49000,23000,19000,21000,25000,21000,45000,580000
158,21000,17000,20000,36000,37000,122000,26000,29000,43000,16000,15000,42000,23000,21000,21000,23000,40000,552000
159,16000,23000,45000,18000,41000,105000,20000,15000,22000,35000,18000,40000,42000,17000,9000,22000,38000,526000
160,42000,48000,16000,53000,15000,46000,20000,25000,17000,28000,20000,30000,28000,31000,11000,9000,29000,468000
161,50000,15000,25000,19000,17000,52000,18000,32000,32000,19000,26000,31000,30000,31000,25000,23000,8000,453000
162,33000,20000,49000,42000,18000,54000,17000,19000,21000,15000,25000,35000,29000,29000,28000,16000,8000,458000
163,24000,28000,17000,21000,20000,52000,15000,27000,16000,26000,27000,35000,29000,28000,26000,20000,13000,424000
164,19000,49000,29000,15000,22000,180000,51000,18000,38000,22000,16000,22000,45000,36000,37000,21000,9000,629000
165,15000,23000,29000,18000,35000,109000,19000,46000,21000,35000,16000,10000,23000,41000,43000,36000,18000,537000
166,37000,50000,15000,45000,40000,43000,18000,19000,16000,22000,19000,11000,10000,26000,27000,25000,26000,449000
167,45000,43000,20000,18000,15000,44000,17000,29000,31000,17000,21000,29000,11000,29000,23000,26000,27000,445000
168,27000,17000,45000,40000,17000,48000,15000,18000,24000,27000,25000,26000,8000,27000,26000,27000,22000,439000
169,21000,24000,16000,19000,18000,47000,31000,24000,15000,25000,26000,26000,22000,10000,28000,26000,23000,401000
170,16000,36000,27000,46000,19000,185000,41000,18000,31000,20000,15000,39000,20000,7000,24000,46000,35000,625000
171,64000,15000,52000,22000,22000,171000,31000,32000,20000,16000,18000,39000,18000,20000,22000,17000,42000,621000
172,38000,20000,17000,15000,25000,171000,28000,16000,42000,42000,20000,39000,18000,18000,20000,25000,18000,572000
173,34000,29000,31000,24000,31000,205000,27000,28000,25000,29000,27000,20000,19000,19000,20000,21000,21000,610000
174,24000,57000,52000,16000,30000,146000,27000,15000,17000,19000,30000,19000,22000,19000,50000,16000,18000,577000
175,19000,16000,18000,32000,34000,121000,20000,24000,36000,15000,42000,18000,19000,18000,38000,44000,19000,533000
176,15000,30000,21000,41000,18000,188000,37000,16000,22000,19000,49000,26000,42000,36000,39000,20000,8000,627000
177,58000,50000,47000,19000,19000,169000,26000,27000,17000,15000,16000,20000,20000,41000,40000,17000,20000,621000
178,37000,17000,16000,44000,22000,169000,24000,15000,36000,41000,19000,26000,18000,41000,18000,17000,22000,582000
179,29000,23000,28000,22000,28000,199000,30000,26000,23000,23000,23000,24000,25000,19000,18000,17000,21000,578000
