node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,dir_7,dir_8,dir_9,dir_10,dir_11,dir_12,dir_13,dir_14,dir_15,dir_16,dir_17,dir_18,total
0,29000,71000,72000,61000,64000,103000,126000,119000,69000,99000,92000,65000,60000,62000,67000,67000,59000,65000,42000,1392000
1,20000,18000,17000,15000,15000,15000,22000,20000,20000,21000,21000,22000,21000,21000,21000,22000,22000,21000,47000,401000
2,20000,26000,21000,21000,18000,18000,25000,25000,26000,24000,25000,26000,27000,25000,31000,26000,64000,24000,32000,504000
3,34000,54000,33000,25000,17000,25000,37000,31000,28000,29000,30000,29000,40000,30000,83000,31000,58000,56000,31000,701000
4,42000,17000,43000,40000,16000,32000,38000,34000,35000,37000,45000,35000,94000,40000,75000,77000,36000,41000,37000,814000
5,15000,25000,51000,46000,28000,30000,52000,43000,46000,43000,97000,47000,87000,91000,46000,45000,43000,49000,32000,916000
6,23000,25000,83000,15000,28000,42000,55000,71000,102000,57000,90000,90000,52000,56000,53000,58000,41000,51000,55000,1047000
7,17000,16000,15000,14000,14000,14000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,337000
8,21000,19000,14000,18000,16000,16000,21000,21000,23000,23000,23000,21000,23000,27000,23000,28000,24000,37000,21000,419000
9,29000,23000,22000,21000,28000,21000,25000,28000,26000,26000,26000,32000,27000,34000,29000,66000,31000,35000,19000,548000
10,36000,16000,32000,14000,27000,34000,28000,35000,27000,30000,31000,36000,34000,83000,39000,59000,46000,34000,37000,678000
11,15000,19000,14000,16000,40000,42000,43000,38000,37000,44000,39000,94000,40000,78000,70000,35000,41000,38000,40000,783000
12,60000,19000,31000,16000,21000,78000,46000,45000,53000,97000,50000,89000,80000,48000,51000,49000,54000,31000,19000,937000
13,101000,60000,55000,62000,63000,27000,117000,100000,58000,94000,82000,58000,56000,57000,57000,32000,26000,67000,21000,1193000
14,62000,84000,31000,37000,34000,50000,57000,43000,48000,95000,47000,90000,80000,51000,49000,49000,49000,26000,21000,1003000
15,45000,51000,21000,17000,26000,21000,44000,35000,41000,35000,39000,100000,41000,86000,71000,36000,42000,41000,41000,833000
16,33000,36000,32000,16000,31000,17000,32000,33000,33000,31000,32000,35000,33000,91000,37000,69000,30000,31000,35000,687000
17,26000,23000,27000,22000,24000,20000,28000,27000,25000,25000,31000,28000,31000,33000,28000,75000,29000,32000,21000,555000
18,20000,18000,19000,15000,17000,16000,21000,22000,23000,23000,23000,21000,26000,25000,24000,25000,24000,63000,21000,446000
19,17000,16000,15000,14000,14000,14000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,337000
20,36000,22000,14000,87000,22000,22000,58000,74000,105000,56000,99000,94000,58000,52000,56000,58000,25000,21000,63000,1022000
21,21000,17000,47000,51000,19000,15000,52000,51000,39000,40000,103000,47000,95000,92000,44000,49000,48000,49000,19000,898000
22,40000,17000,14000,40000,28000,15000,39000,39000,35000,37000,39000,36000,100000,40000,84000,42000,36000,40000,38000,759000
23,30000,25000,14000,25000,29000,20000,32000,27000,29000,34000,32000,30000,35000,31000,90000,32000,38000,24000,31000,608000
24,22000,21000,19000,20000,21000,15000,24000,26000,26000,25000,24000,28000,25000,28000,28000,26000,77000,23000,19000,497000
25,20000,17000,17000,15000,15000,16000,20000,20000,20000,22000,21000,21000,21000,24000,22000,22000,20000,21000,26000,380000
26,65000,80000,63000,49000,29000,50000,114000,101000,57000,92000,43000,59000,58000,56000,59000,26000,24000,61000,20000,1106000
27,39000,29000,35000,17000,19000,34000,37000,35000,33000,36000,39000,37000,56000,38000,32000,25000,33000,38000,38000,650000
28,20000,18000,16000,16000,18000,17000,22000,23000,22000,24000,22000,24000,24000,25000,24000,26000,23000,24000,21000,409000
29,57000,29000,27000,71000,47000,29000,54000,42000,50000,63000,50000,55000,42000,51000,52000,52000,55000,22000,20000,868000
30,26000,27000,22000,15000,27000,21000,33000,29000,30000,34000,29000,28000,35000,33000,44000,31000,23000,20000,29000,536000
31,17000,16000,15000,14000,14000,14000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,337000
32,16000,37000,14000,20000,41000,17000,43000,40000,40000,39000,38000,56000,43000,44000,31000,35000,40000,40000,42000,676000
33,22000,21000,20000,20000,16000,17000,24000,25000,26000,25000,28000,27000,24000,25000,31000,26000,27000,24000,19000,447000
34,17000,14000,17000,33000,75000,24000,55000,71000,105000,56000,60000,43000,55000,59000,51000,60000,25000,22000,55000,897000
35,32000,14000,28000,27000,16000,20000,34000,36000,33000,30000,33000,35000,34000,43000,34000,27000,23000,30000,35000,564000
36,18000,17000,15000,17000,15000,15000,20000,20000,21000,21000,21000,21000,22000,22000,21000,25000,21000,22000,19000,373000
37,44000,17000,16000,40000,15000,19000,53000,47000,39000,42000,68000,45000,43000,34000,42000,48000,44000,46000,21000,723000
38,28000,17000,22000,21000,23000,20000,26000,27000,26000,29000,30000,28000,29000,35000,27000,33000,29000,24000,21000,495000
39,79000,29000,17000,98000,78000,36000,118000,54000,87000,49000,60000,32000,40000,28000,30000,55000,58000,22000,58000,1028000
40,44000,65000,16000,38000,53000,62000,49000,38000,46000,42000,46000,52000,43000,44000,27000,30000,22000,22000,45000,784000
41,26000,29000,26000,25000,30000,25000,35000,31000,33000,36000,34000,35000,32000,35000,41000,31000,36000,20000,20000,580000
42,19000,19000,15000,17000,18000,17000,26000,25000,23000,24000,26000,24000,24000,29000,24000,25000,27000,21000,26000,429000
43,17000,16000,15000,14000,14000,14000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,337000
44,53000,43000,14000,69000,17000,37000,51000,47000,50000,48000,56000,43000,48000,28000,30000,25000,23000,49000,50000,781000
45,29000,27000,28000,45000,28000,22000,36000,36000,38000,36000,36000,37000,39000,43000,37000,39000,23000,20000,19000,618000
46,20000,14000,20000,16000,20000,16000,25000,25000,28000,29000,24000,26000,34000,27000,27000,28000,26000,30000,26000,461000
47,14000,17000,16000,15000,14000,14000,20000,21000,20000,21000,21000,23000,21000,22000,20000,23000,20000,21000,20000,363000
48,59000,86000,50000,24000,31000,15000,54000,68000,52000,61000,50000,58000,32000,39000,25000,26000,51000,56000,19000,856000
49,42000,35000,27000,31000,28000,23000,41000,40000,38000,37000,40000,44000,52000,40000,38000,24000,22000,23000,21000,646000
50,22000,20000,22000,16000,18000,15000,29000,31000,31000,26000,30000,33000,30000,30000,34000,32000,29000,29000,21000,498000
51,18000,20000,16000,15000,15000,15000,22000,22000,23000,23000,25000,22000,25000,24000,25000,23000,23000,23000,20000,399000
52,86000,17000,76000,38000,88000,27000,125000,58000,61000,57000,59000,35000,33000,25000,25000,59000,58000,20000,58000,1005000
53,47000,55000,40000,55000,28000,78000,47000,37000,37000,41000,38000,45000,44000,38000,37000,27000,23000,20000,20000,757000
54,21000,16000,21000,17000,18000,32000,27000,27000,25000,25000,25000,26000,33000,28000,28000,29000,23000,29000,26000,476000
55,17000,16000,15000,14000,14000,14000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,337000
56,39000,51000,15000,37000,36000,60000,46000,44000,43000,42000,42000,46000,40000,39000,26000,25000,22000,20000,47000,720000
57,20000,27000,19000,27000,20000,20000,27000,29000,28000,30000,32000,36000,30000,30000,33000,23000,30000,28000,19000,508000
58,17000,14000,16000,14000,15000,14000,20000,21000,20000,22000,22000,22000,20000,20000,22000,21000,21000,21000,21000,363000
59,14000,49000,14000,42000,44000,35000,49000,53000,49000,50000,57000,46000,47000,31000,27000,22000,21000,47000,46000,743000
60,26000,24000,25000,19000,22000,26000,34000,30000,35000,32000,35000,34000,33000,35000,31000,32000,35000,22000,19000,549000
61,20000,16000,16000,18000,15000,15000,22000,22000,23000,24000,25000,23000,23000,24000,23000,24000,23000,24000,21000,401000
62,55000,29000,14000,76000,15000,27000,53000,70000,50000,54000,48000,51000,33000,29000,25000,24000,54000,51000,21000,779000
63,31000,19000,24000,25000,23000,16000,40000,39000,37000,32000,37000,38000,37000,36000,37000,35000,22000,22000,20000,570000
64,21000,17000,14000,16000,16000,16000,24000,24000,23000,26000,25000,26000,24000,26000,26000,26000,26000,22000,26000,424000
65,49000,60000,29000,75000,49000,61000,117000,98000,52000,42000,36000,54000,50000,57000,54000,23000,22000,52000,20000,1000000
66,27000,17000,22000,27000,37000,27000,40000,32000,31000,31000,31000,31000,31000,28000,39000,23000,22000,33000,35000,564000
67,17000,15000,16000,14000,14000,14000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,337000
68,32000,15000,16000,29000,29000,32000,35000,32000,35000,33000,36000,36000,33000,38000,27000,23000,36000,36000,37000,590000
69,18000,17000,16000,15000,15000,15000,20000,20000,20000,23000,20000,22000,22000,23000,22000,23000,21000,22000,19000,373000
70,41000,16000,15000,19000,42000,35000,43000,36000,41000,35000,38000,38000,43000,30000,26000,39000,39000,39000,39000,654000
71,14000,18000,17000,18000,15000,15000,21000,21000,25000,23000,25000,21000,24000,27000,22000,27000,23000,22000,21000,399000
72,42000,15000,25000,21000,19000,41000,50000,48000,36000,44000,48000,45000,34000,26000,43000,46000,44000,46000,19000,692000
73,15000,19000,20000,18000,16000,17000,24000,27000,25000,27000,26000,26000,26000,25000,28000,26000,21000,25000,21000,432000
74,54000,67000,17000,25000,18000,24000,49000,40000,50000,61000,48000,37000,31000,48000,49000,46000,54000,22000,21000,761000
75,27000,22000,16000,21000,17000,22000,28000,29000,30000,26000,28000,30000,27000,32000,27000,24000,31000,22000,20000,479000
76,32000,14000,72000,19000,18000,17000,55000,74000,105000,53000,42000,32000,51000,55000,52000,57000,23000,20000,54000,845000
77,26000,14000,23000,18000,18000,19000,31000,31000,26000,32000,34000,28000,35000,32000,24000,30000,23000,20000,30000,494000
78,17000,40000,27000,83000,73000,88000,118000,55000,61000,51000,56000,30000,31000,26000,24000,55000,60000,20000,61000,976000
79,17000,15000,16000,14000,14000,14000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,337000
80,15000,17000,16000,16000,14000,14000,21000,20000,20000,20000,23000,21000,21000,20000,21000,24000,20000,21000,21000,365000
81,19000,29000,19000,15000,17000,15000,22000,22000,21000,25000,22000,24000,23000,24000,27000,24000,23000,25000,19000,415000
82,21000,16000,25000,19000,17000,17000,25000,25000,25000,26000,28000,25000,23000,24000,24000,25000,26000,22000,26000,439000
83,14000,16000,32000,21000,18000,17000,26000,27000,29000,30000,24000,25000,30000,26000,27000,27000,21000,30000,29000,469000
84,16000,15000,53000,24000,20000,19000,29000,34000,28000,30000,30000,28000,32000,29000,31000,24000,31000,31000,19000,523000
85,17000,27000,62000,26000,21000,23000,34000,31000,35000,32000,31000,35000,31000,35000,23000,33000,36000,22000,21000,575000
86,18000,29000,69000,33000,25000,25000,39000,38000,37000,29000,41000,34000,36000,26000,39000,36000,23000,22000,21000,620000
87,42000,18000,30000,73000,34000,24000,40000,39000,36000,41000,41000,42000,25000,40000,41000,23000,23000,20000,20000,652000
88,42000,14000,23000,34000,47000,34000,44000,40000,47000,41000,44000,32000,44000,40000,25000,23000,22000,20000,46000,662000
