node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,total
0,7000,9000,9000,9000,8000,10000,9000,61000
1,7000,7000,7000,7000,7000,7000,7000,49000
2,7000,48000,16000,11000,20000,17000,19000,138000
3,49000,49000,47000,49000,47000,45000,47000,333000
4,11000,47000,20000,7000,16000,20000,17000,138000
5,11000,33000,21000,7000,19000,15000,13000,119000
6,9000,7000,8000,9000,9000,10000,9000,61000
7,7000,7000,7000,7000,7000,7000,7000,49000
8,7000,33000,20000,10000,21000,13000,14000,118000
9,37000,37000,31000,49000,32000,33000,33000,252000
10,26000,25000,22000,49000,21000,18000,18000,179000
11,19000,11000,20000,7000,19000,12000,15000,103000
12,9000,7000,9000,9000,9000,9000,9000,61000
13,7000,7000,7000,7000,7000,7000,7000,49000
14,20000,7000,18000,8000,19000,15000,12000,99000
15,16000,7000,13000,8000,11000,13000,14000,82000
16,16000,17000,15000,49000,15000,13000,13000,138000
17,15000,12000,11000,7000,14000,14000,13000,86000
18,9000,7000,10000,9000,9000,9000,8000,61000
19,7000,7000,7000,7000,7000,7000,7000,49000
20,7000,7000,7000,7000,7000,7000,7000,49000
21,7000,13000,10000,8000,12000,11000,11000,72000
22,12000,13000,11000,49000,11000,11000,11000,118000
23,12000,13000,12000,7000,10000,11000,12000,77000
24,7000,9000,9000,9000,8000,10000,9000,61000
25,9000,17000,21000,16000,7000,11000,19000,100000
26,7000,9000,11000,14000,15000,14000,17000,87000
27,12000,7000,10000,9000,11000,11000,14000,74000
28,47000,23000,7000,8000,13000,17000,14000,129000
29,25000,35000,19000,7000,8000,13000,9000,116000
30,9000,9000,9000,9000,9000,9000,49000,103000
31,7000,7000,7000,7000,7000,49000,7000,91000
32,9000,9000,9000,9000,9000,9000,7000,61000
33,49000,49000,49000,49000,49000,49000,49000,343000
34,7000,7000,7000,7000,7000,7000,7000,49000
35,8000,7000,11000,14000,15000,16000,15000,86000
36,7000,17000,22000,17000,8000,17000,10000,98000
37,25000,34000,20000,9000,7000,14000,9000,118000
38,46000,24000,8000,7000,11000,13000,17000,126000
39,12000,9000,7000,9000,11000,10000,15000,73000
40,9000,12000,10000,7000,11000,12000,13000,74000
41,7000,34000,8000,12000,10000,20000,15000,106000
42,16000,14000,7000,15000,8000,11000,15000,86000
43,48000,8000,19000,14000,7000,10000,18000,124000
44,20000,7000,24000,8000,9000,15000,12000,95000
45,8000,34000,7000,13000,9000,15000,20000,106000
46,7000,11000,9000,8000,11000,12000,13000,71000
47,20000,8000,24000,7000,10000,16000,11000,96000
48,48000,7000,20000,13000,8000,17000,11000,124000
49,16000,13000,8000,15000,7000,9000,16000,84000
