node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,dir_7,dir_8,dir_9,dir_10,dir_11,dir_12,dir_13,dir_14,dir_15,dir_16,dir_17,dir_18,dir_19,dir_20,dir_21,dir_22,dir_23,dir_24,total
0,25000,22000,39000,22000,21000,22000,22000,22000,31000,30000,33000,36000,31000,33000,35000,33000,33000,34000,31000,38000,30000,30000,34000,36000,34000,757000
1,49000,334000,39000,38000,285000,348000,286000,20000,232000,145000,146000,170000,162000,129000,213000,180000,174000,188000,203000,137000,189000,171000,25000,168000,144000,4175000
2,34000,329000,41000,28000,307000,332000,284000,28000,139000,221000,201000,177000,181000,219000,129000,160000,168000,145000,139000,197000,143000,168000,25000,175000,187000,4157000
3,23000,21000,29000,29000,39000,20000,21000,19000,38000,31000,34000,33000,33000,35000,33000,31000,36000,33000,30000,31000,34000,36000,36000,30000,30000,765000
4,23000,20000,21000,28000,20000,19000,18000,37000,29000,31000,32000,29000,32000,29000,27000,29000,28000,27000,27000,30000,29000,28000,27000,27000,30000,677000
5,22000,21000,19000,19000,37000,18000,19000,19000,29000,29000,29000,29000,31000,28000,30000,29000,29000,28000,30000,29000,29000,28000,28000,30000,27000,666000
6,291000,20000,19000,20000,324000,322000,251000,21000,184000,214000,163000,145000,203000,167000,174000,137000,190000,178000,129000,168000,138000,144000,65000,189000,203000,4059000
7,23000,20000,20000,19000,18000,18000,18000,19000,29000,29000,29000,29000,30000,27000,28000,29000,31000,30000,27000,28000,28000,29000,28000,30000,31000,647000
8,25000,19000,285000,19000,268000,331000,292000,18000,151000,182000,137000,185000,166000,144000,193000,180000,159000,195000,173000,185000,129000,139000,45000,201000,207000,4028000
9,26000,273000,18000,18000,269000,316000,258000,19000,188000,149000,181000,200000,193000,140000,195000,146000,137000,165000,189000,161000,171000,129000,35000,207000,169000,3952000
10,372000,350000,345000,360000,345000,349000,403000,353000,475000,472000,480000,468000,476000,456000,461000,453000,458000,462000,439000,458000,454000,451000,625000,444000,443000,10852000
11,239000,26000,18000,223000,331000,197000,18000,20000,163000,196000,176000,138000,145000,199000,143000,191000,193000,175000,144000,173000,169000,205000,55000,129000,171000,3837000
12,23000,18000,242000,342000,195000,18000,196000,18000,199000,179000,197000,159000,177000,191000,144000,167000,178000,137000,170000,145000,208000,193000,55000,140000,129000,3820000
13,22000,20000,19000,19000,18000,18000,18000,24000,27000,27000,27000,28000,27000,27000,26000,27000,26000,27000,28000,27000,27000,28000,27000,27000,26000,617000
14,241000,19000,229000,330000,193000,18000,18000,18000,170000,130000,189000,195000,137000,174000,170000,194000,147000,160000,205000,171000,191000,183000,55000,145000,140000,3822000
15,22000,20000,19000,18000,19000,18000,18000,18000,27000,27000,26000,27000,26000,28000,26000,29000,27000,27000,27000,29000,27000,27000,27000,26000,26000,611000
16,22000,20000,19000,19000,18000,18000,18000,18000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,577000
17,40000,39000,40000,23000,22000,22000,21000,22000,31000,29000,31000,35000,33000,37000,36000,35000,36000,33000,29000,34000,31000,32000,36000,33000,33000,793000
