node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,dir_7,dir_8,dir_9,dir_10,dir_11,dir_12,dir_13,dir_14,dir_15,dir_16,dir_17,dir_18,dir_19,dir_20,dir_21,dir_22,dir_23,dir_24,dir_25,dir_26,dir_27,dir_28,total
0,304000,379000,309000,352000,368000,25000,24000,372000,339000,317000,192000,278000,194000,179000,259000,228000,225000,222000,157000,172000,51000,282000,294000,242000,227000,230000,205000,277000,254000,6957000
1,316000,356000,278000,292000,287000,420000,21000,310000,310000,308000,180000,315000,284000,266000,305000,204000,214000,286000,260000,175000,365000,301000,249000,223000,281000,288000,196000,244000,227000,7761000
2,443000,420000,360000,369000,378000,405000,601000,395000,408000,401000,590000,537000,555000,533000,536000,528000,531000,528000,536000,525000,768000,497000,523000,526000,506000,513000,520000,508000,517000,14457000
3,261000,249000,324000,245000,239000,243000,239000,67000,238000,243000,323000,180000,237000,245000,196000,293000,286000,223000,252000,314000,187000,175000,255000,274000,214000,203000,283000,262000,261000,7011000
4,284000,252000,337000,244000,237000,233000,233000,32000,63000,233000,279000,189000,264000,288000,205000,231000,237000,248000,299000,289000,51000,174000,157000,221000,227000,223000,246000,175000,195000,6346000
5,302000,257000,347000,242000,239000,231000,229000,25000,33000,64000,259000,203000,156000,192000,219000,201000,172000,278000,199000,254000,29000,180000,234000,150000,246000,230000,227000,248000,263000,5909000
6,329000,356000,246000,236000,229000,238000,22000,24000,33000,52000,231000,210000,212000,231000,233000,165000,261000,177000,268000,244000,29000,176000,155000,245000,143000,239000,202000,183000,198000,5567000
7,450000,249000,236000,229000,237000,22000,23000,25000,30000,43000,213000,220000,245000,157000,236000,257000,212000,211000,180000,226000,62000,183000,225000,196000,187000,142000,171000,231000,164000,5262000
8,27000,21000,21000,21000,21000,25000,31000,34000,40000,44000,41000,37000,37000,38000,38000,41000,39000,37000,38000,39000,37000,33000,34000,35000,35000,35000,36000,34000,39000,988000
9,27000,20000,21000,21000,21000,21000,20000,20000,20000,23000,40000,37000,38000,38000,39000,38000,38000,40000,39000,36000,37000,33000,33000,33000,36000,35000,35000,39000,39000,917000
10,28000,20000,21000,21000,21000,20000,20000,20000,20000,23000,38000,37000,39000,37000,38000,37000,38000,39000,35000,35000,37000,33000,35000,35000,35000,37000,39000,40000,39000,917000
11,25000,20000,20000,20000,20000,20000,20000,20000,20000,23000,36000,35000,36000,37000,37000,36000,37000,34000,35000,33000,35000,32000,32000,33000,32000,37000,36000,36000,36000,873000
12,25000,20000,20000,20000,20000,20000,20000,20000,23000,20000,33000,33000,33000,33000,34000,34000,32000,33000,32000,31000,33000,31000,33000,31000,35000,34000,34000,34000,34000,835000
13,25000,20000,20000,20000,20000,20000,20000,23000,20000,20000,31000,31000,31000,31000,32000,31000,31000,31000,30000,30000,31000,30000,30000,31000,33000,31000,31000,31000,32000,797000
14,25000,23000,20000,20000,20000,20000,20000,20000,20000,20000,29000,29000,29000,29000,29000,29000,29000,29000,29000,29000,29000,29000,29000,29000,29000,29000,29000,29000,29000,759000
15,24000,21000,23000,20000,20000,20000,20000,20000,20000,20000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,721000
16,303000,280000,385000,23000,23000,23000,20000,20000,238000,235000,208000,206000,166000,244000,172000,142000,184000,200000,219000,182000,51000,222000,178000,205000,215000,251000,221000,157000,231000,5204000
17,281000,280000,377000,243000,20000,20000,20000,20000,234000,233000,201000,225000,213000,188000,204000,239000,143000,247000,153000,176000,51000,239000,252000,174000,257000,166000,222000,224000,200000,5502000
18,264000,273000,370000,246000,236000,20000,20000,20000,229000,228000,201000,243000,278000,254000,229000,239000,258000,150000,236000,180000,51000,254000,198000,264000,173000,202000,217000,188000,156000,5877000
19,42000,41000,42000,43000,25000,32000,24000,23000,22000,21000,42000,38000,39000,38000,35000,34000,34000,35000,35000,35000,37000,33000,37000,37000,39000,37000,38000,40000,40000,1018000
20,22000,20000,20000,20000,20000,25000,28000,21000,21000,21000,40000,39000,39000,38000,38000,33000,33000,33000,34000,34000,37000,33000,34000,39000,38000,39000,41000,41000,40000,921000
21,22000,20000,20000,20000,20000,20000,25000,21000,20000,20000,37000,36000,36000,37000,36000,35000,32000,32000,32000,32000,35000,32000,32000,33000,35000,39000,38000,38000,38000,873000
22,23000,20000,20000,20000,20000,20000,24000,21000,20000,20000,34000,34000,33000,33000,33000,33000,33000,31000,31000,31000,33000,31000,33000,31000,33000,35000,35000,35000,35000,835000
23,24000,20000,20000,20000,20000,20000,23000,21000,20000,20000,32000,31000,31000,31000,31000,31000,31000,31000,30000,30000,31000,30000,30000,31000,31000,31000,32000,32000,32000,797000
24,25000,20000,20000,20000,20000,20000,22000,21000,20000,20000,29000,29000,29000,29000,29000,29000,29000,29000,29000,29000,29000,29000,29000,29000,29000,29000,29000,29000,29000,759000
25,25000,20000,20000,20000,20000,21000,21000,21000,20000,20000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,721000
26,25000,24000,23000,22000,21000,255000,251000,256000,241000,294000,130000,118000,79000,141000,64000,133000,72000,88000,116000,91000,38000,211000,176000,203000,203000,249000,220000,144000,221000,4109000
27,21000,21000,21000,21000,229000,217000,213000,216000,281000,226000,195000,132000,107000,90000,92000,126000,108000,109000,68000,84000,44000,141000,242000,171000,251000,157000,220000,219000,199000,4221000
28,20000,20000,21000,207000,195000,204000,196000,279000,186000,269000,193000,253000,176000,140000,119000,121000,117000,111000,104000,85000,44000,141000,109000,266000,166000,197000,213000,182000,149000,4483000
29,20000,20000,212000,197000,205000,203000,274000,182000,200000,287000,182000,270000,187000,88000,135000,102000,105000,87000,98000,72000,39000,156000,160000,134000,225000,226000,196000,270000,258000,4790000
30,20000,192000,189000,187000,188000,251000,192000,198000,202000,333000,172000,319000,267000,256000,189000,106000,106000,141000,101000,96000,262000,158000,124000,114000,161000,270000,184000,238000,227000,5443000
31,322000,316000,312000,312000,289000,274000,285000,303000,327000,509000,517000,488000,482000,490000,489000,327000,308000,315000,303000,260000,772000,232000,307000,307000,310000,316000,469000,463000,453000,10857000
32,176000,155000,155000,167000,231000,175000,163000,175000,170000,66000,317000,171000,230000,244000,187000,280000,161000,114000,124000,156000,124000,95000,104000,135000,104000,106000,170000,246000,261000,4962000
33,69000,193000,163000,174000,240000,171000,168000,165000,171000,33000,267000,182000,266000,282000,195000,238000,222000,133000,175000,167000,39000,72000,92000,84000,111000,104000,130000,88000,188000,4582000
34,37000,54000,209000,175000,247000,165000,162000,154000,158000,25000,240000,192000,150000,188000,209000,196000,166000,274000,108000,147000,29000,85000,105000,98000,110000,118000,114000,136000,164000,4215000
35,26000,29000,39000,225000,249000,169000,162000,158000,164000,22000,122000,195000,213000,229000,222000,156000,271000,172000,250000,142000,29000,82000,68000,103000,98000,122000,93000,87000,101000,3998000
36,24000,24000,26000,29000,318000,172000,170000,155000,162000,21000,107000,121000,233000,147000,241000,263000,212000,207000,178000,214000,48000,91000,110000,85000,71000,96000,64000,129000,78000,3796000
37,26000,27000,28000,30000,20000,26000,20000,20000,20000,20000,41000,38000,37000,34000,34000,37000,34000,34000,34000,37000,37000,37000,38000,39000,38000,38000,39000,37000,40000,940000
38,198000,190000,217000,183000,220000,25000,24000,23000,217000,194000,90000,119000,170000,132000,112000,113000,88000,115000,62000,46000,34000,99000,94000,252000,156000,192000,105000,80000,99000,3649000
39,178000,161000,202000,144000,152000,234000,21000,21000,185000,170000,78000,144000,91000,83000,124000,99000,102000,59000,104000,110000,36000,105000,161000,126000,212000,219000,94000,136000,107000,3658000
40,147000,144000,169000,152000,143000,168000,281000,21000,172000,169000,132000,164000,157000,250000,177000,97000,95000,95000,72000,98000,269000,107000,85000,101000,154000,267000,171000,121000,100000,4278000
41,296000,286000,260000,226000,224000,235000,262000,429000,226000,238000,259000,230000,282000,288000,444000,283000,280000,281000,202000,173000,741000,156000,186000,265000,259000,257000,408000,268000,257000,8201000
42,128000,99000,121000,161000,125000,121000,123000,131000,66000,117000,170000,86000,101000,124000,174000,272000,156000,102000,84000,107000,116000,99000,69000,93000,95000,99000,166000,248000,142000,3695000
43,144000,112000,121000,174000,114000,122000,123000,126000,32000,63000,157000,76000,126000,157000,97000,225000,217000,134000,164000,108000,36000,94000,101000,59000,107000,98000,126000,84000,91000,3388000
44,158000,131000,166000,122000,121000,114000,119000,27000,34000,64000,139000,83000,107000,79000,108000,195000,160000,260000,97000,98000,29000,46000,68000,92000,83000,115000,113000,141000,159000,3228000
45,169000,181000,121000,113000,111000,121000,23000,24000,33000,52000,87000,103000,87000,95000,115000,77000,262000,168000,255000,130000,29000,49000,92000,75000,108000,110000,94000,85000,101000,3070000
46,228000,117000,127000,103000,105000,22000,24000,25000,29000,43000,107000,92000,124000,103000,121000,159000,210000,209000,175000,209000,37000,58000,69000,56000,56000,101000,64000,127000,70000,2970000
47,26000,20000,21000,21000,21000,25000,32000,35000,40000,42000,35000,37000,37000,37000,38000,40000,38000,33000,33000,34000,37000,37000,38000,38000,40000,41000,38000,37000,35000,986000
48,27000,20000,21000,21000,21000,21000,20000,20000,20000,23000,36000,33000,38000,37000,39000,37000,38000,34000,33000,34000,37000,37000,37000,37000,39000,40000,42000,38000,37000,917000
49,28000,20000,21000,21000,21000,20000,20000,20000,20000,23000,36000,33000,38000,37000,38000,37000,37000,37000,33000,33000,37000,33000,38000,39000,37000,39000,43000,40000,38000,917000
50,25000,20000,20000,20000,20000,20000,20000,20000,20000,23000,35000,33000,32000,37000,35000,35000,35000,35000,32000,32000,35000,32000,35000,36000,35000,37000,39000,39000,36000,873000
51,25000,20000,20000,20000,20000,20000,20000,20000,23000,20000,33000,33000,31000,33000,33000,33000,33000,33000,33000,31000,33000,31000,32000,33000,35000,35000,34000,35000,33000,835000
52,25000,23000,20000,20000,20000,20000,20000,20000,20000,20000,31000,31000,31000,30000,31000,31000,31000,31000,31000,30000,31000,30000,30000,32000,32000,32000,31000,31000,32000,797000
53,24000,21000,23000,20000,20000,20000,20000,20000,20000,20000,29000,29000,29000,29000,29000,29000,29000,29000,29000,29000,29000,29000,29000,29000,29000,29000,29000,29000,29000,759000
54,23000,21000,21000,23000,20000,20000,20000,20000,20000,20000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,721000
55,142000,137000,146000,186000,23000,23000,20000,20000,20000,119000,78000,101000,69000,139000,62000,104000,57000,57000,67000,58000,36000,206000,172000,197000,209000,158000,117000,97000,117000,2937000
56,130000,123000,149000,196000,111000,20000,20000,20000,20000,109000,96000,80000,106000,86000,99000,119000,101000,81000,93000,50000,34000,131000,252000,167000,245000,77000,111000,93000,84000,3003000
57,42000,63000,61000,62000,44000,31000,24000,23000,22000,21000,38000,39000,35000,35000,40000,40000,40000,37000,33000,33000,37000,39000,40000,37000,35000,36000,34000,38000,37000,1096000
58,22000,21000,20000,20000,20000,25000,27000,21000,21000,21000,39000,37000,36000,35000,35000,39000,40000,38000,33000,33000,37000,39000,39000,38000,39000,35000,35000,38000,38000,921000
59,23000,21000,20000,20000,20000,20000,25000,27000,21000,21000,38000,37000,36000,35000,34000,39000,39000,38000,37000,33000,37000,37000,40000,40000,38000,35000,37000,35000,38000,921000
60,23000,20000,20000,20000,20000,20000,20000,25000,20000,20000,36000,36000,35000,35000,34000,36000,36000,36000,35000,32000,35000,32000,36000,36000,35000,36000,35000,33000,36000,873000
61,24000,20000,20000,20000,20000,20000,20000,24000,20000,20000,33000,34000,33000,32000,32000,31000,34000,34000,33000,31000,33000,31000,34000,34000,36000,35000,32000,32000,33000,835000
62,25000,20000,20000,20000,20000,20000,20000,23000,20000,20000,31000,31000,32000,30000,31000,31000,31000,31000,31000,31000,31000,30000,31000,32000,32000,31000,31000,31000,30000,797000
63,25000,20000,20000,20000,20000,20000,22000,21000,20000,20000,29000,29000,29000,29000,29000,29000,29000,29000,29000,29000,29000,29000,29000,29000,29000,29000,29000,29000,29000,759000
64,25000,20000,20000,20000,20000,21000,21000,21000,20000,20000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,721000
