node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,dir_7,dir_8,dir_9,dir_10,total
0,12000,12000,16000,9000,15000,13000,13000,13000,13000,12000,11000,139000
1,21000,19000,10000,32000,33000,21000,33000,21000,24000,18000,23000,255000
2,14000,12000,8000,13000,14000,15000,16000,15000,14000,19000,16000,156000
3,10000,8000,8000,8000,9000,9000,9000,9000,9000,9000,9000,97000
4,16000,8000,9000,13000,18000,17000,17000,17000,26000,18000,18000,177000
5,10000,8000,8000,8000,11000,11000,12000,11000,10000,11000,11000,111000
6,10000,19000,23000,8000,22000,21000,20000,30000,19000,21000,11000,204000
7,19000,10000,23000,26000,22000,23000,20000,20000,25000,13000,17000,218000
8,33000,8000,10000,16000,35000,23000,23000,31000,14000,21000,24000,238000
9,10000,8000,8000,8000,9000,9000,9000,9000,9000,9000,9000,97000
10,10000,8000,8000,8000,11000,11000,11000,11000,11000,11000,11000,111000
11,8000,8000,9000,9000,13000,12000,13000,13000,13000,14000,13000,125000
12,13000,8000,15000,9000,14000,14000,16000,16000,17000,16000,11000,149000
13,13000,15000,9000,11000,15000,19000,20000,19000,18000,13000,11000,163000
14,73000,81000,67000,72000,72000,69000,71000,71000,70000,72000,69000,787000
15,73000,65000,73000,58000,81000,73000,69000,69000,71000,75000,81000,788000
16,81000,65000,57000,69000,73000,68000,70000,71000,67000,71000,71000,763000
17,66000,57000,31000,27000,64000,62000,59000,60000,60000,59000,58000,603000
18,57000,40000,27000,40000,43000,38000,33000,19000,15000,13000,11000,336000
19,55000,39000,27000,40000,42000,37000,21000,19000,14000,12000,11000,317000
20,65000,65000,34000,29000,48000,49000,47000,47000,46000,43000,42000,515000
21,9000,9000,8000,8000,9000,9000,9000,9000,9000,9000,9000,97000
22,9000,30000,28000,10000,35000,21000,21000,15000,15000,19000,21000,224000
23,9000,15000,15000,22000,19000,23000,20000,19000,13000,12000,17000,184000
24,16000,11000,11000,15000,15000,18000,19000,19000,19000,12000,11000,166000
25,11000,9000,9000,8000,15000,15000,17000,15000,16000,16000,11000,142000
26,8000,10000,8000,8000,12000,12000,14000,13000,13000,13000,14000,125000
27,8000,10000,8000,8000,11000,11000,11000,11000,11000,11000,11000,111000
28,11000,25000,10000,9000,16000,14000,15000,15000,15000,13000,16000,159000
29,19000,10000,29000,9000,34000,21000,24000,21000,21000,12000,20000,220000
30,12000,11000,9000,16000,13000,14000,15000,14000,13000,11000,11000,139000
31,17000,10000,8000,21000,19000,21000,18000,19000,21000,19000,11000,184000
32,10000,8000,8000,8000,12000,11000,11000,11000,11000,11000,10000,111000
33,15000,10000,9000,8000,17000,17000,17000,16000,15000,18000,18000,160000
34,9000,9000,8000,8000,9000,9000,9000,9000,9000,9000,9000,97000
35,13000,17000,10000,15000,19000,14000,17000,14000,19000,16000,16000,170000
36,23000,9000,21000,12000,33000,26000,22000,19000,20000,21000,11000,217000
37,11000,9000,9000,9000,12000,11000,10000,12000,12000,11000,11000,117000
38,13000,9000,9000,8000,14000,16000,14000,15000,13000,16000,15000,142000
39,10000,11000,8000,9000,22000,20000,18000,19000,18000,18000,20000,173000
40,10000,8000,8000,8000,9000,9000,9000,9000,9000,9000,9000,97000
41,10000,10000,9000,8000,12000,14000,13000,14000,13000,12000,14000,129000
