node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,dir_7,dir_8,dir_9,dir_10,dir_11,dir_12,dir_13,dir_14,dir_15,dir_16,dir_17,dir_18,dir_19,dir_20,dir_21,dir_22,dir_23,dir_24,dir_25,dir_26,dir_27,dir_28,dir_29,dir_30,dir_31,dir_32,dir_33,dir_34,dir_35,dir_36,dir_37,dir_38,dir_39,dir_40,dir_41,dir_42,total
0,26331,8791,9451,9167,16854,15173,19358,17621,20026,9094,18675,24016,11074,17562,16876,25371,11358,17609,18437,16893,14699,10851,15817,11560,13932,17186,13485,19163,18209,21989,24265,17177,11280,27147,15825,13352,19994,12231,16455,12378,11213,18727,14800,701472
1,26432,45416,17021,12004,46878,8828,36765,21890,30457,18593,10299,14391,39448,59970,80736,27507,36779,16471,16692,17579,19970,16891,13314,5095,19717,18944,18617,16171,7122,28305,13786,10312,14602,9115,25351,21308,24529,15190,20649,18865,23164,9353,8530,963056
2,37956,14007,17012,33182,10738,54377,30603,17336,41045,18231,18612,55604,51600,13563,70952,27589,26989,34032,22938,19313,20404,23661,21826,13515,29805,15072,10918,7729,11118,20321,24783,24304,19876,14686,12979,12129,21105,14666,14671,17211,10136,20370,11832,1008796
3,14379,7971,14879,9807,16043,17979,9094,13973,6942,18678,5441,21766,6851,12721,17702,17510,9318,13351,13520,13424,18099,12416,16045,9382,11924,13016,21636,16338,17648,15922,19074,18834,15167,9457,20516,11437,11184,14358,15989,10297,11175,18489,17377,607129
4,38920,30004,7999,8541,10801,16028,6567,10804,9150,7873,20920,6987,16496,10840,25158,17607,19483,22199,13207,17141,12343,11811,10882,13854,4996,7755,18046,20086,8429,9052,12444,11881,9251,17321,13999,10721,14917,20664,6656,10350,8960,13279,17600,602022
5,20901,18188,50089,8768,12499,17763,14708,9647,12434,18767,14004,17778,8365,28898,10211,15797,9008,18518,10931,17050,13077,14397,13981,14080,12174,15128,8184,12473,13885,8249,12254,8389,10700,12859,9438,6167,8905,15141,11096,7029,9536,19584,11150,602200
6,27203,15795,24620,55454,10807,10616,10578,8993,11496,8423,6343,6351,21984,13702,16406,10329,7837,12664,8415,11470,8641,11715,8182,7420,10118,4942,15880,18650,21058,14694,20775,21223,17643,5757,11452,33433,8957,8049,9780,8496,11433,21690,16227,615701
7,18508,37452,28065,9096,14415,13221,29853,16080,37832,24392,30732,32284,6345,6866,49212,16944,32829,7294,32867,18100,15292,12926,26063,18985,9394,21790,16921,11541,23105,12900,16459,19405,11481,18174,18897,7937,28861,14338,26900,10646,17726,17995,13445,853568
8,11669,14870,12003,32564,10308,11304,5322,13158,6178,8082,4788,12261,10318,17357,15561,11151,7916,17854,21825,20399,15499,13972,21725,15072,9080,6629,12122,11210,10926,10910,8265,7908,7279,6999,11105,8805,5127,8830,9906,10177,8356,12056,15760,512606
9,28702,25187,33667,9614,17928,5847,40108,39528,25336,12451,34722,43928,11512,37076,47972,20465,20386,12842,15870,24283,8165,14556,10986,19098,31541,11892,11959,23531,25071,14534,25252,29487,40694,28234,13147,18809,56393,24589,13354,16898,20808,26053,31985,1024460
10,26959,16308,14880,22002,7524,48222,38335,26656,10972,38688,34540,19282,10693,48758,38632,20485,15084,17599,22038,18694,16341,10773,19009,12309,24053,22424,14964,20875,23718,14754,18534,16930,11822,13624,12649,17915,13729,22354,14893,24312,20605,26073,17241,906252
11,39559,20871,21951,30357,33414,36927,12414,11993,34708,32296,44041,28694,19944,12765,36837,18637,20614,22011,23526,21299,26233,23065,23470,23082,31809,17610,25296,26455,19352,15317,19542,10761,9771,10933,19268,15956,21105,12127,13396,14497,13538,17756,20944,954141
12,32825,18776,71164,15552,23993,15037,12346,21012,20313,38435,12530,39010,10667,13500,14385,16250,9015,11851,15358,6037,12850,10402,16785,6569,6642,14761,10563,11845,11485,25637,11421,30909,25183,29228,39213,9415,7225,66957,10034,16096,9695,15119,35794,851884
13,17190,17145,21908,35624,7516,27411,6908,18359,24577,27447,7854,18878,10493,42427,31085,27853,21441,13052,22710,10689,15021,29796,18168,14155,22524,8482,17707,19514,27737,12866,20789,21851,16375,9362,12368,12560,10991,15990,22143,22261,25731,20284,21603,828845
14,34227,21495,32018,17147,22359,33612,27286,26155,47419,13109,36267,20897,10750,12933,45334,15914,18023,17272,12407,26989,16307,9494,16967,19424,22668,38197,9649,19060,16927,38652,23411,29140,10939,19150,17125,20063,24012,20411,9264,24197,10199,22813,21352,951034
15,23849,76931,39280,112928,23368,18262,17826,22974,5194,17308,41341,10745,56072,17127,13715,13834,11303,18143,11154,14032,7611,4819,7994,14827,10368,5908,16879,6996,7313,9726,22887,8546,29444,29001,29997,44478,11041,4422,79857,15409,17781,5620,8104,964414
16,23312,14882,31691,21196,35412,48189,15192,16619,46221,32008,14883,10038,6951,48374,43501,15817,13216,10383,13273,29399,14837,16401,23564,14498,13416,15526,12107,18450,5590,23353,16687,40280,14170,24325,21344,16289,21804,25878,22911,26786,42819,20535,25033,967160
17,39745,25126,20436,30687,40943,16611,38356,74348,61193,17224,12372,6921,18931,52737,38687,20165,22809,25268,15697,15634,22979,21725,14215,35515,22318,21360,26849,14724,14297,35859,24592,13219,38572,24734,10104,23767,16005,12368,24644,21036,17017,14437,21998,1086224
18,46139,44918,91867,57773,167601,34589,112836,122597,23517,20197,27016,62404,89059,16651,54171,20885,15849,23093,25328,7713,31481,20359,24398,15339,21164,24021,30465,31788,12349,21841,28583,29749,8972,62983,52296,45402,62901,15788,30900,108660,33381,90975,21290,1889288
19,28552,28558,14432,36056,20188,14544,34986,16681,16573,10641,14812,10580,11055,15932,20984,17589,18308,16698,5805,8066,16919,10680,5734,10594,11538,6960,7272,10379,9485,5532,3992,9569,11947,11655,7300,10836,9515,7457,9539,7576,11434,12124,11809,580886
20,17033,13152,29429,38761,24092,60536,12386,43043,11415,16340,19784,43589,49426,5189,37209,20147,9454,21623,14074,19671,14205,25514,17821,15155,30938,20953,25469,24383,13656,13568,32407,17542,20355,8111,18490,24869,10289,14131,21896,22992,14492,24163,19248,957000
21,39361,24042,16568,113548,18248,153000,30884,13918,20206,11226,17413,22580,11358,14188,18369,10014,11050,16946,9523,11294,7470,17729,7146,11003,4330,21326,6350,5074,23267,9455,6270,10589,37097,12672,39693,38864,44044,55468,5532,9697,73036,20560,63620,1114028
22,24011,13305,16788,40137,20208,23408,29810,10442,19660,30021,6838,9685,14812,19750,24301,16767,12529,12805,23119,12091,12332,19487,11784,10577,12754,7028,11698,11141,7441,8273,6685,5199,11985,14684,13282,8626,8556,8930,6763,9769,9564,10336,11975,619356
23,59075,47991,25200,18198,20181,10657,20463,18279,20155,35102,19436,20364,11145,21629,13623,7455,12512,8100,5429,12910,10369,8783,8184,17501,9117,15620,22397,18116,20501,8385,5801,35477,11432,8093,10160,13857,7499,8584,13653,11744,11328,16732,8387,709624
24,80246,26482,9151,38548,10774,21184,141566,12903,83527,18396,25734,29737,14149,18916,15402,10613,12731,17100,18491,15579,15191,6956,15226,11226,7353,8898,21116,7811,5660,23419,6606,7844,10217,45352,6043,44465,46955,59394,73696,10059,8107,70278,26504,1159605
25,20867,31167,36088,16299,18794,22091,13941,41910,100073,21463,59692,13630,14174,54687,42199,10265,21776,20930,18951,26154,17486,16655,24479,16547,10239,30853,24093,27864,19864,11450,11867,12411,11310,18527,17227,22524,14560,22139,15121,19567,33582,14398,32780,1050694
26,27209,31026,13642,9217,18875,26757,26670,54940,10158,56293,21189,9957,83907,7925,66878,10492,6193,22232,12596,13536,13386,15859,18410,20222,17357,21300,22608,28511,32016,13354,11836,23233,45384,41950,10622,13888,14097,17166,19453,19974,16120,31329,37221,1034988
27,12653,53289,69183,29598,39235,35651,13609,21629,19701,25746,12338,12591,9278,18900,26458,10776,15528,13069,12662,4227,5332,6954,13374,8132,11193,12567,13300,12048,14163,14457,5309,13911,6870,11669,11524,12629,10775,12009,7593,9528,10291,12613,10205,702567
28,54296,40381,25045,20718,20742,12749,15095,24745,27550,31098,22142,13150,24625,16571,61597,19097,20924,19196,19156,22825,20651,11823,13359,28742,15500,22995,14141,19396,15550,14727,12804,11179,14090,12326,22755,11767,15529,22524,13070,9902,17509,17662,15200,884903
29,26564,15251,9198,12687,10717,14959,14882,8900,8629,6952,26458,7222,22963,40429,12010,13544,12382,10168,8635,13546,11677,15659,12367,4845,8287,9107,9921,17908,11998,5978,10799,6555,6343,5446,8229,8877,6676,6839,8803,9386,9441,9579,5180,505996
30,20378,72589,18083,10052,47846,13803,49799,33510,39496,15760,28734,9130,62455,100550,71002,34008,9895,11246,19081,17685,29882,16524,16876,15754,20068,20242,19478,12646,8851,37398,17429,7838,11858,8687,26499,16794,20466,10949,16827,21719,19943,20865,11272,1093967
31,60373,23766,23872,46894,9194,51021,39375,19211,42676,8417,12465,40427,87627,23200,61065,35784,19872,8029,26548,11586,11688,14041,25117,20969,17027,10674,11371,7555,12154,19283,30352,18420,18285,15350,14297,10020,12457,23029,15811,13437,10313,17523,8716,1009291
32,29855,29792,15408,14449,7255,9707,13657,13791,23446,18710,10287,21770,21923,25892,9610,13878,9281,7028,12005,15806,12859,3774,17612,14084,13671,19391,12585,19512,8653,14578,8217,13309,8016,8688,24944,29669,11090,4851,10914,10661,10821,6307,7104,614860
33,20447,32992,16220,13280,7417,8480,12358,14648,14476,16168,10987,19456,19791,15790,8339,8084,20032,17319,6599,8272,17334,8489,14192,14447,11944,7959,15535,14024,25552,8989,15403,6356,13547,6068,7410,7403,9132,10902,10634,10393,9677,17489,15818,569852
34,12876,12491,25725,11131,9304,9774,10523,7541,8894,11375,6824,7973,19494,12913,11008,11187,8975,15287,10397,12520,14573,21495,13089,7593,12151,12115,11579,11342,7453,8731,12694,10608,10255,13644,5419,4021,8102,6673,5446,10086,6061,10243,17522,477107
35,9292,10951,30236,25588,10320,11379,8811,7006,6842,9535,19914,8414,19354,7906,13230,10167,12415,11605,14609,14903,10261,6615,8755,13776,3775,12371,16027,14672,10574,7245,12716,9471,10001,4604,7100,6883,13215,11659,7523,11586,9226,12002,12418,494952
36,12276,31962,33592,31142,22297,13305,44894,15315,59805,29969,59733,50885,32823,13152,71874,16467,24394,11171,27248,22969,22321,9504,10705,23930,19134,23915,20573,28195,32720,10737,21590,21613,13813,20893,17979,37974,43338,9949,20968,11608,21651,18106,11834,1098323
37,12489,9632,9166,19051,28931,13932,9742,11849,8979,13591,13418,10807,8160,10468,11433,11775,11884,12241,8282,10852,15618,18116,4092,15220,10441,12132,6317,6618,19383,22085,9115,7406,9464,9991,12889,4969,9506,5157,5156,13903,7054,11749,12976,496039
38,9433,28107,9429,8111,12028,23071,56204,38987,25786,6743,29666,33828,5937,35709,59127,18158,22799,15336,15297,27604,14582,21639,23921,11410,12727,17500,17410,22845,24560,16155,10702,17090,17161,7287,16790,14273,16033,18499,15023,15203,18740,17792,22360,871062
39,26878,8565,6765,8107,18942,64512,32502,26174,8372,28473,29816,13849,21559,69181,68760,23187,11881,22245,21538,21656,10717,16541,28523,16352,19195,12890,14594,15347,21598,15393,12889,19061,9479,10114,23535,3318,8775,16445,18058,10902,23035,22309,14564,896596
40,22278,10719,10654,7750,68756,53790,16613,21267,39960,29503,33441,33464,11149,22588,45627,12731,19235,22030,28281,20113,24169,22887,18775,21549,26500,21544,5777,21909,22453,28660,15142,14873,11337,15855,12355,16270,27825,30017,9556,21194,13617,26927,32260,991400
41,7165,11102,12570,14857,13672,28342,10905,5065,8186,7528,16516,6656,15413,9639,13137,15397,15346,16082,7638,13236,11580,8590,17505,13973,23614,14060,9457,10639,10625,17914,28332,7597,10808,11712,11511,9480,7770,7099,5313,9907,9074,12563,15172,532747
42,6503,3109,7056,40819,11117,40167,32368,32061,25881,25693,18484,25190,9347,65168,61183,25405,22122,12471,17584,11071,16306,20659,24341,30264,12362,18929,29433,24968,8727,12173,13048,6673,28238,15062,12504,17912,6065,14406,15940,20647,29326,14944,27390,913116
43,38941,10602,30012,8316,38604,40430,79358,10637,50513,9313,39221,6443,17502,24092,67568,22354,16419,22177,28777,27711,23124,18358,10094,9497,14153,32224,19848,32484,14089,9275,24930,20987,7877,26146,22921,23191,30760,13569,9237,14220,14893,28468,23173,1032508
44,11736,13098,17832,14024,8517,62297,30531,18779,42182,15755,5774,7361,16845,16618,7678,15029,9313,2858,12618,13387,12372,7464,23817,13219,9168,16523,12962,25563,28165,16398,25778,8566,37292,7561,12244,12076,8583,44731,59422,10159,16155,21584,24155,796189
45,11421,9944,43207,29817,37115,76019,15875,33805,38026,23583,7545,7033,14159,71878,89873,23399,11560,11800,13418,20961,12627,12625,19216,23241,11934,20848,12489,20383,24438,35780,25606,34385,17251,21828,14173,13188,17548,28566,15585,21476,22894,47051,32135,1095705
46,33534,8367,5773,26258,42562,11703,49280,105671,32533,5608,4958,14563,6913,47668,54348,16165,23129,21764,17372,14529,25563,15103,12202,28684,24803,7220,17289,15887,13675,38602,33353,14434,9777,25420,6800,24580,17522,6919,25605,19965,24237,21104,32390,1003832
47,28506,12434,23628,39873,9178,34320,73281,110149,12233,9747,17196,9608,50955,15001,54900,15138,15094,20748,14191,14522,19262,16669,18407,18262,12074,18290,17233,13111,14896,16389,36223,30062,11032,4083,16069,12355,16159,18235,26531,18219,18587,36741,18650,1008241
48,41185,10759,9277,19130,17816,13797,123367,39904,20271,79453,23778,22794,23679,34714,11537,14386,7791,7918,5398,11756,15735,9725,15591,30370,21994,8364,20437,20525,7005,17629,24549,41895,37959,19591,5435,5576,12376,8014,62769,84638,6183,11482,20678,1047230
49,7992,10625,40725,42373,32775,71903,19407,67369,57861,9084,15533,50586,60347,27513,60409,14116,9187,23847,10206,19301,11971,23865,11758,27913,29146,19117,20127,22068,23427,16451,13847,20514,57164,47240,15803,6363,7930,14611,20867,28733,11644,22960,32637,1157315
50,11523,7809,10849,12766,9738,17851,12227,21499,34600,6237,16984,28399,27128,8485,9796,8112,13061,9358,11741,11552,6806,12667,15517,9588,15837,22905,17871,7559,12734,9105,8656,13962,6775,34093,40723,5522,4823,5449,16711,11536,6814,18086,18894,612348
51,3949,7592,10569,18454,12389,15036,12477,15525,22941,35534,21632,20165,21415,7783,15283,4731,8407,14428,15417,14376,15131,10699,10595,14322,5552,12348,9635,18337,8871,14253,9186,4749,5879,9900,24209,32537,13210,7487,4791,10097,10980,10951,9571,571393
52,18757,9839,46517,74874,12528,9258,26725,19682,19899,99982,45238,32104,28676,34128,7062,12826,11775,13919,5204,9046,11327,21853,5950,18907,26129,17162,14142,23807,29939,12629,31110,22560,25821,5675,31014,26315,34924,10455,3880,114504,113557,30789,27652,1198140
53,8339,8530,5807,7679,5446,7223,17071,14414,10617,21837,43527,36682,16038,11214,12383,9860,7608,8307,20598,6445,14334,16901,10639,7485,16256,15602,10619,18837,15944,17222,8707,13903,16338,16111,8213,10526,30206,32963,4165,5830,7456,25312,23346,626540
54,11490,22816,18413,6403,6570,23284,10099,56213,120903,30345,106531,35079,33792,68956,59869,14442,16136,12960,17638,13149,13953,22143,13549,16138,13211,36835,26584,21296,25995,20069,20800,14948,21997,14007,12515,25731,14911,35299,39132,12553,18522,15656,52785,1193717
55,43893,26728,6747,6913,7876,36619,57959,100294,50183,140396,46222,45289,156915,45290,38064,12439,8736,18124,22132,23379,16854,22790,19023,26990,16762,14273,21446,24647,29242,24831,22295,32750,15246,41810,10353,14985,13218,17041,58943,64996,16936,27874,31977,1479480
56,17288,6340,8009,6097,7716,10701,25098,33999,76589,68395,60299,48584,50828,11982,15421,27116,13813,9924,9240,8981,10470,19351,7737,19319,17088,22565,11767,20556,21617,12894,30995,24548,31184,6885,37212,4697,9334,14044,9611,66034,72731,10648,21226,1018933
57,43040,26997,16256,10187,10040,10796,8563,13228,15142,15167,9354,13842,16101,14448,46934,21663,14396,14928,14521,18815,13323,17213,11248,6379,12348,11326,20270,19486,15057,9751,11109,8491,11556,26627,25465,7808,14425,10026,11126,7639,13986,16571,14680,670328
58,13101,11648,11087,11535,20787,18629,21423,6708,12081,29366,22965,27841,20573,30786,5022,17410,15600,11259,11989,11770,8835,6222,15503,23538,19529,15251,11210,6298,18508,6168,8555,13104,11856,8675,8254,7087,3701,6880,4584,14828,3868,12468,15367,581869
59,13496,60020,19445,6772,51073,8367,42053,39322,47889,10863,11430,23737,47849,65415,58623,13602,9563,13168,10697,12057,19036,16684,14551,13562,32924,16758,17968,13110,8635,31229,32819,9604,24174,11956,29588,20825,19477,5250,9261,14327,29039,9937,14011,980166
60,62772,13469,13306,58339,9119,52766,60674,22489,34481,43189,22478,44428,99130,23633,55370,25177,16985,13155,20152,15522,12467,19590,22066,24335,27955,14522,17637,14859,13691,22001,25272,11409,23042,8848,9638,37400,52198,10938,20848,8061,11175,26262,7466,1148314
61,9669,7732,10556,19720,12311,8647,7937,5976,8921,9050,2531,21620,16351,23080,8667,20332,9262,10362,17596,12071,8519,11351,9852,9207,12844,8571,9219,9452,8744,5697,13117,12549,8559,14827,16189,8856,7537,13591,10305,13596,3921,12154,8283,479331
62,26591,19127,10421,11593,14819,6158,8854,18502,27127,13822,15130,11636,13970,22343,6920,8945,9433,5334,13788,14825,12270,8597,18574,10262,18877,19352,14737,17145,10411,8476,19541,7057,7076,10604,8420,9053,7323,7427,6885,11004,12223,7718,11814,544184
63,23310,14380,19450,2720,13924,10421,8262,9602,10637,13357,3970,6830,6197,25153,7721,8849,14757,16727,8920,20987,7410,10901,7449,9026,12466,13439,8283,10229,14916,8350,11179,7977,6352,6837,16766,12404,13450,8768,2702,9933,5693,19379,14312,484395
64,12903,15071,18402,10872,8754,9677,4382,13352,10610,11069,9327,27798,21417,8791,3978,6008,8384,3953,17819,16812,8853,16697,9259,15779,11664,15817,10941,9570,12408,10781,14089,24847,2352,7207,14841,13169,6206,6171,9419,8494,10099,12899,5515,496456
