node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,total
0,5834,4050,841,773,3958,2456,2446,20358
1,1521,3301,1309,2469,3058,1564,2759,15981
2,6920,5308,2629,1493,6409,3050,5002,30811
3,5343,4289,1685,2687,1228,3275,1445,19952
4,6813,2924,1743,7320,1264,2749,1545,24358
5,2551,535,3277,914,2198,121,775,10371
6,3893,3629,1741,2015,3057,1463,5272,21070
7,3136,1682,557,1561,2302,1699,2014,12951
8,2191,7334,2355,823,2889,2933,2213,20738
9,2972,4371,1743,5383,3276,2454,6178,26377
10,3685,2925,2484,5396,3671,1174,5411,24746
11,4672,2734,1529,1795,2170,4893,2644,20437
12,3467,2070,246,2012,3384,2508,2050,15737
13,6145,2583,2947,1136,1903,2407,5430,22551
14,3146,1778,1096,199,1469,1901,1896,11485
15,6299,4244,2805,1680,2903,3469,1446,22846
16,1969,2406,2007,2936,1837,106,1993,13254
17,6204,5771,1313,4356,2991,3266,5906,29807
18,7116,3843,4217,975,4312,1255,1106,22824
19,4823,5983,4008,2518,4298,4224,2032,27886
20,6221,5802,1739,915,2239,1231,2311,20458
21,3119,5777,2171,1609,2701,1059,3939,20375
22,4056,3653,2555,3920,4352,3053,2411,24000
23,3516,4181,1911,4087,2233,2369,4027,22324
24,7531,2677,1627,1688,2918,1769,1403,19613
25,2256,151,1027,2755,3724,2003,3086,15002
26,300,3518,1404,280,437,673,1346,7958
27,2710,171,411,3131,2459,470,126,9478
28,2748,3815,4024,2622,4875,1386,1404,20874
29,4192,638,313,2145,429,1797,175,9689
30,2345,3609,1198,1652,1925,1315,1650,13694
31,322,1001,2049,2075,2895,1470,2524,12336
32,1679,621,174,2829,379,1079,205,6966
33,5002,3785,3643,1931,5021,2152,2908,24442
34,3738,127,2650,2442,2568,1829,847,14201
35,1198,2442,1225,1607,2786,1116,1341,11715
36,2166,5329,3506,3857,3134,1679,5323,24994
37,3672,5112,2398,4163,2026,2407,3943,23721
38,4501,1783,1664,3022,3882,2509,2468,19829
39,5260,6447,2985,3516,1339,2999,1199,23745
40,1289,2866,2659,6540,4157,872,1390,19773
41,1237,2870,2673,3007,6183,2092,109,18171
42,2672,1190,1739,1855,141,202,623,8422
43,3561,3866,1077,3496,2040,2012,2566,18618
44,3244,744,2681,415,2246,1241,97,10668
45,3936,3103,5906,3359,3154,6117,3510,29085
46,1202,1255,3188,3218,731,3844,2546,15984
47,6434,2943,5071,3017,2582,4241,3401,27689
48,1908,773,3174,3947,3001,5945,2558,21306
49,3585,2054,2912,1078,2123,1479,5828,19059
