node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,dir_7,dir_8,dir_9,dir_10,dir_11,dir_12,dir_13,dir_14,dir_15,dir_16,dir_17,dir_18,dir_19,dir_20,dir_21,dir_22,dir_23,dir_24,dir_25,dir_26,dir_27,dir_28,dir_29,dir_30,dir_31,dir_32,dir_33,dir_34,total
0,19,7,10,7,0,40,10,5,1,0,43,0,0,3,24,1,9,12,14,2,12,3,4,17,10,17,26,15,14,9,12,13,17,12,1,389
1,28291,167,169,4273,178,62,50,763,72,47,44,84,10,10,0,20,0,3,7,10,11,20,0,18,0,0,6,0,10,10,26,0,10,10,0,34381
2,584,8571,95,48,25,130,31,41,37,23,56,72,20,38,164,6,29,10,16,0,19,81,227,20,10,1,0,10,12,32,0,0,79,0,10,10497
3,1012,773,2932,131,198,68,129,42,91,395,27,22,40,59,58,47,0,0,109,6,80,6,11,34,10,10,30,17,31,36,12,124,10,132,10,6692
4,450,5338,75,465,21,38,146,82,31,63,82,131,29,72,10,17,31,26,77,18,51,104,78,51,10,0,14,11,94,14,93,20,10,0,0,7752
5,336,398,11,28,81,187,105,107,51,54,330,53,0,48,10,10,60,61,0,10,60,0,83,3,14,0,0,27,10,203,15,2,86,10,0,2453
6,232,8634,1017,1722,60,54,144,134,111,47,132,638,263,26,14,431,33,243,26,24,37,28,27,16,108,53,58,163,11,25,17,26,34,38,29,14655
7,887,602,249,67,186,71,306,95,85,129,564,71,61,11,22,3,66,0,22,8,40,29,0,12,9,19,10,25,11,15,8,8,3,21,22,3737
8,512,251,52,98,98,210,150,127,46,255,80,26,97,0,8,7,3,0,46,0,9,39,14,13,5,4,7,10,23,10,4,0,0,20,11,2235
9,524,35,58,167,281,84,182,24,51,68,10,26,13,0,15,3,3,37,8,17,29,4,40,29,5,6,28,8,7,3,11,14,0,25,0,1815
10,117,65,206,101,121,295,108,150,23,14,34,7,105,13,6,19,0,14,0,0,12,12,23,45,3,21,3,22,14,25,36,114,15,62,16,1821
11,50,76,607,271,187,248,142,7,147,35,0,34,24,11,12,27,17,42,46,26,11,82,13,0,60,23,13,28,7,10,12,15,7,22,29,2341
12,425,562,146,120,107,477,101,28,98,16,88,6,121,95,13,19,10,0,22,5,1,24,0,10,26,66,0,7,11,11,29,7,11,15,20,2697
13,35,35,47,49,63,126,66,153,7,102,49,46,114,1,18,26,18,13,0,11,0,5,26,11,20,1,1,10,0,3,10,16,44,30,33,1189
14,33,24,35,63,30,52,107,0,75,13,53,45,66,120,10,1,10,5,3,37,4,24,0,10,5,27,15,22,33,0,0,16,10,14,3,965
15,13,67,25,42,62,21,6111,205,64,61,133,147,105,9,9,36,34,14,34,10,48,34,4,32,18,22,10,10,12,14,22,0,20,6,0,7454
16,15,0,0,10,10,5,2832,1351,733,2022,83,1109,16,20,17,8,8,19,16,10,0,20,0,10,5,10,20,10,6,0,8,17,20,0,0,8410
17,408,31,0,24,0,20,4,985,869,1021,76,61,0,18,20,0,0,129,0,60,21,0,59,0,56,10,161,10,9,69,0,28,32,180,0,4361
18,284,3553,0,20,15,3,0,117,25,39,47,692,0,7,142,2,120,24,3,0,55,106,18,10,181,13,10,6,96,10,147,1,10,10,0,5766
19,278,755,2138,11,0,30,10,11,783,30,48,101,10,21,0,154,0,10,60,0,74,30,15,10,26,246,10,0,10,10,98,109,1,2,0,5091
20,300,1519,996,1038,0,0,20,6,18,772,414,50,0,110,156,30,10,107,80,10,21,3,38,8,43,17,33,43,129,10,0,0,10,20,12,6023
21,292,1595,63,94,718,5829,1251,5,114,772,459,75,87,169,29,53,7,31,12,31,19,26,38,33,241,35,23,37,46,41,44,51,29,88,47,12484
22,169,203,322,315,458,10,596,15,24,15,146,556,39,169,30,53,40,4,6,72,22,27,10,29,10,42,1,6,417,76,15,11,0,10,11,3929
23,32,64,39,50,48,47,37,30,40,35,63,68,88,10,36,74,65,59,47,65,53,51,45,45,40,30,48,67,43,41,35,24,32,37,50,1638
24,23,16,10,8,6,8,11,16,14,16,12,16,10,53,0,24,17,11,10,42,1,0,22,7,31,14,16,16,0,20,14,10,7,41,18,540
25,17,14,6,11,3,1,4,12,20,14,3,15,0,34,44,3,18,16,12,16,16,18,26,7,10,16,7,0,0,0,5,8,22,20,20,438
26,15,17,34,10,18,6,14,13,10,8,17,1,0,7,12,45,4,10,11,15,22,16,41,14,49,27,0,6,9,0,5,20,3,17,17,513
27,14,9,8,14,12,0,13,16,0,11,16,21,10,0,5,0,92,14,17,14,30,18,10,0,8,26,6,11,10,34,18,5,7,29,7,505
28,19,30,27,6,16,0,26,12,2,45,18,8,5,12,28,10,10,59,2,26,20,4,13,15,31,14,14,14,15,15,13,10,8,24,13,584
29,4,17,1,11,5,6,44,30,13,26,48,13,99,14,13,41,13,32,68,11,21,6,20,40,19,25,15,15,0,10,16,32,11,27,17,783
30,9,5,2,7,2,56,78,4,17,25,15,47,105,20,23,7,28,2,0,89,6,4,0,78,27,20,36,0,5,10,36,7,14,20,1,805
31,7,11,2,12,50,40,32,128,32,45,15,43,204,32,45,38,36,3,4,10,103,9,4,38,33,15,50,0,5,14,7,34,0,30,5,1136
32,14,0,10,20,24,32,17,27,54,9,23,47,50,0,9,73,28,22,20,5,17,165,12,12,2,18,21,8,34,13,0,5,14,16,19,840
33,17,6,71,41,51,13,63,31,41,25,18,33,130,10,10,14,14,0,0,0,10,12,113,5,17,0,49,27,26,81,5,46,26,8,7,1020
34,7,28,25,22,42,28,29,18,26,36,12,7,35,15,21,40,15,37,34,13,38,2,0,37,25,41,12,33,34,7,15,10,38,32,17,831
35,13,43,23,18,37,13,25,31,25,19,20,29,87,7,30,9,22,0,77,20,13,15,0,14,79,14,28,84,49,25,37,25,20,39,40,1030
36,14,33,20,18,30,66,14,35,19,0,9,19,140,65,40,18,15,29,15,89,35,22,40,12,2,91,8,17,40,11,8,13,22,16,27,1052
37,39,26,23,21,88,25,51,20,28,34,16,19,45,24,7,10,12,48,35,10,9,10,16,0,21,1,89,1,18,28,37,26,15,7,9,868
38,54,21,24,17,75,41,6,13,13,27,16,13,103,20,29,17,39,12,21,13,14,4,40,10,6,40,1,52,9,21,14,5,10,14,19,833
39,13,2,12,11,0,12,5,0,0,25,4,20,0,22,24,23,12,12,20,21,4,30,23,27,0,6,11,5,46,6,14,7,7,16,10,450
40,14,3,5,7,15,10,34,21,14,20,0,7,2,0,15,17,7,8,15,17,31,8,4,17,20,6,4,0,0,47,20,5,19,10,17,439
41,18,19,19,17,18,26,29,4,4,16,13,18,0,4,16,10,30,24,19,21,33,10,3,24,69,18,6,4,0,6,65,18,14,3,5,603
42,7,10,15,33,9,0,1,3,5,2,0,0,7,9,0,15,16,24,0,32,14,24,9,12,13,19,16,0,3,10,4,75,5,31,32,455
43,5,10,9,12,18,6,4,10,8,0,4,13,14,23,22,3,25,10,23,43,45,3,16,24,30,16,18,30,4,14,20,0,44,26,18,570
44,0,1,2,5,6,25,26,3,22,5,4,2,3,2,5,14,11,13,20,24,8,20,21,7,3,27,21,6,0,17,11,13,2,94,16,459
45,257,81,21,4,0,27,22,0,11,4,0,7,42,77,8,41,19,6,20,19,7,19,10,27,30,21,15,30,5,23,35,16,4,3,141,1052
46,37,49,26,45,42,30,44,58,38,25,52,23,36,42,60,41,34,22,33,35,26,34,27,50,21,24,38,44,38,30,45,38,38,18,29,1272
47,23,5,19,10,12,5,8,34,5,18,2,30,15,19,60,18,13,22,10,25,33,43,33,2,214,16,31,36,15,11,33,6,9,16,11,862
48,38,11,6,11,15,41,34,34,22,12,17,17,7,39,19,11,4,28,14,9,20,8,8,4,32,0,30,15,22,33,13,34,7,37,6,658
49,14,22,24,15,23,9,9,9,36,3,13,21,23,1,0,2,21,12,28,38,9,20,19,17,2,19,9,23,27,13,29,18,26,4,17,575
50,19,12,19,2,21,6,38,15,30,6,5,26,1,7,71,22,23,29,31,47,7,2,8,10,1,9,2,14,24,15,11,0,6,2,20,561
51,63,80,64,96,48,3,20,8,7,11,4,32,19,10,0,1,6,27,11,16,11,2,10,3,0,21,33,5,24,29,33,6,21,15,26,765
52,7,37,10,0,10,8,73,12,26,18,22,42,82,11,22,91,3,18,5,11,1,28,27,16,9,12,10,5,19,15,29,27,4,27,13,750
53,14,13,8,1,94,15,39,48,37,60,46,58,105,22,26,0,17,3,15,25,15,81,44,27,105,4,10,74,57,11,33,11,13,11,4,1146
54,41,18,3,87,61,21,18,64,10,12,61,36,114,37,0,4,112,29,57,12,0,8,7,81,9,45,0,10,14,3,5,0,10,4,14,1007
55,14,21,63,13,77,49,21,43,26,42,57,60,50,12,7,10,44,4,39,40,83,13,34,60,7,50,13,11,131,7,3,69,7,29,12,1221
56,33,59,36,15,36,32,42,70,49,20,44,2,95,5,13,3,10,55,18,1,28,13,27,17,4,38,36,11,55,7,36,38,5,4,0,957
57,15,8,94,27,56,19,47,42,16,48,14,25,64,10,58,13,20,7,10,23,43,12,6,25,26,44,22,6,0,38,23,35,24,7,29,956
58,12,29,23,44,30,47,39,41,42,0,30,6,91,14,10,79,15,0,111,15,16,2,1,16,10,0,3,49,13,12,10,20,6,15,1,852
59,73,59,39,44,39,19,37,25,6,26,21,34,199,10,17,8,11,2,23,29,4,25,41,24,7,25,3,18,0,5,76,41,60,16,0,1066
60,24,17,27,47,19,14,14,3,6,0,23,15,101,40,16,46,44,27,26,102,4,28,33,24,40,37,20,18,32,10,0,0,9,26,40,932
61,60,18,37,14,38,46,8,9,0,11,14,0,81,25,12,4,13,12,0,10,12,31,10,17,25,26,15,21,37,5,18,58,16,15,11,729
62,16,14,8,14,9,16,20,10,10,10,0,51,10,26,0,7,26,6,14,0,124,10,2,6,0,23,25,6,7,24,0,0,10,2,32,538
63,2,41,15,16,14,61,16,9,6,4,0,24,29,0,25,6,17,14,18,0,0,9,20,19,12,39,3,34,3,12,10,10,53,15,14,570
64,2,5,21,10,7,10,22,19,7,10,6,82,3,36,43,27,9,12,14,4,20,48,17,0,23,0,39,24,22,6,10,13,17,13,12,613
65,9,10,25,12,4,22,14,24,9,16,5,35,20,8,7,2,16,21,10,0,20,0,14,13,34,23,43,35,46,27,21,10,0,36,34,625
66,24,24,13,13,0,3,6,10,2,21,0,5,4,7,30,28,16,10,9,18,0,10,81,16,9,15,10,11,12,18,17,4,0,10,0,456
67,7,0,8,20,13,66,13,0,8,22,5,25,10,22,9,22,16,14,5,29,23,27,24,5,36,33,42,19,14,10,11,39,19,10,46,672
68,361,138,1,5,20,12,107,16,48,6,0,1,50,25,9,9,3,12,23,67,59,17,4,123,7,27,4,9,9,22,9,12,42,16,0,1273
69,31,44,70,35,65,50,34,29,59,35,43,55,87,34,31,25,42,25,29,25,3,21,41,25,14,17,24,40,37,48,34,35,19,39,20,1265
70,6,40,0,10,6,10,5,18,14,1,7,36,23,40,22,19,20,13,8,10,11,12,21,1,0,3,11,0,12,18,14,0,3,20,5,439
71,17,29,5,14,0,4,24,33,43,6,7,14,0,0,19,9,0,15,15,0,10,18,11,0,22,21,16,0,84,10,2,0,20,12,0,480
72,29,13,14,0,17,41,16,40,15,50,10,26,17,67,10,6,22,10,5,28,23,6,0,15,22,25,7,10,5,17,25,20,3,10,28,652
73,21,6,3,15,2,4,6,0,4,1,12,10,0,3,11,10,13,0,5,3,5,48,6,3,34,29,0,1,0,0,8,3,15,0,14,295
74,23,13,12,4,12,10,25,34,16,15,49,17,1,8,17,2,18,11,40,26,7,2,19,6,20,33,3,14,3,105,23,44,9,22,4,667
75,0,2,4,11,0,0,23,57,17,10,46,58,92,27,128,39,18,16,15,8,0,17,0,12,14,8,36,15,12,6,4,40,0,33,13,781
76,18,5,4,5,0,19,35,26,57,12,60,39,128,0,21,19,0,4,4,4,14,37,75,25,35,7,16,10,61,10,6,16,39,11,17,839
77,17,10,25,26,55,23,27,25,20,23,26,55,79,4,0,20,11,10,71,37,35,10,0,42,17,36,0,18,13,5,47,5,12,22,10,836
78,18,0,14,25,68,28,35,99,27,19,28,64,65,10,7,85,14,6,82,10,9,25,0,10,20,10,39,23,18,79,24,58,20,19,10,1068
79,13,19,13,15,65,19,12,31,7,19,30,3,19,8,0,0,32,13,10,1,69,15,32,156,20,89,31,44,8,10,8,10,62,46,4,933
80,31,28,11,25,49,12,43,24,17,46,6,14,88,24,17,16,20,3,6,54,73,6,13,40,23,30,35,1,13,20,11,128,21,16,5,969
81,19,47,3,30,56,37,77,110,37,0,3,40,103,13,51,22,132,10,23,31,177,24,0,10,20,0,29,64,43,15,10,0,6,26,30,1298
82,32,26,58,74,19,60,45,88,12,47,22,11,68,6,17,10,24,13,7,14,24,22,21,3,66,2,4,35,0,12,19,2,4,9,0,876
83,7,80,15,41,18,41,17,15,0,14,10,13,137,27,4,3,0,0,12,19,10,27,10,10,39,62,24,7,4,38,7,20,88,44,12,875
84,49,4,14,75,27,20,0,27,21,3,13,0,78,107,21,73,21,102,48,0,4,81,10,16,30,3,18,15,35,38,40,0,8,23,25,1049
85,11,17,9,8,5,0,19,17,20,0,11,6,7,30,11,10,0,7,19,0,8,9,0,22,15,10,1,27,13,13,11,16,22,4,16,394
