node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,dir_7,dir_8,dir_9,dir_10,dir_11,dir_12,dir_13,dir_14,dir_15,dir_16,total
0,16,9,13,28,52,29,33,6,65,52,51,41,84,39,25,34,33,610
1,2740,10,164,73,62,283,0,18,15,10,49,45,129,20,168,40,127,3953
2,1025,112,86,120,54,66,39,12,549,10,168,77,67,36,129,5,32,2587
3,2174,335,23,452,303,79,240,80,84,12,123,115,147,628,35,53,132,5015
4,578,344,295,104,108,51,79,131,27,58,57,138,51,100,59,62,89,2331
5,110,269,113,40,244,291,462,18,37,65,45,16,336,39,144,140,54,2423
6,134,72,89,10,142,101,196,26,144,43,44,46,70,74,43,49,25,1308
7,31,237,30,180,158,81,7,31,6,19,8,44,42,68,105,11,10,1068
8,1203,89,35,37,258,535,30,71,220,10,20,0,297,56,364,4,290,3519
9,576,263,20,87,315,144,186,117,36,24,180,23,751,107,20,14,25,2888
10,337,333,31,62,193,81,50,34,52,12,60,150,782,468,53,262,41,3001
11,21,102,27,102,90,253,123,9,54,47,9,226,96,51,25,37,131,1403
12,66,26,8,13,16,47,21,49,23,21,44,140,6,34,28,85,30,657
13,39,18,15,7,11,174,43,0,28,17,42,0,0,31,20,15,44,504
14,15,29,45,81,87,52,129,28,213,283,0,60,24,38,38,47,40,1209
15,10,21,112,86,77,43,134,45,162,36,94,34,96,36,23,25,65,1099
16,56,95,122,40,28,29,103,28,62,59,25,105,61,39,25,34,27,938
17,222,105,122,9,34,10,178,51,40,23,74,46,147,5,58,103,19,1246
18,22,10,20,243,34,56,29,17,106,28,2,123,270,206,29,12,126,1333
19,44,10,20,287,12,39,0,33,20,30,5,144,14,20,110,109,28,925
20,24,26,34,53,81,218,53,29,68,18,40,5,45,148,185,157,23,1207
21,16,52,80,348,41,93,114,56,293,29,92,219,149,549,25,78,251,2485
22,56,28,27,19,48,102,75,28,43,54,42,19,28,55,25,27,42,718
23,38,12,3,16,18,53,15,49,27,27,8,44,128,17,4,45,36,540
24,7,14,102,31,32,0,23,25,22,6,18,40,35,28,16,9,6,414
25,38,10,0,209,48,96,45,9,8,66,28,78,13,192,91,34,53,1018
26,10,0,48,36,93,78,143,32,219,59,85,25,87,36,40,133,65,1189
27,171,67,27,38,82,63,349,69,73,69,101,54,114,163,513,91,261,2305
28,180,201,304,99,40,60,221,133,186,227,65,226,304,111,98,82,121,2658
29,6,74,44,82,24,20,74,46,23,22,177,42,124,81,2,210,34,1085
30,3,65,41,20,6,3,51,30,124,50,148,43,67,41,110,55,32,889
31,11,43,62,15,41,29,41,38,48,81,52,92,86,64,29,14,278,1024
32,75,34,33,47,19,38,118,27,119,82,40,164,116,92,94,73,67,1238
33,147,256,70,145,29,44,163,51,25,56,87,161,87,66,47,78,211,1723
34,118,101,39,112,49,51,28,21,36,30,68,36,115,39,19,24,19,905
35,110,32,103,43,47,81,33,60,23,6,98,47,12,38,23,51,23,830
36,32,31,33,164,155,143,135,128,19,92,52,41,10,16,123,0,16,1190
37,28,23,58,261,75,62,82,8,37,12,95,142,129,18,0,69,24,1123
38,42,84,82,21,24,12,44,36,13,26,51,288,171,33,36,48,197,1208
39,119,67,72,161,31,36,120,15,63,63,27,49,86,23,29,0,64,1025
40,31,29,13,113,22,50,21,58,28,24,16,74,154,28,69,7,14,751
41,52,13,23,11,58,128,54,45,247,15,28,35,48,41,31,44,84,957
42,98,34,19,30,30,70,20,41,45,74,28,18,13,21,47,29,48,665
43,73,52,14,62,12,10,97,40,37,62,153,48,173,153,202,203,89,1480
44,48,210,53,34,228,111,98,27,77,0,10,145,111,55,428,36,165,1836
45,26,109,49,25,46,34,65,16,5,213,9,47,77,17,0,24,8,770
46,203,52,20,165,64,20,45,3,37,82,21,4,116,22,45,117,59,1075
47,47,12,32,154,76,141,81,33,104,41,168,1,126,51,95,61,15,1238
48,6,68,79,51,132,93,119,52,68,62,2,2,20,130,250,28,142,1304
49,46,40,55,166,81,76,81,8,3,21,57,82,79,86,76,66,75,1098
50,116,99,63,68,90,86,285,75,85,87,27,23,68,77,156,79,82,1566
51,19,26,62,143,54,84,3,66,29,145,35,44,109,54,75,94,49,1091
52,16,32,112,20,21,28,18,162,97,26,31,41,0,29,29,31,43,736
