node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,dir_7,dir_8,dir_9,dir_10,dir_11,dir_12,dir_13,dir_14,dir_15,dir_16,dir_17,dir_18,total
0,3,12,30,1,10,50,0,72,0,27,10,20,20,26,10,6,0,0,28,325
1,1216,2,37,18,0,12,30,4,23,17,8,3,4,12,20,16,3,3,11,1439
2,10,3740,290,287,44,220,17,13,52,22,30,40,73,81,3,0,125,10,70,5127
3,5164,163,374,135,357,635,14,9,0,15,10,92,23,0,7,198,9,271,10,7486
4,675,20,171,71,166,194,0,18,39,31,8,59,10,20,211,18,386,8,51,2156
5,10,233,215,195,106,218,10,23,0,77,30,13,29,84,10,114,2,58,29,1456
6,257,590,247,137,113,142,0,3,27,46,41,22,142,6,167,13,29,10,20,2012
7,377,223,100,166,84,162,29,20,36,8,5,121,30,191,13,68,18,28,25,1704
8,317,50,142,522,57,103,20,4,10,37,38,4,119,18,90,20,19,144,68,1782
9,842,15,76,23,29,704,0,17,17,15,14,699,17,14,14,6,63,3,39,2607
10,399,0,45,15,52,1,0,7,1,14,396,0,34,15,0,26,14,45,41,1105
11,20,96,20,100,90,272,7,10,0,294,17,44,15,10,19,52,79,59,26,1230
12,310,3308,1331,326,108,76,101,57,487,31,44,50,24,97,34,50,70,48,20,6572
13,43,32,20,17,1,8,84,24,16,4,11,24,21,10,9,11,4,19,7,365
14,97,204,50,38,31,76,766,283,227,80,130,80,72,23,59,76,88,142,136,2658
15,46,38,17,14,9,12,10,6,95,20,13,31,50,39,36,27,40,18,14,535
16,13,41,31,50,63,17,40,19,23,12,8,14,16,10,66,24,59,9,45,560
17,3,37,12,24,17,11,30,10,15,23,42,18,9,11,16,6,29,22,18,353
18,35,21,33,2,0,10,0,35,16,13,20,50,3,17,10,10,0,15,12,302
19,35,37,7,11,22,28,12,42,25,8,22,23,8,26,19,0,31,12,15,383
20,15,3,33,20,7,9,22,24,5,2,13,24,27,12,18,28,70,16,53,401
21,17,31,36,11,31,16,19,14,21,14,30,10,20,16,22,22,25,30,39,424
22,16,4,34,47,36,0,32,12,40,22,17,37,16,10,21,16,29,4,29,422
23,10,51,10,12,16,18,24,39,8,29,9,10,16,6,24,44,189,40,25,580
24,27,24,12,30,19,1,19,7,12,7,0,6,54,54,7,25,86,35,76,501
25,3,19,7,32,4,1,42,10,23,16,34,26,11,10,13,12,27,10,43,343
26,15,27,31,254,89,160,20,42,12,11,5,119,19,182,27,0,63,28,79,1183
27,8,16,16,0,0,9,13,4,17,2,12,5,10,53,6,16,4,9,29,229
28,12,1,19,11,19,0,15,74,0,23,7,7,15,25,20,34,0,10,23,315
29,21,32,10,13,13,16,10,6,43,23,28,10,25,7,71,16,0,10,20,374
30,10,10,44,27,54,43,0,25,0,102,21,23,15,6,46,13,55,24,33,551
31,25,21,17,23,3,11,12,10,10,5,15,6,23,25,19,23,10,8,14,280
32,30,25,34,222,134,106,12,13,24,110,7,65,19,26,8,14,122,71,58,1100
33,12,4,37,325,50,156,10,28,32,43,95,13,18,19,227,19,0,59,102,1249
34,30,21,197,117,181,55,10,15,15,32,0,228,14,16,30,211,30,41,110,1353
35,276,20,75,104,58,63,29,15,4,25,2,87,111,0,204,30,67,12,27,1209
36,138,4,78,97,95,111,38,3,9,0,0,0,0,164,26,134,30,185,60,1172
37,10,17,17,127,123,27,14,3,21,107,0,140,58,15,190,28,178,19,113,1207
38,76,3,10,17,6,154,13,9,5,49,19,22,125,24,16,103,12,195,16,874
39,12,47,78,112,48,128,0,23,17,17,15,88,51,75,14,217,83,24,28,1077
40,16,15,39,60,60,51,23,13,12,20,35,30,10,9,21,21,17,11,17,480
41,28,6,10,67,123,45,0,3,0,62,12,0,135,51,63,4,18,86,6,719
42,20,5,8,46,40,11,13,142,37,14,32,7,14,10,6,0,15,13,25,458
