node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,total
0,5,2,0,0,10,0,0,17
1,80,0,0,0,0,0,0,80
2,40,0,0,17,3,0,2,62
3,36,92,12,26,8,16,4,194
4,52,95,12,7,48,2,28,244
5,10,9,5,0,11,0,0,35
6,0,3,41,66,14,0,13,137
7,12,7,0,14,26,1,0,60
8,4,8,3,4,10,23,3,55
9,0,10,3,9,4,6,14,46
10,5,1,71,15,1,1,36,130
11,10,12,11,0,0,13,0,46
12,16,10,0,12,3,9,8,58
13,13,8,0,6,4,12,85,128
14,0,0,0,0,21,10,0,31
15,4,11,62,18,20,39,16,170
16,7,18,15,4,4,0,14,62
17,4,13,6,0,4,7,12,46
18,6,7,0,11,0,0,0,24
19,15,4,12,11,5,98,17,162
20,8,8,8,3,10,0,0,37
21,5,18,0,0,34,7,18,82
22,19,10,14,14,28,67,6,158
23,4,7,10,10,53,25,16,125
24,8,18,0,22,14,2,13,77
25,23,10,60,61,0,15,87,256
26,16,22,1,1,8,28,5,81
27,19,0,6,0,0,21,0,46
28,22,25,10,3,1,69,20,150
29,18,4,11,3,11,4,1,52
30,18,71,0,0,0,0,56,145
31,4,0,0,4,5,16,12,41
32,4,7,17,21,4,0,0,53
33,27,24,31,8,10,54,16,170
34,36,2,1,6,9,1,4,59
35,26,2,9,7,69,105,73,291
36,39,0,2,15,16,39,22,133
37,0,5,0,0,5,82,31,123
38,10,11,15,19,38,65,25,183
39,77,9,24,19,8,49,11,197
40,31,0,0,84,108,0,117,340
41,5,16,16,46,23,17,0,123
42,2,0,1,17,0,21,9,50
43,16,1,3,1,6,108,22,157
44,12,0,13,10,7,12,6,60
45,17,0,73,0,18,26,68,202
46,1,2,12,4,0,6,9,34
47,21,12,4,14,25,57,6,139
48,4,11,13,11,15,66,27,147
49,17,6,6,11,8,1,19,68
