node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,dir_7,dir_8,dir_9,dir_10,dir_11,dir_12,dir_13,dir_14,dir_15,dir_16,dir_17,dir_18,dir_19,dir_20,dir_21,dir_22,dir_23,dir_24,total
0,32,13,36,25,17,4,40,77,12,95,10,60,30,20,20,41,30,10,20,20,4,10,10,10,10,656
1,28173,0,35,0,20,44,11,42,30,10,10,25,29,16,10,21,16,16,17,25,30,10,10,24,0,28624
2,146,15,20,10,0,0,20,20,10,0,10,20,10,6,10,20,10,0,10,10,0,20,16,10,30,423
3,21315,6,18,40,187,24,50,353,37,13,56,17,32,75,2,47,20,20,38,17,0,10,27,18,53,22475
4,94,0,14,0,16,20,10,0,2,30,30,10,30,20,10,17,30,7,20,30,0,10,20,10,0,430
5,102,52,39,58,14,5,0,29,15,5,9,28,23,14,21,13,14,4,12,6,18,24,36,20,38,599
6,25,0,55,33,13,29,28,30,21,10,20,44,25,14,8,29,27,8,22,9,11,21,18,0,33,533
7,12214,9,20,2708,23,28,9166,1044,2,4,65,30,57,0,27,11,30,9,7,35,3,28,26,5,22,25573
8,126,27,0,10162,11,27,732,576,0,30,35,35,14,0,16,10,7,30,8,17,25,21,11,30,15,11965
9,112,21,10,20,15,0,20,20,0,26,10,40,10,20,0,20,0,28,10,0,10,10,20,20,10,452
10,56,10,47,14,0,19,11,10,20,14,3,17,26,16,33,3,12,31,18,2,48,14,25,10,20,479
11,3,40,22,5,37,30,14,13,11,24,32,27,0,52,28,5,18,38,49,9,43,24,14,23,21,582
12,339,28,5942,13,27,39,1315,462,33,40,10,33,14,32,16,59,12,39,48,23,3,37,33,27,9,8633
13,104,4,0,30,3,10,0,0,20,0,10,10,30,0,10,10,40,10,6,10,0,10,20,20,0,357
14,4599,13,21,30,6106,10,349,58,18,15,14,12,10,28,10,14,24,21,14,25,10,41,27,14,20,11503
15,189,17,10,2067,19,6,7546,852,16,40,3,14,50,10,16,10,20,37,27,0,4,8,2,21,25,11009
16,121,1324,8453,11705,2016,343,1559,28,77,117,80,85,80,83,77,69,85,99,75,79,69,76,65,88,100,26953
17,26,14,17,22,29,11,15,32,42,112,21,14,28,33,36,28,17,8,30,11,6,20,4,9,14,599
18,88,7,39,56,3,10,0,16,20,82,75,30,45,21,32,21,24,11,26,11,0,20,27,14,14,692
19,8,68,35,26,19,2,27,19,29,19,3,37,22,17,26,20,15,17,9,11,35,21,3,28,24,540
20,13,36,35,21,46,15,27,9,24,12,11,15,94,21,45,43,20,29,23,34,21,17,14,10,21,656
21,0,52,17,32,53,31,50,17,10,40,34,26,14,88,34,39,22,2,58,52,17,14,15,32,17,766
22,17,37,64,18,21,16,30,38,18,17,38,25,0,14,62,44,25,8,25,38,20,30,13,0,32,650
23,29,76,24,46,39,35,34,44,25,49,54,6,53,26,13,93,42,19,44,37,47,42,30,31,22,960
24,14,22,73,53,54,43,54,21,23,43,31,27,45,40,4,5,93,39,37,43,43,62,27,45,24,965
25,25,36,51,39,26,25,70,6,31,13,17,7,17,8,22,19,4,129,14,10,43,24,74,36,22,768
26,17,19,25,41,24,23,40,57,23,20,18,49,25,17,29,6,5,34,103,0,31,29,22,47,29,733
27,40,3,14,31,35,37,39,14,17,64,21,10,11,22,42,24,12,0,13,121,25,52,54,33,29,763
28,11,12,61,36,4,53,47,36,20,42,51,28,58,25,65,13,22,23,16,25,105,2,38,33,19,845
29,41,59,30,41,86,80,33,21,32,5,25,17,10,42,22,56,60,30,34,20,4,133,21,89,38,1029
30,17,15,10,29,45,59,56,62,6,22,15,57,17,38,22,54,57,55,3,35,10,23,154,42,39,942
31,14,8,10,36,16,23,60,26,32,15,19,61,40,31,9,21,52,58,13,21,19,5,3,121,13,726
32,10,22,43,55,69,94,66,22,17,14,23,13,12,22,39,27,21,38,56,20,17,23,1,25,119,868
33,8,14,10,9,9,18,23,25,93,27,26,2,30,67,37,12,11,20,63,2,34,5,21,0,14,580
34,27,37,9,53,38,58,10,62,14,37,12,21,20,33,49,4,0,89,23,21,40,7,30,29,20,743
35,24,37,44,38,6,37,41,15,30,8,35,14,32,20,8,5,22,3,28,21,18,7,22,16,25,556
36,58,31,29,23,43,4,49,43,10,98,20,12,0,14,31,41,13,10,59,16,21,19,29,13,14,700
37,33,20,30,37,26,37,27,7,16,7,75,47,26,49,9,21,11,26,4,23,22,19,20,10,30,632
38,49,57,31,42,32,16,36,40,3,15,16,24,23,24,14,29,23,7,15,88,21,17,17,32,20,691
39,49,18,13,23,26,54,67,10,16,30,25,118,18,47,62,28,25,16,18,3,42,65,25,24,12,834
40,32,35,16,45,18,56,32,28,15,36,17,44,9,33,21,27,24,9,6,5,105,7,24,43,17,704
41,25,79,16,28,38,45,44,30,21,3,20,1,115,55,42,38,34,26,12,48,14,28,21,53,39,875
42,36,27,29,52,62,49,35,20,17,23,16,30,3,19,13,16,37,42,47,18,20,113,23,33,74,854
43,14,26,15,59,46,17,12,87,30,14,12,3,13,123,4,40,30,28,45,31,20,13,19,46,37,784
44,7,28,16,23,21,24,21,16,27,4,19,30,26,4,10,46,23,35,14,14,14,3,102,15,17,559
45,21,6,16,32,52,21,32,47,53,22,27,34,22,14,54,24,20,37,12,53,40,25,34,22,18,738
46,14,3,33,47,43,28,16,27,26,10,35,6,64,22,5,13,10,51,59,13,62,11,10,163,4,775
47,15,29,62,34,21,24,48,10,25,20,35,12,51,26,10,137,21,50,44,3,39,36,29,3,36,820
48,2,5,9,22,37,36,31,21,8,18,23,19,2,25,0,8,25,66,49,16,36,31,26,6,101,622
49,15,18,38,21,31,5,31,32,12,45,19,3,28,37,32,3,106,43,21,32,23,21,24,22,4,666
50,4,19,7,14,70,29,25,22,114,13,5,27,14,16,28,61,13,33,8,10,13,36,20,24,10,635
51,18,25,44,27,31,23,30,31,3,8,10,36,19,14,59,25,45,38,42,2,4,33,16,23,17,623
52,44,24,24,14,50,28,27,34,10,17,20,17,12,34,23,13,24,3,14,33,101,19,12,16,46,659
53,10,59,43,14,14,11,39,17,3,45,4,37,16,11,26,20,9,11,21,37,14,48,15,50,17,591
54,19,37,16,10,6,2,5,5,4,88,20,50,32,36,16,141,40,42,30,20,20,9,4,8,20,680
55,7,47,18,19,45,27,24,54,10,21,19,0,15,33,34,23,45,33,1,51,27,108,31,19,6,717
56,30,17,29,11,26,2,16,27,0,23,144,24,26,8,37,3,10,23,34,8,4,24,28,46,10,610
57,37,23,37,38,17,38,7,35,5,24,13,57,13,31,35,48,18,0,38,0,25,2,10,21,48,620
58,36,52,31,36,26,24,64,18,20,10,9,22,14,10,55,29,14,16,18,0,54,11,115,38,44,766
59,28,28,37,17,3,19,25,25,0,23,10,41,14,13,15,29,16,13,9,10,41,16,3,40,22,497
60,10,40,8,19,14,22,19,27,14,3,17,33,30,69,38,10,15,109,48,22,16,38,0,19,12,652
61,33,0,26,31,40,44,12,34,15,11,27,14,14,17,43,35,21,13,15,10,34,81,82,145,20,817
62,38,6,21,30,27,5,34,23,45,0,46,18,80,12,15,23,44,46,22,28,17,33,30,3,37,683
