node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,dir_7,dir_8,dir_9,dir_10,total
0,0,16,16,5,8,0,0,9,7,8,3,72
1,187,0,10,14,10,10,0,0,0,14,5,250
2,95,1,74,0,0,108,0,0,17,12,77,384
3,100,98,125,210,46,9,6,0,12,2,9,617
4,11,0,185,122,1,10,10,3,8,9,10,369
5,199,314,41,32,0,55,0,0,37,51,26,755
6,37,10,41,72,25,44,5,42,73,48,140,537
7,0,28,27,0,58,26,7,10,19,16,14,205
8,12,2,10,3,1,19,0,15,4,2,15,83
9,4,10,29,37,10,16,58,1,56,11,7,239
10,0,9,14,6,0,5,0,14,0,9,9,66
11,0,13,15,3,2,17,1,20,22,8,11,112
12,34,10,2,0,16,18,0,3,18,24,8,133
13,0,4,0,16,0,18,8,0,3,5,32,86
14,76,1,4,3,81,4,6,3,1,2,83,264
15,11,0,18,21,0,75,4,91,140,114,68,542
16,0,15,11,4,4,6,14,2,0,7,0,63
17,18,13,0,27,13,0,6,7,17,28,38,167
18,0,1,10,4,0,35,38,6,0,15,17,126
19,8,4,12,8,3,7,12,0,30,16,32,132
20,0,24,0,27,4,21,5,26,3,18,5,133
21,0,88,71,22,89,0,34,30,73,10,25,442
22,12,3,5,12,20,13,13,0,10,13,37,138
23,74,0,10,23,6,33,40,100,71,40,13,410
24,20,28,12,20,16,19,0,11,6,5,3,140
25,10,0,17,0,17,18,11,6,10,7,10,106
26,35,0,11,4,9,41,34,11,33,16,17,211
27,11,0,14,4,10,18,14,6,4,1,20,102
28,8,10,32,38,0,4,10,6,21,14,33,176
29,0,5,5,7,10,4,79,4,0,7,0,121
30,20,0,18,8,11,11,23,10,23,7,7,138
31,83,8,6,18,6,56,19,3,13,21,79,312
32,10,9,0,56,6,77,0,10,5,10,0,183
33,0,29,0,18,32,28,0,21,10,9,51,198
34,63,10,30,0,48,16,36,3,1,27,81,315
35,1,11,18,22,10,24,20,0,12,16,6,140
36,3,10,2,12,10,13,8,34,12,0,5,109
37,3,21,12,74,8,0,0,21,10,8,29,186
38,2,17,4,0,0,18,5,10,6,2,0,64
39,64,13,0,41,22,54,11,0,0,80,26,311
40,14,10,0,11,7,35,29,8,25,0,105,244
41,21,2,32,8,0,0,13,3,36,5,29,149
42,7,34,49,12,9,0,1,0,11,9,6,138
43,11,16,44,15,0,56,2,0,12,20,106,282
44,21,87,16,12,9,28,0,4,8,31,17,233
45,26,3,3,50,10,0,15,10,29,12,13,171
46,2,16,0,5,28,23,48,16,0,8,113,259
47,38,64,1,2,10,62,41,7,25,10,49,309
48,7,9,21,9,7,23,24,6,3,0,24,133
49,41,84,9,135,24,0,1,10,0,10,12,326
50,6,22,0,0,0,5,0,2,0,10,11,56
51,0,8,0,30,0,0,0,0,0,0,0,38
52,24,0,0,0,6,0,25,18,0,0,15,88
53,12,0,0,22,15,14,27,5,15,0,7,117
54,21,7,13,20,10,10,16,10,0,11,0,118
55,49,1,0,10,39,21,5,6,0,7,3,141
56,55,29,9,19,6,105,18,0,90,7,23,361
57,0,22,8,0,10,5,17,9,22,8,23,124
58,63,23,21,12,20,29,64,11,117,79,55,494
59,15,23,7,33,7,26,85,53,54,9,10,322
60,3,3,0,27,23,0,17,9,1,3,1,87
61,97,29,38,0,20,21,5,10,18,0,15,253
62,102,15,57,14,48,53,24,51,55,16,18,453
63,35,48,60,0,6,0,95,0,0,2,0,246
64,41,6,8,17,8,7,3,2,11,20,3,126
65,11,10,22,1,11,11,6,10,0,10,18,110
66,18,11,0,14,7,1,8,12,0,0,7,78
67,5,0,3,0,4,10,13,4,7,1,1,48
68,13,4,4,7,29,5,8,15,10,4,17,116
69,53,7,0,2,12,8,88,3,11,0,1,185
70,52,0,5,100,64,8,56,0,1,0,1,287
71,27,10,1,7,26,9,5,15,0,14,3,117
72,10,9,74,13,1,6,0,31,0,4,0,148
73,10,0,5,17,0,40,2,7,0,0,0,81
74,3,0,20,0,21,24,7,8,0,0,0,83
75,41,5,0,1,0,14,0,1,1,5,0,68
76,19,32,10,8,0,10,0,7,5,3,0,94
77,40,10,155,7,10,14,15,0,0,47,0,298
78,0,8,14,13,15,6,1,0,0,0,0,57
79,20,0,13,23,53,3,20,8,0,15,18,173
80,0,8,10,15,1,10,19,10,10,0,8,91
81,5,6,1,96,12,0,12,27,0,0,0,159
82,19,25,33,0,1,0,3,2,10,1,9,103
83,62,15,5,5,6,38,9,21,1,7,13,182
84,55,10,0,0,36,70,50,0,35,13,0,269
85,48,10,7,27,10,11,5,8,10,0,4,140
86,13,10,0,19,15,2,0,0,0,20,0,79
87,11,0,7,4,6,14,46,8,0,0,6,102
88,3,16,2,1,34,0,4,13,0,1,0,74
89,34,7,61,7,35,8,12,20,15,2,33,234
90,77,8,5,30,5,0,2,29,5,14,8,183
91,56,10,15,5,97,69,29,0,34,108,29,452
92,17,34,0,10,3,0,11,15,15,0,13,118
93,152,40,180,1,4,37,11,13,27,18,6,489
94,131,49,59,37,44,19,5,90,35,27,24,520
95,111,33,12,34,18,6,55,14,16,15,0,314
96,27,8,22,0,10,0,0,1,26,2,4,100
97,12,11,2,0,10,16,1,42,138,6,1,239
