node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,dir_7,dir_8,dir_9,dir_10,dir_11,dir_12,dir_13,dir_14,dir_15,dir_16,total
0,4543,6849,5741,14743,8278,18260,8621,8541,11542,7536,11891,12133,10670,5399,4755,5539,6934,151975
1,6920,3353,9345,4194,3398,6480,1259,2691,3038,3273,2158,6377,7314,1582,4303,905,2606,69196
2,6389,7300,2596,3577,1600,6802,4886,3477,5557,3068,2026,5678,3361,5357,4938,3831,5243,75686
3,5464,3127,2935,15588,14246,10147,8957,6130,9955,9349,11515,13994,4636,9612,6631,10495,8861,151642
4,5859,6570,10279,8479,13594,3793,14316,8122,8579,8881,8714,14297,6416,8871,9517,12776,8557,157620
5,4062,8193,17620,9906,7906,5195,14340,6400,11141,8269,9783,3779,13137,9138,7712,4646,5500,146727
6,7353,12032,9082,1728,7082,1616,7871,6820,4139,6791,2549,5285,4995,9288,3694,8553,2891,101769
7,9510,5199,2813,5733,4795,6361,936,1635,2722,5178,1309,2464,3957,4205,3652,4144,4254,68867
8,11380,8206,2928,4579,7944,20742,5701,4862,3846,6126,4392,1879,10741,12587,14357,5753,6945,132968
9,8826,2912,4377,2538,8412,10244,10258,6599,5802,8346,10241,3780,12757,6322,4664,6910,7988,120976
10,8586,14973,3152,5986,10133,8153,8837,11990,13364,6391,9828,7018,21220,16476,6090,18125,10945,181267
11,8915,6138,6696,8270,5405,11436,9538,6474,10063,5331,4482,8410,5730,5523,5413,5649,6425,119898
12,8711,3957,3262,6477,3419,6843,5129,2142,6250,1263,5103,2327,1892,4265,1005,3261,4328,69634
13,6164,2691,4249,3494,6046,6297,5776,5451,1716,6110,4866,3555,3102,3079,5344,2558,5858,76356
14,2869,501,1846,15220,15832,17918,18647,9698,12955,10389,1666,5641,16342,5438,9471,8088,3634,156155
15,3773,4583,19002,14630,15881,5154,9034,5640,7564,8633,10149,8528,5499,5857,9584,9929,5951,149391
16,1409,12421,16779,17208,3795,4541,10613,11713,8183,5561,6176,5344,10017,6581,9169,8891,3130,141531
17,18622,13632,14161,1998,3714,4999,24904,9582,2529,7821,12908,11304,17261,9934,6572,10093,3463,173497
18,2502,2018,3754,8322,7925,12213,6386,4820,2657,6536,4175,6657,10240,2447,611,3347,5492,90102
19,10225,1847,1229,9964,6338,9504,3899,3518,6040,3316,6327,10325,2558,2170,5448,3422,716,86846
20,12391,5906,2585,7842,9425,13633,2388,8200,8330,11429,7386,2969,5188,6269,8288,3020,3883,119132
21,18663,9132,8618,17534,8840,13810,10474,7433,11043,11123,8595,11156,11351,13642,12008,7720,7367,188509
22,8809,4387,4769,5842,6357,8644,6326,1999,8105,4564,2361,4974,10164,8432,5137,7482,4447,102799
23,9578,3639,2755,3205,6790,6437,2264,9066,4459,8320,2727,9158,9034,5940,6504,6590,2233,98699
24,3176,4336,2539,1196,2299,4204,3239,2304,4009,3595,4144,4507,3899,2762,4041,5263,2387,57900
25,5238,2295,3939,10662,12596,10148,13362,11215,4714,8287,3831,7125,3454,3218,7428,7922,5191,120625
