node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,dir_7,dir_8,dir_9,dir_10,dir_11,dir_12,dir_13,dir_14,dir_15,dir_16,dir_17,dir_18,total
0,17012,11429,3023,7855,3847,7441,7410,11002,6426,7335,5515,8576,5969,4806,8709,7451,7041,7651,10749,149247
1,3765,4670,1435,832,2453,2956,7047,4149,8075,2931,5087,5767,2534,4605,1903,4042,1993,5709,3141,73094
2,5254,25611,27923,23502,17251,10531,5941,18707,9570,11123,10078,11417,15874,16784,11337,6032,21864,5806,10785,265390
3,12370,15746,21211,16371,10215,8823,5781,3661,5850,8305,6843,11307,9488,3171,3494,16459,4763,5074,6824,175756
4,9643,2776,11816,12734,5391,6181,4186,3658,2510,6859,2818,5236,2009,1079,9537,2892,4927,2549,8288,105089
5,2815,26020,5542,19272,20824,7718,6482,12946,6407,8257,7918,3839,10814,12810,5241,5946,9244,8356,4622,185073
6,20990,17734,18184,23581,6910,4456,7257,11274,9359,11852,8761,2463,15800,9560,4647,12980,6418,7163,6410,205799
7,11791,4799,22402,16588,4639,15609,6025,9976,8662,3596,6395,12609,5325,6814,9749,7756,5634,9063,15572,183004
8,7354,12398,17973,5563,11030,4989,8515,9329,3186,9839,11727,6591,11244,6005,8823,14384,6151,10993,14406,180500
9,7518,1398,4008,5109,5982,8027,6442,4719,7906,8246,3350,7997,4401,1210,3208,7435,4592,6964,6852,105364
10,11832,2144,3590,3202,5539,5116,6461,3812,7275,3138,7162,3254,2893,2565,4338,2786,5544,6034,5625,92310
11,1670,16522,12267,16689,6191,6091,11467,10201,7303,7743,9436,7905,7859,9073,7713,7783,5725,7630,9605,168873
12,22082,14337,16267,9176,9082,7780,24719,14872,19265,14186,10649,8391,9643,10804,10456,6163,6982,9902,9886,234642
13,7065,4625,6626,7245,6530,9646,5565,6583,6247,6252,5186,4690,7154,7168,4172,6689,6946,8114,6034,122537
14,33264,20296,12850,17805,14820,15557,10708,21696,15398,12119,10474,11382,15339,10750,8827,9467,9622,11359,11157,272890
15,10895,6943,7887,5828,2867,6617,7246,8882,5608,6089,5091,4632,7621,4020,5156,6004,1828,6727,5889,115830
16,2221,5575,4426,16454,10190,9678,7911,15006,13050,3388,12432,8247,10708,7327,9419,6981,7731,7088,6409,164241
17,12940,10256,6831,7587,7432,4634,7473,4524,3193,7847,3849,6061,5048,2694,5798,7124,5247,6491,5103,120132
18,11931,6982,9387,3839,3968,12085,7851,7747,6673,6661,5980,8462,6236,7288,6167,4454,4731,8819,11394,140655
19,4540,11979,9029,17441,14146,7541,10680,11038,9325,2010,2264,8525,426,15885,6587,7907,9225,6815,17272,172635
20,10113,6987,19022,24089,6688,7393,7721,13627,8155,13130,7757,8182,13145,2317,9070,9990,8507,3634,6331,185858
21,8242,11723,26923,16450,8608,11612,8706,9464,5594,11073,5973,4850,7538,10450,3700,9886,4178,16941,14531,196442
22,4027,6611,13998,20489,12220,9444,2609,8652,4014,7389,10443,11309,989,4160,18585,5123,4667,9927,11302,165958
23,5538,9523,8548,9632,17494,16266,4579,4730,2735,7320,9243,7417,8486,8462,7440,17823,4447,7051,4643,161377
24,7550,8908,10596,10320,16260,2684,1503,6392,7478,7656,10231,12825,12434,8773,8920,5785,19313,7689,8423,173740
25,6523,3828,10626,11300,9995,3989,15473,8413,7973,6831,7004,6220,3040,8013,4316,7239,5181,6639,4542,137145
