node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,dir_7,dir_8,dir_9,dir_10,dir_11,dir_12,dir_13,dir_14,dir_15,dir_16,dir_17,dir_18,dir_19,dir_20,dir_21,dir_22,dir_23,dir_24,total
0,40860,30530,30628,25779,16184,24670,22836,24029,18188,21427,13809,15221,10230,12361,12393,10994,12354,12970,14832,12461,12704,13722,9969,13908,16253,449312
1,19675,8303,10432,11551,8077,10118,9697,5994,5912,8187,5795,7295,10569,8683,10938,9219,8432,7862,4177,5284,4619,7372,8243,8023,6201,210658
2,12212,10336,8847,6449,6011,8509,4797,3432,6745,6614,6221,7030,8917,8788,3408,6065,3524,1941,6279,4259,2750,7933,6750,5762,2938,156517
3,15597,9950,6678,24181,15261,13569,18344,9272,9786,30241,17019,8875,19374,11124,15059,12670,6469,12056,12808,15910,8006,6833,8706,4871,8007,320666
4,8625,10235,3919,4536,4375,7265,4144,4857,2468,6801,3881,8430,3901,5148,5143,7478,7378,8108,2879,5232,7783,2076,5806,3904,5002,139374
5,14421,21084,4944,18376,16959,5380,6527,18610,6705,24331,8084,6662,8883,6868,13461,7360,5029,7497,6918,7847,12918,7787,12222,12172,15208,276253
6,16366,10220,26703,29511,9542,30636,18190,7966,4042,13439,11494,11278,10970,4431,6785,17160,6504,13863,5273,13881,5744,7162,11798,3503,4427,300888
7,26823,22330,26947,8790,12889,26071,14142,9625,8664,10819,12611,6472,7695,12606,6774,16698,19983,14815,13162,5185,8722,14550,6174,10957,8526,332030
8,8533,9871,5184,8248,7083,6100,6587,6626,11605,7836,5741,6647,3833,5507,8415,6602,3965,8235,7007,3974,2887,8670,7639,6916,4087,167798
9,13573,5471,8076,3011,11656,4206,7208,8784,5015,8172,3874,5229,7369,2603,3457,4989,9181,3183,3092,5346,3934,3232,6082,2853,6701,146297
10,10959,4236,16425,3119,4514,15317,12300,12327,7653,24762,3950,11799,9422,8438,14801,5303,1634,2176,9120,12959,8738,6338,12103,5457,5416,229266
11,6373,27286,26481,6029,20492,20135,3830,3994,12353,14262,5412,6076,3024,14386,6630,3329,7213,7570,10056,6399,17720,10685,7380,15354,14471,276940
12,14438,7391,10689,16527,24473,11459,23061,8487,12754,18930,6167,8587,12379,10506,5067,9226,12255,5647,12105,10994,12632,15115,8722,4007,5968,287586
13,18438,7634,5280,10601,7331,6510,2567,7141,6125,3424,2080,5727,4968,6187,5033,3259,3897,6844,3710,3342,8254,3164,5080,2025,3054,141675
14,14737,17190,19536,11354,27083,7233,9400,4321,11479,15985,8693,13354,3665,6430,4742,9022,11117,9164,4924,7111,7679,14920,14047,13859,10571,277616
15,18925,19188,9313,11720,9864,11219,14164,8161,10825,2834,8066,5440,12361,9322,5866,7344,6816,6502,7149,6129,7018,4629,6735,5429,4714,219733
16,55419,16751,23762,14366,15821,16273,11835,22144,13343,13154,18784,15693,13329,14740,13143,11703,12925,12325,12116,10995,9074,8156,10120,7477,11401,384849
17,18347,15410,6487,6305,3850,11573,6943,6819,9217,10852,11117,8695,8427,8940,6516,2723,5902,6076,4891,5820,3416,4542,6378,3123,4867,187236
18,22403,17113,8845,8923,8673,9172,12975,8443,8932,29063,10570,14222,7639,10805,8735,8781,10252,10420,8318,7804,10232,9379,8674,12286,7812,280471
19,9422,24829,9075,7044,5700,6643,7366,18506,10607,6084,6819,8633,13941,5222,5189,8308,3519,4846,5305,5797,3739,5445,5397,7003,4079,198518
20,13192,15808,8487,5295,3709,3558,6778,7424,8582,5784,6212,6346,8511,8357,9348,6494,5400,5395,5114,4184,6835,4431,6021,7807,5943,175015
21,5335,9921,16721,10497,33739,18178,21764,24926,11323,40258,13607,10235,5113,17665,16151,9541,6387,6405,5439,13323,8398,8616,10763,5854,12706,342865
22,10206,10282,13486,5581,5080,3079,10583,8350,11711,8156,7369,9276,5500,5539,10419,5973,5749,7304,6484,4876,4496,6934,5112,5902,5226,182673
23,4859,21633,17598,33410,18615,6843,11312,35070,5761,22691,10402,9019,7418,6202,5477,11135,12127,8725,9684,10452,14558,5716,18642,9368,15396,332113
24,5934,5977,33815,21122,9029,35048,29227,9687,7099,45254,8621,18455,15615,7226,7856,8085,6992,12124,6293,14463,9298,8886,11129,15302,5694,358231
25,5296,20551,22532,28467,7720,6676,35563,8362,9036,18982,7522,14562,17599,12148,6588,17021,7180,16616,9171,2263,10572,13642,7939,15914,17922,339844
26,3316,6314,8545,12424,19519,8732,7080,12112,7259,3833,9163,9050,13367,5010,8555,10797,5397,8343,7571,3662,7552,6903,5690,11410,11605,213209
27,10337,5699,10650,9500,26240,12230,11187,20027,9035,10208,5029,6927,9838,16265,7038,10389,9004,5979,4498,8157,5204,9784,6482,12082,19726,261515
28,7030,5836,30894,17212,31461,34236,44165,42430,10537,16743,9380,8297,6736,12822,24857,13805,14903,19057,10156,10780,20950,8486,7916,19634,12943,441266
29,5418,19017,39197,20716,54010,50958,30584,15505,12210,26013,10898,8574,6874,7597,14886,16467,17662,18921,23498,4059,9817,15912,8685,23165,30982,491625
30,3367,15708,7822,21965,46566,79146,51010,61188,16489,26076,15132,11746,13558,10961,10746,24716,22791,17265,24016,26484,4369,7300,17675,7020,15297,558413
31,12341,8692,11021,29823,41825,62105,56550,24759,6175,6535,6618,8436,14685,14369,4397,9987,17185,27563,19922,24755,23588,5422,6119,9279,8560,460711
32,4224,7665,24382,22191,51815,78289,52551,22851,18056,22963,9947,6981,11938,16545,8783,6785,18766,28832,31482,25194,25487,53904,8594,8642,12491,579358
33,7714,9554,4056,9125,9997,25543,25305,29202,9585,5239,9638,4495,10112,9335,11082,1759,4951,14717,15705,18825,5060,32212,4037,4283,10053,291584
34,5328,10901,6584,6273,10010,9495,10840,6262,11325,4843,5902,5939,8363,5483,6757,4965,8208,7553,4483,6128,3781,7612,6705,8713,4104,176557
35,9930,8878,8643,5121,8914,12707,12959,18490,3884,9575,10742,8946,11217,9370,11603,7278,7099,9559,6110,7098,4389,8527,2046,12386,9847,225318
36,13278,9634,8453,11365,8141,16243,16115,12893,11553,18954,6286,10155,11671,13681,10198,12381,11620,7531,8190,7587,10992,5097,8103,17073,9721,276915
37,20138,8225,6810,7097,5501,11225,6436,10272,4657,6845,12285,7964,9930,12182,5560,12965,5091,5924,7661,6268,6081,2758,5828,5676,8715,202094
38,9222,18528,13850,6230,7939,8445,15617,10938,4248,7433,4747,8309,10301,12097,9755,3128,10317,9101,4253,8478,1890,9475,5606,8448,9948,218303
39,9495,13894,10761,7600,31860,18585,29274,32822,9509,19068,13925,13562,8681,14013,14922,7398,8949,7826,10408,4733,10017,11607,6598,9908,12182,337597
40,12541,20076,5237,2811,8548,16114,12919,12872,7001,5718,8577,5139,6285,9591,8303,11455,6641,12913,6080,1697,10955,5475,6138,15456,9816,228358
41,10693,45419,5167,31756,25629,22083,15274,26225,6826,22919,12224,3236,6618,8550,11703,10512,9618,14568,7858,7520,5946,7241,19322,23802,12402,373111
42,12336,11673,17046,25824,21843,20008,37731,15411,7413,16955,8572,18324,9386,10671,13791,11627,12648,10395,17567,15467,3591,13195,7957,9863,14338,363632
43,4915,11587,21786,31661,20542,7427,18905,34181,10184,20037,7036,7127,8611,21081,11392,19267,10758,13232,12854,6989,9765,5153,6829,9758,22258,353335
44,5090,15529,25285,36193,12459,15854,28865,26384,7674,2988,6702,7078,12422,6199,9295,14965,12459,12907,5419,26082,7694,6993,8401,6741,6322,326000
