node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,dir_7,dir_8,dir_9,dir_10,dir_11,dir_12,dir_13,dir_14,dir_15,dir_16,dir_17,dir_18,dir_19,dir_20,dir_21,dir_22,dir_23,dir_24,dir_25,dir_26,dir_27,dir_28,total
0,43017,35924,32164,25280,25406,10425,7173,8667,9290,15820,19516,15239,18941,27390,13437,9632,20614,14673,19092,15471,7859,9274,18868,13520,9996,15085,23128,13728,28231,526860
1,29238,39595,27349,18337,17399,22440,5331,7880,10946,3309,11555,10064,12410,4208,25334,11635,14792,5873,12239,6663,19005,10463,27156,20652,17664,13843,12662,17975,12470,448487
2,20563,32755,32886,26287,21501,21152,23566,4449,4916,4809,16969,20639,11423,16775,10810,18532,15159,8971,4556,10974,17252,15043,7255,8368,5085,15816,12107,8195,26633,443446
3,18116,18204,30525,24223,18891,23118,18603,2572,5660,13336,13315,9672,6279,8651,11466,9763,22188,6290,17865,6693,20548,26639,9615,7321,21045,8190,11295,11324,9467,410874
4,17105,17055,23689,24304,20579,17665,17528,5640,6012,11804,4601,5821,19388,11030,6052,10121,3119,20891,6613,9258,10015,6437,10572,16441,6098,9522,20809,9307,15046,362522
5,12519,11308,13795,16865,21448,32147,34494,21710,17685,15217,32931,14341,17298,23647,12089,17564,20645,23912,22837,14280,10479,14707,27558,9505,26515,13509,21508,7944,12751,541208
6,19335,13708,15435,18336,26835,37173,21580,15453,11764,17403,34433,24320,16094,21214,6068,13382,3968,24366,14537,26734,9056,10892,5586,17541,11915,20325,23418,15421,12083,508375
7,19082,21944,15130,34646,35031,27818,21947,18631,15078,20163,28422,17475,17557,13906,20654,19110,10468,13112,23256,24804,20426,11867,12858,21997,24888,8352,19681,10794,12637,561734
8,10311,6163,15345,18765,16552,28296,24165,17393,22292,5296,34530,8417,6837,15023,10647,5917,6572,10986,8692,17960,4190,16244,3844,9335,20331,12745,6323,12600,9539,385310
9,4796,16377,15173,18079,20696,28817,23617,23711,4304,2699,29507,9584,13743,6511,9147,11968,11100,5445,13332,5867,22509,6885,15227,7334,2665,7817,17995,4470,9115,368490
10,15777,17708,22083,18387,29421,17834,23905,8958,4401,16825,30432,7560,9883,10437,4598,11792,14319,11333,6797,5700,15723,12752,10140,1833,7335,14867,11293,16810,13265,392168
11,14884,19290,15011,16021,26877,23349,10332,7329,11880,10655,16880,8027,15087,11012,12732,6269,17042,3504,11532,6636,13276,8425,18994,5225,11254,8245,14238,11191,19075,374272
12,20072,19139,17036,20700,19454,5364,2599,3928,7903,8189,36056,15847,10476,9733,13007,9260,12839,12915,14310,8987,10878,5736,7218,19753,9461,13723,17127,16904,9316,377930
13,11311,11086,6539,8990,15445,11083,11603,8550,8322,7959,11349,14677,7686,6222,7480,6151,4982,7732,7096,8228,6403,6281,14091,8102,11510,5630,10595,9964,7389,262456
14,8942,8983,6564,5543,4760,23381,3686,6102,2210,9285,3599,3023,6363,7411,7485,7092,5511,8267,6405,6692,8061,6545,4054,4543,7488,9951,6424,5847,8183,202400
15,9251,10560,12738,9858,6210,7105,8545,1380,3733,9210,6109,4449,5535,9082,7287,3973,8560,5582,5654,6109,6097,5272,4365,3340,4526,2250,5368,5274,2718,180140
16,7085,7688,17891,6899,13273,12732,6209,7393,4415,12337,6931,2069,9985,2458,4028,4857,6927,4931,9043,6312,3035,7102,1500,7637,3929,6504,2690,4865,3386,194111
17,12140,11356,6356,8589,6206,14163,6437,8435,12824,23822,8537,13723,4563,3655,6321,9270,10272,9914,8156,7571,10857,7249,11745,11958,11279,6373,9955,8930,6544,277200
18,14925,13592,18492,11115,10000,26860,16363,15531,7750,5583,14955,9077,11469,5141,9278,7228,7542,11076,11405,5600,8857,11463,7440,7665,6848,4411,6267,11620,13568,311121
19,37248,34821,23834,30447,11430,18356,8349,30103,22828,38699,15760,12157,9553,17251,25122,14438,10367,13072,17129,13213,16647,24046,12743,11317,25236,14693,24792,10054,15011,558716
20,31543,27293,19322,23180,5559,7730,13355,26354,18055,24350,4040,9441,18110,11377,7573,19564,5531,7465,9859,13881,8873,7541,7017,13890,6011,5980,20340,8876,23359,405469
21,24240,31613,15842,22526,3858,5829,8416,29030,15234,16310,7704,8301,8375,10970,15336,5679,5528,19863,6470,8642,6670,6415,17477,8648,11662,8568,18761,8621,12174,368762
22,17550,18410,30027,18243,3348,6316,4313,6788,14821,18665,13267,19641,8425,15295,5748,13795,5839,13888,20726,6133,5157,12789,6535,4179,7886,11213,10390,9688,15980,345055
23,16597,18237,16660,31113,7003,2847,3869,5172,10820,16558,10382,12364,7675,7789,11037,15296,10117,19771,14003,19132,9354,18350,7438,17865,16300,17254,18313,8528,9701,379545
24,5721,5491,7498,4609,13838,14040,23311,20653,20462,22999,24057,16459,23541,24604,9123,15259,9823,12086,9184,16814,10260,12452,12508,4639,7516,10469,5971,4263,9115,376765
25,7917,3553,3655,7279,24269,25881,22783,24641,16377,26143,22985,12303,18093,8621,8470,15098,6739,7980,17504,14351,7856,13446,7045,18658,8039,14456,12178,11640,7770,395730
26,7441,6767,5330,24276,22615,26932,26091,26905,23503,24425,35958,13003,17135,12661,27688,10398,10170,14647,6321,20540,9386,1920,17204,15732,11026,8955,10609,10676,10188,458502
27,8076,10337,24161,23142,32611,31216,28547,27195,26288,13795,28692,11022,11644,27427,20166,9111,9402,11687,10759,5995,7860,19514,14547,9740,22209,8806,9545,21879,14074,499447
28,19275,23121,23817,28941,38596,46131,35080,33121,21397,15022,39168,19049,20296,17186,19143,30799,16971,11072,15518,3862,8988,12751,19312,12210,11523,15718,17302,23955,27771,627095
29,28354,25063,28197,39209,41965,46845,42579,19540,17593,16711,39258,13404,10457,19059,14832,26102,31500,13235,6706,7134,17083,8369,14502,11045,9772,25633,9193,16587,35082,635009
30,26360,28106,31595,36354,65577,48374,29585,24538,23282,22720,33841,10584,22331,22983,20437,18460,26112,23847,11962,5540,17201,5829,3999,6054,12924,5502,10320,8974,10611,614002
31,21827,33172,35615,51690,53656,30523,23027,20314,26372,9940,31811,9797,14781,12814,14413,14402,11904,19009,33513,8503,9758,8634,7667,4753,16669,9127,18776,12553,12491,577511
32,23299,26188,34973,22505,25691,33377,26882,22112,9491,6335,7052,8084,12911,10232,12580,11953,13191,10183,17152,21259,4430,5020,4111,4929,4744,1017,6469,5179,6299,397648
33,10476,23837,31624,24273,23169,33797,25997,30654,5543,6045,6294,4086,6508,6916,14559,11774,10975,15668,17922,19544,22855,7155,6839,5654,7161,7482,6263,9370,7595,410035
34,7843,7249,32243,24045,26228,24620,29591,24191,2028,8248,4383,8640,6572,8673,12125,14387,13333,13453,13640,19444,26565,30184,3069,3232,7839,5082,6251,5047,8265,396470
35,22341,21858,22051,25072,23723,24135,21625,32939,24070,32028,34364,12208,20583,5634,15559,16521,23093,17639,25314,28116,20129,31229,42894,7816,7905,12353,17352,20682,22525,631758
36,38360,21781,19741,17199,9862,4603,5732,4117,26361,43753,10866,11025,16172,10528,13796,24709,16923,7428,10299,11472,27322,9068,23808,26029,19028,18210,12155,19213,9134,488694
37,56234,27938,21873,19670,22321,19003,8006,7807,22074,21661,31008,27548,10621,13687,15678,13535,29170,13287,11133,18190,14998,17699,13367,11839,8807,16711,20358,12398,19802,546423
38,28440,10740,5997,10442,13269,24866,30565,18996,23643,27910,14412,23048,11130,10515,13579,13196,10177,16480,11969,6621,7469,13019,12623,11624,9280,14551,23987,11922,19872,450342
39,25504,7716,8739,4227,7827,9067,21120,18860,18203,26541,7533,12011,14264,8959,7996,27788,13269,15378,8241,8622,3504,23427,15530,8002,17582,13387,23507,10894,3906,391604
40,13300,5795,3580,5535,4643,7167,4355,3363,5302,5116,4635,5528,8029,8661,4800,6031,5491,3525,3504,5788,6391,6477,3904,10207,9015,9594,3739,7493,4138,175106
41,6605,11364,10372,2706,6800,3779,8313,7447,2557,8996,6028,10346,6039,9218,5030,4301,9501,2108,4942,6328,6368,4363,10035,4315,7640,6160,4701,5046,6442,187850
42,9312,8713,15092,14773,2473,6200,2346,4530,8164,6421,14297,6830,6371,8049,8661,9653,4134,1373,2514,2581,5810,6373,4518,8433,4052,9508,5462,8391,4811,199845
43,6449,11727,6634,12401,8168,14927,24811,18726,19478,14910,30456,17118,19584,4499,11684,10520,7833,11460,8820,15860,17157,16264,5569,6029,14447,10666,8740,10087,8263,373287
