node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,dir_7,dir_8,dir_9,dir_10,total
0,5207,3592,3479,7807,4367,3901,2632,4132,5943,3036,8063,52159
1,2360,2529,2559,1727,3756,896,3130,2868,1674,2241,1127,24867
2,1067,16,4924,2267,2610,3827,1825,4575,4456,2688,4194,32449
3,4354,5485,5009,9813,2957,6200,3256,4820,6491,4356,4468,57209
4,4292,14044,8922,5819,4850,1661,2793,5120,4058,6381,2577,60517
5,9777,9490,8131,8934,10847,7587,7035,6823,6905,7066,7440,90035
6,6385,4603,5878,5984,5307,2324,3421,5654,6744,4777,7673,58750
7,5759,3611,3395,2160,1944,6715,6100,1982,3430,5682,4539,45317
8,6446,5424,4864,1475,4345,1688,979,6093,2219,2051,4060,39644
9,6510,5899,6159,6139,5577,5667,4298,6265,6554,4328,4465,61861
10,5002,9929,7604,1371,4432,6007,8502,4274,3084,7125,6612,63942
11,3857,8645,1203,1352,5410,1714,5797,7448,1396,1101,8084,46007
12,3529,1869,3481,4680,7175,2355,3388,2932,6237,710,2403,38759
13,1728,1971,1112,2615,2612,6092,2106,2273,2411,2320,4114,29354
14,5782,4101,2578,3837,2472,8567,1715,2958,1638,2433,3823,39904
15,4422,3644,5014,6183,4397,6571,4569,3383,4839,8360,4059,55441
16,4745,4258,2979,3142,4927,3934,5630,367,2638,3134,4194,39948
17,6472,3511,4642,3305,1603,1596,810,2068,4793,1686,5071,35557
18,6461,1305,5376,2375,4016,5836,3107,5868,713,4618,1651,41326
19,1837,1788,4610,3306,8161,4009,8077,1756,1071,7992,6443,49050
20,1496,3923,3687,4916,2014,4933,2681,1875,7776,369,4218,37888
21,5718,5474,6808,3971,3636,4963,4176,4948,6316,2347,3846,52203
22,6826,4813,6059,3437,3280,7071,5273,1220,433,2105,5281,45798
23,9133,5167,8278,7334,3867,3488,2633,1873,2589,4750,3794,52906
24,2650,4974,6721,4579,2367,5405,1143,1734,5425,4355,4372,43725
25,5926,8603,3957,5278,6184,2325,7869,2552,5288,1698,6247,55927
