node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,dir_7,dir_8,dir_9,dir_10,dir_11,dir_12,dir_13,dir_14,dir_15,dir_16,dir_17,dir_18,dir_19,dir_20,dir_21,dir_22,dir_23,dir_24,dir_25,dir_26,dir_27,dir_28,dir_29,dir_30,dir_31,dir_32,dir_33,dir_34,total
0,25636,21043,26100,30348,12283,12787,9950,18034,15347,17367,5630,12964,14934,15520,10234,12119,12629,11009,16209,9687,9662,20414,48714,53273,30042,16587,16130,13461,17041,12838,10176,16631,15215,12190,5611,607815
1,4925,3515,2707,3728,3678,2350,5276,11197,4628,4199,2601,5161,3309,3706,2164,2891,8641,3347,5251,4468,953,3914,4743,27867,46868,2653,7779,803,2986,3413,1529,2001,2524,1323,3101,200199
2,25075,14090,23272,20348,17652,13896,5773,12372,8566,10054,3331,7143,7082,9875,6229,6253,8662,8252,9564,3358,8344,8486,17874,15919,74184,11096,6992,5206,4962,3604,5936,5313,5141,5636,6179,405719
3,22836,8930,12798,30533,16828,16856,6111,10014,8903,9774,4737,7263,8194,7504,6631,4942,5414,4216,11294,4743,6482,5348,14529,11592,71607,9025,12212,17075,7201,5189,7927,13296,12345,9957,10760,423066
4,36985,7714,11160,15211,69934,54413,16638,39773,34509,6943,3241,4549,7083,6957,5175,5640,3043,4474,7823,4276,5662,5516,20876,110139,15918,17362,20558,18051,18131,12738,20949,16648,12061,17897,29792,687839
5,22157,10456,10366,16137,38604,41549,13108,29252,24371,5092,5057,3935,4495,6209,2303,6948,4761,4289,4994,5072,7823,4564,10472,98743,45509,11302,20664,28712,15172,11296,16451,29930,22935,16472,23990,623190
6,24677,6102,9855,22249,39160,26407,12844,24508,22962,5468,3497,3837,4405,3680,2918,5777,3240,4366,4074,3721,4636,3833,13588,101091,32776,14679,22620,24688,25961,19612,18198,20149,19431,19123,26114,600246
7,14281,5327,3901,5849,11194,11241,15795,31593,30068,6219,4838,2429,5072,7231,2566,10892,9819,4228,7385,6429,5263,6919,6899,23370,45239,5854,13062,4659,13603,11925,5468,16787,5846,5107,25236,391594
8,48757,13562,15980,27814,31623,17424,26302,32972,20938,26641,23539,5442,9202,18204,19007,19972,52544,22214,8657,10636,6487,7634,40376,74582,63143,46464,37051,21359,37185,29610,32812,40477,26071,26542,37816,979039
9,5262,3472,2945,6823,17160,13778,10363,21399,30369,5495,2918,3583,2820,3253,2623,3375,4978,6998,5350,4811,2951,1329,7600,78212,30726,25840,22292,18707,11141,15304,23084,19439,15515,14212,42220,486347
