node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,dir_7,dir_8,dir_9,dir_10,dir_11,dir_12,dir_13,dir_14,dir_15,dir_16,dir_17,dir_18,dir_19,dir_20,dir_21,dir_22,dir_23,dir_24,dir_25,dir_26,dir_27,dir_28,dir_29,dir_30,dir_31,dir_32,dir_33,dir_34,dir_35,dir_36,dir_37,dir_38,dir_39,dir_40,dir_41,dir_42,total
0,79973,78720,39268,51739,45035,52577,22185,32909,64611,32054,48214,44521,37257,35883,54472,39184,43295,26740,32079,23431,31642,47878,36575,21154,26864,35889,77017,15577,18717,18078,16969,16957,148498,92739,15702,15783,11260,18441,17473,10329,10978,10754,96609,1696030
1,55963,58363,16250,27560,12537,13851,14108,11783,13661,10276,14500,12926,11723,9945,15945,12321,16303,11053,9519,8497,12045,31765,14926,8126,9507,11220,90746,8713,10023,12152,14253,12645,109819,75268,12022,10965,7830,14329,9559,11511,15247,13937,72947,946639
2,97748,58874,30188,35932,13959,14535,13029,12580,20910,12339,13379,16102,8621,11635,9623,12693,10011,7919,11942,6765,11829,26043,10746,9238,11462,13683,96519,15127,12963,14222,14417,18423,117768,59262,12431,13009,11502,11288,11089,7105,11483,7705,77955,1014053
3,61320,44610,63761,27269,8675,6030,9038,8256,14792,8335,4276,5380,4828,3721,5812,8614,8083,6624,6439,4562,7097,22838,4971,6627,6403,8106,8630,117686,9011,7260,10118,7710,6689,33353,9775,7155,8976,11379,9354,6653,9195,8402,64020,701833
4,62885,51941,68158,19549,6231,6101,13187,7781,8269,4659,3970,6214,6615,3175,6153,5133,3974,4923,5826,5082,3890,14756,6459,5979,7194,4899,8964,91000,4771,6768,9650,7191,6848,44189,7070,8719,7028,11861,5965,11205,7343,6125,67082,654782
5,7860,5372,4618,4112,4801,6051,5406,3404,5106,2927,4667,5056,7439,7518,3988,4520,4508,5346,3910,4287,4238,4526,3032,4143,4499,4600,9264,18699,127373,4262,1479,5725,2846,1541,15350,5648,4868,5821,5309,4378,3577,5765,5788,353627
6,7856,3351,4839,2594,3771,3048,8081,3986,6466,4469,4499,3559,4719,3264,5554,3355,3561,6586,3477,4535,4737,5124,5445,4297,5424,4649,8555,115288,1986,4220,2057,2137,4456,15661,4844,3949,4637,1446,7091,5968,582,2048,626,306797
7,61435,16355,15680,8884,6624,5098,8295,5780,7735,7969,7480,4556,4083,4768,8892,7668,6657,4296,9307,7853,10614,12394,13858,12500,6965,8313,12301,117011,7153,6951,4224,3803,15856,18782,5425,5545,3463,5711,5145,5762,6361,2785,3565,503902
8,27769,8928,8737,4810,5118,4783,8397,12151,8369,9786,7547,5490,6920,7816,6585,6095,7236,5419,6215,8461,11615,11744,7910,6787,11880,8392,15230,109609,18335,12238,11119,9497,4982,12379,4387,3584,6559,3274,4100,9006,5433,8512,6190,469394
9,55629,38708,36207,17627,21144,7490,3156,7946,8353,6948,5921,7779,7104,5231,5741,4643,5064,3494,4227,1425,3066,21900,2847,5921,4653,5242,5032,116363,3443,5579,1564,8271,3253,12983,6511,9396,6315,12793,5911,5034,10501,5540,6501,522456
10,19783,7232,10796,1727,2651,6316,3922,13923,8322,12047,6842,6966,6551,6288,11981,6692,6043,5241,6226,4042,3485,4269,4893,3576,4117,4008,8599,120990,6111,5648,2729,2939,2157,12155,4459,2830,2870,8523,3808,2466,3451,6073,1462,375209
11,7371,4575,7547,3870,4307,4084,4230,11544,8218,9842,7530,6364,6551,7077,5561,8895,8746,6079,3332,702,3150,4170,2686,3526,3061,4461,8509,107114,5790,2452,4325,5003,1823,10405,1321,5272,2570,1277,378,2887,438,2252,1994,311289
