node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,dir_7,dir_8,dir_9,dir_10,dir_11,dir_12,dir_13,dir_14,dir_15,dir_16,dir_17,dir_18,dir_19,dir_20,dir_21,dir_22,dir_23,dir_24,dir_25,dir_26,dir_27,dir_28,dir_29,dir_30,dir_31,dir_32,dir_33,dir_34,dir_35,dir_36,dir_37,dir_38,dir_39,dir_40,dir_41,dir_42,dir_43,dir_44,dir_45,dir_46,total
0,84689,68739,138474,100406,33566,28603,23780,17507,63743,31692,29819,28576,18844,16723,23963,36311,22616,48745,79568,63279,107616,40793,29095,25440,29219,32652,31576,34056,34877,28619,159306,458133,69556,91769,30615,28509,78278,84924,27618,27647,32199,401943,191811,31727,26748,27823,54020,3176212
1,190460,94644,68382,55413,30477,31786,22908,18976,38606,25168,18329,25607,18021,23823,18451,29762,24603,38771,31531,28929,34465,37788,38291,31830,34223,46348,31022,32266,30161,26909,71964,58894,39716,41853,30802,39877,22009,34058,44653,29669,23349,295343,110174,42065,31448,25864,39505,2159193
2,36041,16021,58600,82933,60943,18846,18535,14747,38796,33913,25709,11579,18889,18736,15318,34211,18037,47265,53675,45053,86988,58751,57204,46524,47412,28285,35341,30442,29507,27735,167646,140027,202945,74213,113215,40603,26473,80584,105200,35068,34392,63864,253370,44404,43076,39918,44144,2625178
3,154651,73284,80066,91619,39397,25800,24005,15736,46897,26044,26794,27834,23046,22105,21522,31195,16523,40653,35670,30185,39026,30161,34399,29152,31987,30259,32500,33968,31969,33017,93892,58709,40951,40313,52523,44256,37455,45646,46109,45556,31198,290343,147868,47985,50488,45316,45714,2343786
4,117036,77291,77172,82392,36831,30242,25285,23018,31853,22327,32148,25570,20194,18869,18755,25045,18157,24622,31444,34052,35030,29228,36546,29109,26300,32046,32408,39484,29240,37070,127001,83212,54445,39032,51637,49524,42799,29592,47970,54976,56180,32749,154223,51210,55559,48350,32768,2109991
5,83246,40311,69982,40799,29890,24501,20898,29919,25127,24433,22838,24002,17994,26240,28221,25334,27363,28595,43715,37247,40254,39566,49106,39459,37445,34502,45697,33893,32446,39955,58224,110960,48682,57768,46459,43897,42662,27336,22696,42387,39862,29276,95010,41013,45966,30225,30644,1876045
6,57365,26142,45294,30132,27875,34436,20707,18026,24524,18368,21955,16851,12681,15092,16101,19539,22450,27410,17347,27605,31119,21269,35610,34767,35102,30731,33001,28402,19978,34949,37184,97217,31144,41023,29887,41266,35353,16764,26962,44349,39364,23265,90409,33458,40058,28937,21061,1482529
7,50668,25268,53054,32597,24277,23364,30557,20066,22186,14743,15091,12792,13482,18228,13930,26114,18892,27095,21202,30113,31212,32468,37514,34037,28903,35836,35779,35081,29784,33378,35122,108677,33023,43633,35442,27954,41081,21115,22708,39279,40733,22449,83339,34973,34298,21243,20460,1493240
8,135361,30349,68202,37137,32447,29476,27210,24681,34802,30521,25557,31349,29603,23827,28447,39499,33161,41233,31558,28057,39126,32011,37123,37451,35428,28125,35541,40747,34764,33875,113606,79376,31966,37811,28926,34231,41144,24254,29049,38365,39545,24496,73079,24001,31993,22842,24824,1816176
9,150366,59988,106164,60006,29785,30816,28291,31579,23307,40565,39491,39256,34888,23668,25413,51979,36371,54194,32891,35840,49030,38219,59011,45895,51054,48211,46995,50526,51607,71603,127672,62686,131946,41783,33804,64688,38890,28161,31422,37943,44712,34371,43511,23122,41503,28639,25691,2287553
10,72681,42162,91432,40648,28423,26109,29602,22342,20541,33336,30072,24590,30862,24871,21584,31523,26409,37235,27202,28838,34248,26694,35481,33222,40746,30294,40526,36339,42183,54773,59307,33613,92107,30973,48263,27646,30311,30242,26534,43585,39592,36500,61211,22384,28939,31786,26650,1734611
11,70265,39242,84125,42331,27741,30925,19758,18876,19832,34031,30955,31296,20872,24557,23581,26783,24961,45808,16338,28793,43290,28220,27958,30520,23545,27841,30790,34278,37168,47565,53068,38217,105693,32974,47687,34008,36729,25463,28964,38950,40873,38774,57102,23854,32787,30990,24367,1682745
12,94682,60014,74292,64118,48252,24128,24176,20305,22327,31832,20608,18966,27977,19553,18874,26840,24514,30457,24719,21584,31313,27792,34032,29042,25711,26353,30779,27552,25146,29422,75979,76108,91445,43007,56658,39519,37353,29881,34690,31395,43893,32305,69875,33028,34343,40536,34125,1789500
13,59493,29920,71408,27397,22804,20125,17940,20932,14852,24040,23347,24279,23021,19267,18197,21893,20058,35766,14414,24707,31207,27524,29424,27423,23674,22531,25368,33086,30253,35706,44109,20099,99812,24576,45468,29272,36021,27337,20614,32695,27680,23220,55242,23805,25803,29420,21770,1406999
14,61487,32733,72880,28178,24509,20936,21027,19236,28244,28168,20052,22313,20954,16093,19530,23147,21778,32173,17729,19864,31843,25926,38536,33603,33981,28358,33659,24691,25269,38832,37173,21192,103094,28014,32736,31589,40042,34195,22237,29545,32315,22133,62650,24347,24208,20078,28223,1459500
15,50020,31252,53003,30684,16482,21049,19305,18772,16981,27632,21540,21812,22360,17608,18511,23177,21661,25669,13904,23886,29704,26028,26045,28924,27765,27107,32288,27813,32825,40406,42064,20138,95897,21821,29005,26614,36508,29760,18828,29706,42675,31570,79621,20842,25627,22238,24337,1391464
16,39791,24567,38292,29736,22796,15209,14041,20126,39749,36506,28088,31938,28132,23143,21031,18247,29981,44371,20034,25811,29432,32031,31693,40035,29088,27855,27264,37766,25621,31960,32001,24765,71300,32928,32288,33302,38221,36881,25250,37256,35590,32078,111494,31099,28611,21444,27354,1516196
17,65882,52952,77821,46837,20655,20194,19072,21269,20852,29292,24134,17651,25320,22011,18772,17170,32323,38308,25229,21746,23199,27683,30538,25334,28008,17719,21506,26099,27242,30866,49980,32798,95225,39887,31376,23988,25971,37707,27236,23932,23856,37754,65795,22561,27902,37067,20855,1499574
18,104125,73626,105472,48750,34375,24359,21188,28496,20873,37057,27147,27781,32878,22284,20606,19609,34075,19670,41249,37075,38469,33492,35129,39449,32684,39371,36484,43985,36394,56160,79757,115137,34147,53283,34204,44440,40457,41511,37006,34691,58815,50930,71248,35887,32077,33141,33748,2002791
19,69111,21126,86644,42833,33212,27266,22810,42777,24168,30311,16399,16443,27203,13748,12713,12128,16097,13517,26386,44213,58700,41109,47227,43321,45625,45420,56382,51085,49869,55775,48455,86000,48374,42203,34739,46936,49688,72678,33014,40919,32681,38829,110422,34347,42046,45334,42045,1942328
20,71848,36011,77303,48580,34286,37932,30545,36196,22645,33577,24504,23291,25810,21667,22067,20039,17413,27015,41183,45011,52356,37569,40404,36608,37543,38575,50102,50855,45989,46881,53769,82135,46857,52313,41630,57567,60107,50841,41795,40673,48628,51451,104829,37180,42335,45611,45300,2036826
21,43701,21603,61169,46649,29869,21509,12693,21175,5918,22091,9498,10209,10848,5491,5111,7938,11764,6850,16483,62706,50942,32562,32977,37141,27465,27926,41602,42123,34634,43065,40634,82403,234231,48265,61286,72055,82245,44946,51184,66182,50279,65268,73821,61239,68529,81585,42432,2030296
22,29752,17026,44058,28516,22428,16219,16942,18019,3344,12437,10444,10661,12871,6754,7221,5914,7806,8921,16904,34331,25542,28438,29484,23321,27453,26112,25462,25522,29003,32141,24014,61575,189999,48447,76588,47203,53419,45875,44554,49904,48580,45687,51635,36056,35991,37159,41025,1540757
23,47477,21592,41904,39785,22657,17605,15736,13619,7557,24457,5617,8835,12077,5715,6752,9428,9094,6175,13318,35466,24990,33866,21460,29951,23624,25169,24573,25555,26096,34280,32739,61233,198432,54994,76300,44021,53145,53205,46166,50219,46272,68837,64588,39279,38023,41947,48746,1652576
24,31496,20608,35585,32194,23422,12173,21270,16092,10748,16963,9099,6992,11625,5899,7008,10054,8866,5742,15679,34010,23759,29368,20505,21461,26590,19418,21584,27326,23010,35480,21625,68972,185401,33895,40603,82001,45380,54712,59306,52601,54380,55392,51562,44674,38912,38150,48951,1560543
25,28561,12595,40273,26859,20184,12111,10143,14151,4841,21621,7868,5351,8113,5001,4093,3609,7394,4846,13171,29954,21032,36285,26809,14658,27083,31389,32023,27420,24278,31481,26784,61095,194203,39317,42077,80602,41665,38635,31901,41768,28882,49554,70696,29856,32321,39786,55015,1457354
26,38620,15202,17470,34928,21267,15235,15193,16394,6627,18320,4770,6969,9462,5015,5426,5221,13684,4145,12289,28076,20808,42814,18941,28529,27046,14040,27243,25155,27197,46134,25344,21733,59261,194644,41445,35443,104338,43664,51884,40262,42007,41228,35452,36466,37739,44227,49550,1476907
27,22619,14529,37747,29041,10160,12985,13282,19571,7521,23972,7170,6573,6251,5443,6968,8062,8217,7367,15358,43784,29814,51799,28882,22858,19266,17831,17362,24263,21217,38364,22969,28019,76443,226595,38788,46152,113220,42980,45327,42627,32971,50569,43567,65880,37953,43710,58709,1594755
28,36065,23242,12302,28475,15974,12597,16176,18081,3162,18281,10268,8342,10711,7131,6537,6945,11413,9515,17065,39236,33228,39018,20624,26235,18115,22268,23241,25523,26254,36105,23674,31032,86348,230983,49664,49895,47628,104436,33632,41157,48154,47417,40556,39136,37068,43068,50978,1586955
29,27942,16946,17496,28687,20749,18408,13811,19820,5688,22065,11799,8946,8708,8598,9950,5740,10004,8056,21214,43374,39793,51267,29753,24657,23757,17351,20076,19734,17471,29146,21351,29287,71249,210694,39864,44068,44338,99830,51397,40391,39187,53642,38713,47801,37383,32710,45706,1548617
30,26937,5094,12476,22984,20869,18114,23492,20387,7704,53496,19757,13038,10929,6359,6569,10041,10509,11190,33238,40994,38973,49422,34834,26265,24071,20199,20743,17822,20440,17569,16685,25000,86619,220445,49536,40305,46415,108115,52436,43947,33765,39318,256248,36059,40683,39264,37797,1817152
31,61284,24583,24534,27423,16522,70614,21897,23501,21202,15593,15669,15593,24022,14868,44718,73626,59453,67767,15896,13110,15690,14170,16592,13658,15078,14749,18699,62815,126045,87436,83096,211235,36634,46551,17100,18658,53248,49910,18490,17444,19765,277229,189658,20945,12742,18761,38998,2167271
32,58725,31292,21355,28131,15779,18153,18708,12081,28432,25800,20369,24694,18035,23372,52602,70806,30291,50835,21258,26979,20347,13805,10777,15103,15713,29301,9961,16180,9535,11474,43803,23520,14647,12662,13686,12422,8223,12463,14332,11282,10056,213828,124313,11963,11769,8499,10859,1308220
33,109510,94557,115386,114845,50755,29152,35945,26144,26761,35022,19566,27478,21831,28552,23361,48134,34618,42795,38074,41016,41828,20247,15990,19678,21524,19394,18319,25162,27503,143318,90196,203060,39980,83849,46713,43059,73337,77794,34443,44658,63963,224532,124371,28924,39721,41632,39473,2616170
34,132479,37212,90290,52640,15721,13578,11333,10945,14088,13677,9920,13000,9878,10655,13393,16868,15422,15948,17318,21158,27589,14517,16445,19512,14625,14004,22377,18370,16339,34804,49945,15639,10970,10106,14043,13780,15547,14227,11059,12201,13629,78885,123049,8229,15233,12101,10346,1163094
35,40201,81034,54784,20858,15021,15591,8565,10033,6863,9119,15219,9304,8187,8770,20804,7147,9831,12356,6893,9945,11746,11105,7594,11204,5670,12421,12702,16176,17739,74693,35548,23260,19978,7122,9226,12201,9988,10121,14073,9762,15253,12604,132417,7734,9847,9847,12755,903311
36,26453,49282,28332,40371,18708,20785,16757,13369,17381,14584,8093,12738,13789,16072,27138,16704,15610,17053,20064,21436,19105,21391,13997,10896,14544,17592,15083,15740,13924,60070,7167,54736,27741,14572,9480,7143,6478,14410,7954,5667,8051,12331,141951,5778,6326,10223,10307,967376
37,21662,25003,17708,15438,12717,7505,11119,13577,8613,7204,5918,12313,9558,7327,10961,13301,11372,11384,10707,12100,9660,10852,12746,7829,9757,10079,11503,11241,11585,18970,8222,91828,19017,19269,8466,7395,6892,7437,13067,4068,8330,4007,42513,5932,6271,10528,10257,633208
38,25265,27849,11699,17561,14411,12454,8123,9410,10593,9948,6620,8188,8980,6882,15132,9262,5817,7350,12838,11673,10804,12264,7918,10735,10061,6971,12317,11664,11633,29052,4755,73288,14610,16559,15539,3950,6861,6910,14130,5623,7583,8665,88103,6063,7792,7895,8421,660221
39,13260,47500,16500,13403,9622,15024,13243,20505,22197,24242,19785,17493,16575,10605,26500,18752,15939,8809,8859,10070,8683,10717,11997,11752,14067,5473,7620,11796,9101,43038,5571,64348,14823,22980,12705,6303,8677,5411,7135,6639,13748,7371,74627,8935,8089,7995,6261,764745
40,15220,29600,16352,11820,5517,8899,12814,13541,16547,14895,16795,15182,12567,12008,19272,14865,8409,6431,13857,7858,11474,9367,6549,11092,8429,11269,8438,7729,14782,27242,9340,24360,59755,13121,7760,15823,7570,6321,5498,9245,8962,8330,96997,9208,7940,7059,10449,696558
