node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,dir_7,dir_8,dir_9,dir_10,dir_11,dir_12,dir_13,dir_14,dir_15,dir_16,total
0,11744,8670,8506,7146,4600,17775,7413,3065,4130,7950,6968,18621,8584,8181,7043,3377,6274,140047
1,21371,13123,7295,9070,5286,22446,5561,5852,4970,7356,8046,14363,15366,9543,8363,4730,5033,167774
2,6107,9359,6130,7262,3623,16281,6221,3641,7337,5121,7588,23170,14475,8908,6212,12228,6609,150272
3,4926,10633,2577,6938,3245,9751,5379,5100,4927,4864,5221,21428,11482,7185,4727,8785,6392,123560
4,6245,6934,4491,1519,2863,8512,3661,4572,2650,2637,4589,15339,9093,5576,5839,9423,8267,102210
5,9140,12117,7108,2475,4734,8307,5124,6578,4852,3173,7094,19308,8577,9662,6624,6053,5240,126166
6,7855,14380,7766,4253,2919,4906,8253,9179,5193,6032,7965,57127,13751,10631,9095,8419,8536,186260
7,6058,6621,5436,4198,1629,3393,4721,2877,2754,3091,3903,21429,12498,6578,7041,6400,5827,104454
8,2462,6580,2165,1119,3179,2402,7795,1356,4097,2341,3461,17861,15127,8422,6484,5802,7156,97809
9,5061,6317,1713,2310,2326,2097,7188,2084,4493,2414,5800,13926,15876,7040,8216,6019,7757,100637
10,7626,4234,2732,2491,1899,382,5860,2720,2825,4047,3013,12822,21051,6820,5673,2452,3070,89717
11,5813,6035,2116,759,1327,4127,2417,3237,2748,3609,2359,15718,14410,4611,4690,3922,3927,81825
12,6568,7889,8966,6222,21757,13503,13416,12800,19587,26328,14520,36436,7045,11763,9833,8435,8747,233815
13,12421,8434,12405,3826,9102,10614,19034,11319,14758,7223,22552,17693,6337,4777,8764,7611,6398,183268
14,7377,2907,2961,2290,8017,13714,14221,9886,8663,6216,4559,18958,6390,3936,3312,5276,2856,121539
15,7429,4233,4531,2526,5531,8815,11055,9272,8264,5156,9359,15229,2791,2924,8207,6054,5601,116977
16,9810,2735,7383,4024,6365,10300,14384,12832,9557,4751,7890,19211,6263,6130,4744,4583,6497,137459
17,10850,3723,1857,2034,1901,6857,9891,6933,11193,7499,8934,50938,11088,7364,6800,5154,5063,158079
18,23137,5151,4099,2738,1136,6238,14959,8812,9300,16377,8349,52739,14040,7484,4259,7047,6575,192440
19,5731,1236,6242,1722,1972,4640,14557,12481,19588,15640,36321,55616,14757,6770,7084,4898,3880,213135
20,8574,993,6026,2190,1496,6154,7434,13253,14055,12073,27648,40201,11974,5663,4891,3386,7978,173989
21,13375,2576,7692,2968,7227,12110,9623,10636,14097,8768,26255,40083,12610,6948,7050,5968,4163,192149
22,4580,7643,5378,12148,9347,18232,15959,11226,8853,8039,28296,19710,4541,6985,5276,5710,2852,174775
23,8157,5779,2901,6825,9224,10624,8144,7612,7839,30699,19413,22106,5430,10010,7591,8774,5862,176990
24,32559,26714,17121,20046,16227,21071,36661,41880,27738,26714,23125,32714,7213,6188,12697,12817,11223,372708
25,14405,20523,17039,16433,20376,18908,14410,11795,14724,10421,16935,20994,16131,8532,13846,16667,12577,264716
26,20293,8203,20466,19864,12658,11285,10224,10862,10770,17448,26855,13285,9810,13246,19497,12151,16458,253375
27,20676,8520,9398,15570,15299,11669,7358,11144,5270,11956,12979,67854,14319,15073,12064,10742,9226,259117
28,30275,14879,16908,13335,15846,12460,11455,12095,11037,13349,10479,63981,16124,15377,12341,13774,15641,299356
29,28839,10739,11393,15733,14958,12825,10076,13766,22704,14006,16653,45195,26430,15959,11817,15129,10723,296945
30,8852,14752,10948,10121,8663,10105,13371,17630,17009,14209,17781,25671,20811,14386,9131,9928,7641,231009
31,6154,9229,6383,8783,6837,8509,8351,13210,12397,9028,12919,15862,14789,10934,11667,8260,9682,172994
32,8865,8734,9492,10970,10146,11652,6587,11250,8471,10014,14558,30365,19135,12176,13945,7921,7063,201344
33,15729,4886,17352,10463,16590,7576,9271,8482,11894,9776,18530,26566,10355,6164,11173,6116,9140,200063
34,16628,9692,17091,14845,10178,7736,11649,9218,9344,10147,27116,24048,7113,14637,9670,8260,10761,218133
35,4401,6133,14999,6832,8048,5308,9322,5527,7306,13662,13634,25229,7514,6125,13299,9408,10573,167320
36,16703,11966,9623,11893,7427,10845,8907,15499,21052,12477,20494,20050,9175,5180,4389,4887,3687,194254
