node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,dir_7,dir_8,dir_9,dir_10,dir_11,dir_12,dir_13,dir_14,dir_15,dir_16,dir_17,dir_18,total
0,28586,13406,35095,23419,16564,16192,14386,21588,8841,20783,17915,33050,15823,13225,13944,14122,26165,12257,15318,360679
1,15311,19152,24520,19048,11570,11535,8998,9959,7553,10859,14395,22545,17345,14406,17090,14136,25080,12448,10412,286362
2,19378,14751,19995,22537,14847,14431,14554,18583,17114,19093,32631,14796,13103,13740,10235,27331,20404,12500,11273,331296
3,39228,21698,15736,15470,9103,24668,13345,11773,19231,14428,16771,33724,22612,20634,25739,19683,37911,16189,20257,398200
4,16424,14201,10743,19450,7857,10158,6219,7182,12018,8026,7662,20518,31848,21454,19475,18664,16148,10509,18518,277074
5,11381,11888,13684,15052,7755,9025,11452,9655,9167,6855,9433,15000,27850,26540,21935,19089,20296,15541,19372,280970
6,26090,16954,15715,30917,4809,7194,14033,12233,4005,13602,9209,16465,20900,12944,15612,15322,19592,25342,17127,298065
7,11810,8819,7624,16806,7551,8426,12491,8984,2774,9932,11485,18720,17685,11814,9874,11823,9283,21400,15010,222311
8,7972,12399,8120,18431,8049,9480,14840,11038,5671,15575,12785,23913,18905,15383,14163,11329,14892,25895,16102,264942
9,10773,8017,6860,9780,12619,11913,18583,10233,10012,8893,9910,24360,15380,13254,11124,11390,12614,14470,11622,231807
10,10064,12473,13341,21019,6036,8569,13795,9830,13288,4811,12349,28552,17551,17837,18873,19215,14275,17580,15289,274747
11,9506,11240,16435,4297,4922,12067,13922,14399,7169,11880,11159,29731,15188,15401,13967,15284,9214,18937,8608,243326
12,13029,13876,16280,12882,13085,6575,8862,13605,6540,6159,7508,22969,14774,8468,4882,4514,8430,6264,6343,195045
13,9747,6686,3486,1753,4484,5008,7145,7676,11815,11393,10665,14112,11418,4478,4846,5121,4385,4333,2821,131372
14,12306,2138,1537,2852,3282,2916,5163,3708,1566,2220,5107,6942,7715,3490,2878,2751,5353,3662,1396,76982
15,7644,3893,6082,13458,6210,8743,4652,8570,7472,5337,20131,9732,8390,5600,5938,11175,11230,4897,4756,153910
16,5654,10953,4294,10071,10253,6976,8055,7476,5688,2221,15063,21251,25873,18186,9006,14448,8064,15198,10709,209439
17,11380,2704,1118,6036,7392,8789,8567,5154,8285,2316,12526,10583,13648,12865,8758,10818,7782,11060,10704,160485
18,12526,380,1195,4992,9147,5890,8777,8954,6055,3800,8772,11291,19047,10750,10524,7170,8557,13218,3615,154660
19,17876,9150,4403,4296,7823,5619,4773,3515,4613,2141,8365,7717,16900,6568,7420,6185,7974,12574,6768,144680
20,2112,632,6985,8472,8529,7468,4842,3735,861,9780,8800,12828,4013,3613,3096,2668,3170,22110,4815,118529
21,303,1631,3395,12192,7216,6326,6702,5034,2482,9552,6939,18421,4417,3376,3555,4688,3822,15039,6362,121452
22,3093,301,3986,11931,4066,3188,5592,953,1928,7079,6207,16091,6192,4076,4202,4956,3827,8257,4382,100307
23,10143,5519,17559,10594,8896,9091,2936,6987,2124,17565,31885,12640,5194,8256,6239,4892,5899,6094,5175,177688
24,17902,12161,11457,13739,5970,8655,1896,10880,27527,15607,17067,19694,4911,7827,8266,4417,7033,13132,7198,215339
25,27279,21071,16445,12156,15751,17056,15865,11518,15875,12122,13002,30933,15457,13692,11356,12501,13943,13652,12361,302035
26,14927,14226,6713,8873,8209,8808,7528,11577,8243,11114,10701,26707,19509,13594,11066,9357,11452,10660,9633,222897
27,17190,11263,9996,6307,10352,8183,9797,13811,8239,6404,7606,25104,15845,14097,11859,13074,15307,7492,10132,222058
28,14539,8254,9401,20656,13696,11894,10478,7928,7947,8334,30499,20049,15371,12757,11888,23050,20917,17237,14098,278993
29,14605,19149,14395,21798,16395,10396,9427,7611,8536,7127,31514,25241,36549,17342,13249,15915,13888,24126,12890,320153
30,13064,8810,8593,8849,11763,11422,10924,7334,11742,5697,15706,16161,26903,13416,11821,14168,9910,18153,11011,235447
31,12960,7718,7075,10490,16780,13206,15336,9311,9084,6185,16003,14595,21360,14974,11285,11538,12008,24404,8978,243290
32,15438,11941,6746,11199,9347,9983,9847,7629,6609,3482,15281,11568,22409,9303,8664,8910,9538,16062,6464,200420
33,9450,14105,9522,11884,16621,11857,10522,9867,8306,4480,16095,17588,9664,8156,6008,5990,4034,15057,7551,196757
34,13162,6660,7211,12131,13243,11523,10947,6615,11684,3351,13975,15508,6922,9029,6752,7866,5070,24783,7441,193873
35,8403,8513,13605,19922,10869,8824,5887,7656,7767,11499,13594,25334,12552,7340,8884,8362,10638,11694,10835,212178
36,24749,11336,9459,11297,12462,12206,6001,8978,27714,13778,21565,11760,7556,9686,8614,10317,6609,11561,9569,235217
37,22694,11215,11907,8902,4657,11852,20083,14243,15288,24831,20359,17231,5904,8089,7184,9145,6950,14103,9010,243647
38,11551,7519,7310,11984,11362,12098,5180,9023,15494,10704,17736,13324,12290,9358,8756,6188,11333,8653,8181,198044
39,12347,8446,5649,8231,8225,8700,4638,7468,11329,5387,2457,6549,14585,7700,7405,5497,14575,8922,8898,157008
40,10373,7035,3207,7116,8180,8048,3274,5256,9383,4308,4519,21489,7535,7632,6217,7050,11700,6240,8701,147263
41,15622,8108,7403,7222,18619,9901,12280,13873,11546,9870,24322,8541,8881,7438,7903,21515,10327,13108,8471,224950
42,22962,7045,9987,8887,13057,9243,21256,12037,6470,7542,12198,28899,27575,13854,15958,15268,13293,22009,15179,282719
43,2665,2827,4423,6430,5307,10871,7488,6259,6449,8741,14859,16714,14773,6475,4748,3525,5184,7789,4722,140249
44,6238,4009,1868,5794,13014,6188,8794,23331,30617,25373,36227,32055,18805,14248,13287,12995,10911,14720,11186,289660
45,11498,9903,9291,19484,20468,12882,14942,15802,12010,11779,13355,14192,12549,7335,6175,4022,6103,16795,5116,223701
46,9171,3184,4361,6545,12442,7907,13369,20499,15788,7889,9125,9071,4019,5175,3421,6118,3960,11293,4961,158298
47,7555,4584,8450,5532,11817,7274,18969,16545,14293,9640,13103,6685,4611,4979,5050,3841,3621,12170,6787,165506
48,19895,2317,15124,10795,10989,6122,13337,10232,8783,2957,6633,15161,6905,7555,6207,7080,8251,9732,8242,176317
49,20549,8386,20773,13434,23954,25367,18054,11528,12025,17241,37246,15455,13263,10425,12542,15407,14103,20089,11585,321426
50,6324,14378,16722,16561,16093,9702,7425,9367,14295,27198,37418,14005,10435,13136,9090,8888,9753,18436,10216,269442
51,9074,17525,16480,18355,21013,18500,19912,14562,13049,14498,26078,39311,22619,16144,15407,16342,19754,17852,14059,350534
52,17128,10601,6400,6395,6544,5671,10954,11408,1639,7967,2295,16882,4705,4598,5056,4010,3926,5487,4218,135884
53,5601,7689,10927,5387,5765,5016,5196,6128,4078,7626,4390,16960,3479,2716,3342,2646,3915,2308,3046,106215
54,9968,13546,7146,15197,7593,11606,8861,11505,8724,9117,13231,11617,7746,7205,10009,13561,12867,12858,9608,201965
55,20782,31425,12345,11536,5536,10452,3499,5512,11226,9378,12261,5917,15166,12245,9782,8119,7517,15224,9223,217145
56,6728,14717,4609,4322,11856,16819,6538,18893,9928,3885,10300,22071,15457,9936,8985,9879,7291,12831,10768,205813
57,10011,12060,8758,16132,2488,15397,5598,7022,2582,10953,5874,21071,16389,14213,12645,8763,9809,8848,9200,197813
58,13623,10500,10343,15826,11074,14283,7764,5598,11665,3900,14282,11012,13455,7623,5127,6225,6657,12810,6151,187918
59,11643,13932,7917,5365,6260,8381,4606,9689,9593,6000,4306,10093,5261,3316,3697,4028,3188,18284,5349,140908
60,25816,10113,797,11280,1556,6042,10102,7966,12073,9493,5682,20055,8343,4763,4759,7430,5684,16257,6409,174620
61,3039,11476,2911,6402,12677,12663,7979,5712,3875,5629,3478,19335,9260,5327,4723,5856,4438,6693,5175,136648
62,2292,15764,10890,9710,9776,8226,4367,11694,7700,13463,9138,11134,2487,3097,3359,4524,3663,8390,2098,141772
63,7917,17954,10004,14823,5304,13822,8196,13575,13600,16878,10013,17316,10804,8328,7243,9627,8255,16119,9293,219071
64,9959,5150,5902,5718,4464,8204,8398,9586,6107,2189,4198,15911,9100,6811,5936,5299,4836,5317,6546,129631
65,5709,5778,4571,5714,6982,4547,6174,3612,1447,3473,3349,14619,7405,5280,4099,6184,4994,6182,2973,103092
66,5187,3854,7018,1479,3956,3210,1758,3763,828,5881,2459,12763,5457,7221,5023,3132,5552,4062,3152,85755
67,10127,10702,4746,8792,4895,5506,5792,6424,3208,5500,10441,6641,6188,7099,5188,14522,11383,8262,5741,141157
68,11142,21524,6391,13981,4127,13553,3569,7601,5106,9728,3756,21920,17357,12889,10564,7870,7627,11320,8382,198407
69,19521,15198,4494,4003,2686,3503,6389,3379,5337,4282,1241,1852,18118,9845,8295,10284,10400,11094,8773,148694
70,17148,3869,2011,2316,9112,6628,10355,5245,1000,566,4323,1707,18915,11884,7105,9063,9043,8801,6292,135383
71,9344,7222,7535,8910,9948,6510,4858,4104,5892,3443,10096,5602,17241,7244,5368,4417,4449,15552,4984,142719
72,6073,12479,5966,3899,2214,6659,598,3202,2843,6966,7728,19867,6211,4885,5713,4702,3108,10587,3118,116818
73,5115,3051,1767,5259,925,5446,5255,13195,3162,8345,8597,10205,4868,4185,2995,5263,3608,15995,3015,110251
74,740,8417,884,12433,5562,4448,4808,4915,2190,3639,3305,15403,6088,7073,6224,5212,5712,4961,7918,109932
75,974,15261,5100,8068,7190,14037,3182,8100,6713,11071,11179,14769,5643,5205,5374,5757,4613,4484,4828,141548
76,8561,14357,10149,8811,4294,5454,5181,10552,7625,7418,12991,20260,4385,4884,5749,5332,5738,11610,3168,156519
77,10021,3385,4808,6071,3712,4700,7655,4438,1521,4420,5124,20679,7376,7272,4793,5920,4087,5351,6129,117462
78,2737,3251,1716,3408,5030,1664,1056,2173,1709,4664,2417,8996,6631,3751,3931,3892,5528,4119,3449,70122
79,8515,6456,9352,4305,5624,2762,1829,4481,4248,1947,3584,12590,6097,3841,5581,3767,4645,4103,3849,97576
80,7600,7811,9118,5051,6026,5972,2860,6233,8190,9470,13682,8100,7443,6098,6588,12263,11229,10822,7359,151915
81,19071,25016,10177,13189,6192,7898,4630,7230,2536,6376,3531,3675,15915,8596,8889,9924,7257,11910,7413,179425
82,9796,16789,4001,9897,2662,7352,4204,4376,3106,5107,1972,1020,22137,11378,10484,10352,9943,15325,9222,159123
83,12733,22732,7477,5406,7356,4130,8808,3052,967,903,3762,2158,14814,13602,9150,10334,10280,9884,6761,154309
84,7552,10483,9181,6802,7579,3328,4424,2393,4715,1862,3964,4964,12197,8314,4228,4252,5722,20943,3720,126623
85,1808,11049,4258,3827,545,433,670,4769,3537,1548,10772,11584,6369,6563,2991,2998,4775,12575,3516,94587
86,4674,2712,1442,4749,513,4534,2493,7633,5967,5807,5170,15011,6315,4993,5319,2940,5327,19000,3562,108161
87,1768,22155,1626,9365,5745,5431,2538,7749,6609,9408,3724,17949,7528,4511,4343,5363,5827,7549,4555,133743
88,480,13678,3811,8478,10606,3715,2839,8936,5777,3527,13160,12067,7180,4908,3884,5310,6088,11486,4946,130876
89,6950,20047,10572,8103,3424,10454,5364,7161,13691,9620,7671,13881,6671,6772,6156,5192,7413,10569,4448,164159
90,11493,7218,4642,6261,2221,4420,877,6734,3817,3537,5962,19467,6617,5538,2477,2959,8053,3420,2997,108710
91,5084,3394,3902,6137,1382,1880,2907,4068,4176,5041,3455,14965,4228,3421,2825,4026,5141,4515,2188,82735
92,4011,3955,6608,1643,1389,1195,3642,4893,3082,4141,1745,13586,5057,3999,4208,2808,5099,4458,2727,78246
