node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,dir_7,dir_8,dir_9,dir_10,dir_11,dir_12,dir_13,dir_14,dir_15,dir_16,dir_17,dir_18,dir_19,dir_20,dir_21,dir_22,dir_23,dir_24,total
0,30792,17196,17134,41490,12172,12577,15971,8100,38289,9460,25009,15558,14800,8313,18555,26997,41509,17177,17369,20566,17354,14269,18106,26122,15392,500277
1,16857,17448,20161,21164,7850,7912,4866,7132,14758,16619,13729,13070,17106,11843,19645,14181,22160,43295,16981,17471,32592,14549,17614,15752,18767,423522
2,13262,15051,22907,18676,6454,7350,9115,9993,17182,11643,12900,8424,9637,16082,13682,16493,18801,37992,15326,14637,22228,16699,19462,18203,19279,391478
3,48380,15376,20132,18691,42383,28659,18669,18422,20031,10887,9200,13188,8976,12076,8584,10974,43556,27392,14024,12057,36149,14898,16149,16225,25701,510779
4,16875,12330,23470,25631,7510,8559,9040,8920,20179,15878,8112,14587,13152,18028,13957,21588,45701,16186,11781,34123,19364,25089,13426,19844,29600,452930
5,20234,15985,10587,31861,12327,22690,13314,15795,8111,9663,13852,10306,12850,11115,12148,10825,34887,24312,14759,15511,12049,17865,13642,15545,22603,402836
6,13091,7366,7888,20398,14414,9890,19662,12374,8368,4520,10858,3077,13841,12273,11166,13778,12499,47838,19522,17551,14938,16595,15049,12910,10317,350183
7,9947,9359,9084,14452,11808,6749,4870,15028,10211,9694,8334,8060,11687,10537,8619,16485,8251,59245,21805,13905,18220,22157,14224,13307,14242,350280
8,13812,9535,7319,11932,13714,6598,5327,6373,16941,11763,9192,8254,14472,12193,13641,16843,10551,47106,24642,11153,15561,31786,18750,21396,13922,372776
9,26481,16591,17228,15251,18947,10167,8158,8604,12244,16866,14306,11975,16031,13935,11518,29197,62442,21479,27467,20997,30908,24166,19474,17944,47125,519501
10,11969,17990,11629,10630,11727,9964,8777,8839,7674,14541,8266,9605,8358,10554,7681,11076,10339,50619,8116,11876,12521,17910,15127,15752,14770,326310
11,8461,12244,13346,11757,17253,5940,7648,7340,7993,12706,8691,9748,6346,8264,8343,12732,9994,45419,12606,13785,14108,14234,13623,10680,13444,306705
12,17349,14868,9183,11786,12044,7647,11813,10966,13672,13628,11694,8274,10118,13450,9198,12624,8147,49578,13799,13991,8335,12078,14632,12688,14295,335857
13,14647,9782,9847,10145,13673,10759,6290,8658,10588,12813,6485,5138,11806,9752,7670,12642,13031,43310,14887,13547,14072,14769,13044,6160,15304,308819
14,13458,11604,16051,11465,16954,12916,8934,8377,12343,17548,10852,6407,7507,8292,10230,16211,55375,13273,16035,16706,12353,14602,11075,10332,15056,353956
15,16856,15202,19464,5873,12833,9092,11733,10620,10212,11521,9986,8033,7130,9408,8233,15568,61004,10959,11403,18873,13628,15408,14149,15114,12681,354983
16,17904,16000,15803,9815,15369,8124,5161,10202,10806,28216,11785,7919,7946,11457,11155,10348,63115,18115,20331,23614,19498,12721,14777,20827,51865,442873
17,32243,23431,12465,8425,10799,11695,12454,10649,11077,22117,17896,15631,21960,10386,23861,16292,48124,8885,10502,9717,12181,10752,8941,13828,8531,392842
18,21427,7250,13792,8562,3912,9296,7166,6550,10570,6517,8836,8587,10432,5915,9995,9219,6221,38071,4598,2944,9520,3947,1833,4256,8665,228081
19,14865,6213,9593,11688,2089,3127,3238,3963,5506,4762,5322,6515,8280,4357,6058,10307,5980,31077,3150,3036,6689,3978,2952,2397,9488,174630
20,14615,4470,5865,10459,1977,2973,4602,4873,4938,2634,3577,5531,5780,2390,4106,6347,3207,38527,1767,1316,10899,2154,3392,749,6481,153629
21,22334,6147,8292,15933,3525,4628,2852,4527,6291,6807,4569,7487,5244,6558,6350,11113,39173,2010,4916,15215,3499,2992,4671,10259,15349,220741
22,17219,2790,4063,3171,3894,3118,4421,8863,4657,3037,5511,5858,4883,2596,3052,4273,1494,16520,2084,2778,2063,3176,1782,410,3477,115190
23,15843,5109,4802,2307,2575,4524,10086,12655,10512,9474,8273,8467,6375,8519,6932,10867,3362,39429,10698,6112,5479,3904,5045,5143,6131,212623
24,15375,1492,3146,2302,2665,2252,3301,13333,7530,7964,6192,6716,11521,7685,9676,11474,5114,54926,6638,6119,5255,8172,5584,4060,4909,213401
25,3977,1043,5618,5409,2317,8389,7518,13740,9444,10922,10207,8418,8565,11499,11636,8626,11091,45412,11333,10598,12706,17991,8410,7530,8397,260796
26,5460,4340,3396,5625,3139,8626,7097,7451,6878,7909,7701,7273,5190,5481,8496,9583,6403,38316,4813,2509,4092,5891,2628,4526,2953,175776
27,7008,2757,2999,835,1057,7223,4907,8342,6310,6080,6981,7593,7218,5252,11385,5923,8743,39628,2347,3589,4405,5650,6522,2324,5587,170665
28,3247,6526,3311,4144,1088,7818,4954,8226,5152,5864,10306,8963,5800,6781,12239,8258,13009,48764,5848,4147,5715,5251,3395,3620,4431,196857
29,12624,4718,2815,3021,4379,9210,4642,9418,5414,6101,10116,8408,8641,8571,12861,17727,43610,5278,3918,3495,5402,12193,3122,3783,5022,214489
30,7008,4945,3875,4272,2490,5491,4331,6557,8095,7558,4793,8464,9752,9501,18384,10550,50551,5647,2866,1623,3276,17656,5893,5136,2124,210838
31,6907,3470,4392,3781,2185,8198,6523,8916,9540,10181,6570,11715,9552,8517,16581,12560,42063,2205,4375,5323,3903,4584,7173,2702,2524,204440
32,5888,4193,2327,3020,2628,7187,5005,7431,8658,7975,8862,10226,9149,7489,12247,14772,47604,16294,4184,4209,5502,7292,4019,6123,3395,215679
33,29900,9421,5768,6572,5354,6725,4272,9735,6038,6600,10210,10702,9933,10291,13137,28336,49616,11401,12899,12625,11415,10454,10446,12286,46794,350930
34,20180,7894,2915,1723,6938,5498,6216,3768,6288,4143,5177,6977,9148,6516,35883,62202,34056,11296,8243,10315,10216,6760,5882,9187,20968,308389
35,10074,5587,5522,7490,19733,42841,26044,23066,4491,7892,9198,7250,5475,2877,4045,4031,8390,47596,7091,4026,16023,2519,2102,3846,12088,289297
36,13522,15519,14796,5338,7127,5603,5943,4016,3280,1769,1323,6471,5578,11725,9517,51383,15556,40246,2244,1438,6670,4134,2120,1372,4926,241616
37,12148,8724,10968,4701,1526,4286,2157,3024,3479,2361,411,3930,4628,4411,8281,27002,8799,51705,2755,2224,8443,3153,1757,1447,3119,185439
38,7879,9825,17249,3186,1870,8112,3362,4043,4369,3932,1113,4457,5599,7866,11165,22364,48161,2290,3656,11055,3757,2637,1545,7074,9156,205722
39,3133,2571,3659,1636,1019,4993,2931,4161,2569,971,3694,2035,6751,3880,6220,8149,3044,11421,1281,2811,1049,1019,1563,1259,2688,84507
40,6763,3126,5010,6156,3218,16699,13724,9138,6034,8132,6712,9224,9813,8212,12807,5689,14150,42465,8065,9056,6116,6943,3893,5009,7617,233771
41,6392,5350,7553,3942,2034,10148,15856,13440,8290,8555,7799,9484,12791,12572,16371,4127,56447,7774,6942,5838,31247,8451,5893,4351,4574,276221
42,9496,3466,4328,5552,6070,8471,6058,12838,11269,10038,7972,8763,15032,10375,12406,4636,54932,9502,6867,8146,15488,5939,5068,3910,5502,252124
43,4641,2509,3156,5023,2704,7977,10344,9357,8169,7967,12532,6598,6073,3735,6826,5214,16832,33579,2595,1666,4569,5244,2551,4246,2913,177020
44,4441,3544,5085,3157,5474,5588,12097,7751,9988,9236,7860,8687,8763,6161,10230,6904,8500,47683,2606,4669,3273,5234,3075,3860,4495,198361
45,5881,3745,1557,4595,2845,8490,9564,7526,4966,9820,9344,8355,6738,7929,12244,7603,15887,44148,2317,1860,3634,4875,2409,2173,2146,190651
46,6685,4065,5755,3391,5083,10878,9472,6301,7739,7698,6991,8083,14808,10937,13318,8411,32934,4715,2443,1195,2751,6456,2545,4051,3780,190485
47,8534,4958,4408,2642,3489,5837,6778,7313,5037,5410,7387,8201,8494,8519,12312,8113,48820,3419,1193,950,5270,5216,5099,2867,2839,183105
48,4790,4817,6692,2902,10895,12913,8164,5789,7729,6689,9503,12019,13616,12120,8605,16555,43302,4306,4933,4223,5145,2845,2834,5112,4200,220698
49,9662,3757,5381,2267,8247,6994,6232,9044,6909,9251,6628,8284,11248,14172,10054,18255,40578,24247,5194,4277,3488,3924,4691,4694,6688,234166
50,13217,7469,4642,3784,7599,7953,7675,8045,7506,7402,7208,8017,13071,16715,9443,25559,47479,11079,9670,7818,9263,11617,10891,8499,49783,321404
51,30349,14782,11539,4696,9598,5465,5095,4880,4004,4843,4872,3595,6209,7251,16776,111975,73847,11240,9306,10784,10612,10100,6380,20069,23315,421582
52,17157,9289,3505,10074,5501,6971,6985,10360,13376,14119,52231,34836,35155,23008,23026,29608,23644,17222,5032,6012,11911,5439,4833,6199,7645,383138
53,36779,75742,54682,22221,41451,48738,45873,51643,55078,42272,78021,55438,45546,49923,67255,68416,30521,35446,20883,18487,24421,15883,16195,16501,26111,1043526
54,28386,44851,35352,20670,24901,32929,37009,38911,45467,34387,70437,53210,51331,55909,67381,27249,19843,26514,16734,13975,21747,16828,13554,9991,19621,827187
55,21517,61568,48091,7074,28540,24374,12360,21362,17910,20485,20432,16229,14078,14592,11689,10317,21504,3247,2834,9003,3050,3123,3607,4037,4902,405925
56,6762,17393,11680,7017,14472,28875,10953,13796,10161,16971,11512,10186,11178,7743,6912,6967,37384,9753,3929,5436,7137,6388,7549,4771,16820,291745
57,19197,25426,29924,48364,14538,15306,8380,13196,32860,14420,18676,9531,8527,5698,22683,5895,72195,19609,6881,10377,9632,9674,9140,12428,53799,496356
58,17989,24189,29645,53481,15222,9072,13154,14011,13016,11692,5526,7891,24579,11195,6036,58136,11611,10528,8558,30265,9318,8705,9075,7094,54196,464184
59,12695,34067,30461,40708,19372,23319,13631,8611,10327,15498,5681,14671,8439,13704,12842,62522,16141,7801,12821,21136,21156,10265,7541,8068,48381,479858
60,38887,31082,42383,23741,23899,45940,21082,45935,23179,18265,13065,6115,17458,12634,10508,8265,67074,6339,3436,4215,12598,9289,9280,5275,35149,535093
61,40471,47219,60481,51162,53128,45967,41722,8831,26408,6666,34369,12819,27443,8530,22806,14801,59940,6986,10375,9673,16982,9588,12005,9909,33407,671688
62,68450,42463,70501,39899,19790,15510,44235,9361,32821,14757,21869,10200,28606,16159,23358,17161,48752,11142,8583,10940,14735,12021,7061,11625,33577,633576
63,79130,58947,49581,16971,25455,17316,31061,13622,10107,25729,25659,34346,20882,27054,24336,58172,9300,8562,8309,8717,22582,7911,5388,6349,43397,638883
64,72150,27196,63121,14455,38693,12590,29098,9618,21054,22333,17374,20828,21276,23180,16144,67259,7535,9395,5777,10297,17733,7925,9204,7750,32090,584075
65,62995,21272,55491,19218,46085,14020,37475,19434,18682,39134,32198,28468,17735,25870,28686,51026,5735,5565,8463,7519,14244,6433,5622,4907,38467,614744
66,64262,25927,30146,19669,30395,15616,27566,4314,20684,41244,21166,28387,24696,26617,17847,41372,47854,5159,7960,9762,6713,5304,5584,2953,40581,571778
67,75632,30131,54468,24078,32640,5764,30998,10983,45771,16374,28628,25567,36288,14172,18311,15595,47628,5108,4122,4113,4438,7510,4033,5638,48096,596086
68,28901,25079,25579,8194,13960,10991,16718,7772,23358,14379,16115,5015,13305,4499,10190,8019,43555,17904,16331,17353,9877,17228,15996,15875,15048,401241
69,24501,18494,5624,13137,3051,10624,4974,10502,5076,9400,6640,8237,8445,5568,3627,5526,6745,27141,3047,1617,12640,2130,3689,2685,5753,208873
