node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,dir_7,dir_8,dir_9,dir_10,dir_11,dir_12,dir_13,dir_14,dir_15,dir_16,dir_17,dir_18,dir_19,dir_20,dir_21,dir_22,dir_23,dir_24,dir_25,dir_26,dir_27,dir_28,total
0,47136,42510,19807,19105,9407,14653,12398,9487,7941,22668,33312,22042,26817,9499,29345,29395,11042,22361,90612,19832,23548,13889,15142,12452,32591,10284,12268,11125,34805,665473
1,68473,57664,25343,20995,14834,17750,12031,20759,21048,26622,42555,24448,17839,15603,30877,29385,14324,23826,32586,32124,26113,23049,22958,29020,54995,16400,13900,19005,54548,809074
2,28055,36396,27240,20214,12962,15540,10806,8640,8141,20386,29458,17170,12277,7868,26137,32029,11015,17900,35805,26325,20487,15941,19834,30305,28458,17459,17590,14959,55570,624967
3,6154,9269,13058,14481,11729,11003,8608,8770,9543,9888,10927,3593,8454,10524,8558,8721,11038,9013,26085,26558,16218,16073,13587,26836,39792,8392,10325,13585,10019,380801
4,4792,11678,11446,9167,16770,13662,10969,8395,6285,10788,8255,10560,10200,9558,7445,13915,8447,3397,10561,28484,36840,11455,11642,17728,29435,9678,6218,19878,14239,371887
5,15468,20929,18885,8842,17821,17975,16292,5084,9545,17129,29937,20643,9929,7365,18362,18208,8381,8273,15871,60824,37297,20908,23421,29789,34249,16119,12127,27768,17030,564471
6,7729,11866,13560,11547,11372,14948,18477,7615,5716,7015,9354,4596,4159,3542,5842,5690,5989,7173,7077,34398,46355,31696,10967,11799,35418,6107,5134,18361,16284,379786
7,10216,19601,11243,10142,10543,21102,20071,7978,6830,8942,9720,6288,7396,7178,11112,8556,8021,8380,11631,40148,28707,13331,12245,17083,44034,6573,6313,20837,18292,412513
8,10838,29616,7491,8603,8800,9848,10412,4995,35070,9915,33113,16693,14123,13645,16568,14521,11811,10739,10059,18076,35899,21822,20487,17521,35255,17581,15243,10596,21685,491025
9,17133,26123,11176,7169,6946,6313,5696,5302,19326,10891,31182,16656,12327,12905,19042,14202,13113,11871,6675,35976,23312,17347,35331,24708,25377,30139,21890,18678,19934,506740
10,15139,18518,17711,1740,3139,7028,5158,3041,3406,3846,31718,22602,3050,2247,16027,17748,4134,17140,8637,34228,19586,15513,15846,16755,18297,18350,11951,27790,18329,398674
11,23971,37394,21802,4667,6030,9036,7365,6264,15461,16678,12727,41171,12579,13520,34470,38487,12594,26043,12605,39521,43739,39463,47462,40140,52880,40157,43736,78255,40918,819135
12,23221,28567,22281,5095,5721,4446,7057,4648,7317,9712,17118,22011,10831,11942,31051,33124,14056,28297,15634,38838,17836,20521,17977,24217,35267,37452,16167,36449,20763,567616
13,8728,7390,11184,6509,3695,7097,7944,4723,4681,7325,9770,11191,8182,10745,11947,11773,10808,10629,3781,4691,45111,17351,18978,13024,13932,20006,22952,9976,16242,340365
14,12474,17102,10082,3598,7974,8031,5629,5455,14890,8272,11196,10971,10500,5552,15443,16171,13780,14640,4509,29524,14490,16155,20505,16283,25053,26634,11695,15095,19165,390868
15,42164,34302,32759,11759,11061,11322,9475,9190,9346,13009,20394,26647,17331,10349,11865,33818,16481,34722,39314,19225,28289,30771,27318,34796,26125,25470,30606,46598,27583,692089
16,44943,42271,33406,8399,8495,11159,10680,8902,11609,9145,18821,25756,17181,6133,9413,17880,20956,34139,52587,26439,32542,38108,29000,43520,25955,34136,28242,28280,27550,705647
17,22525,23166,13906,8913,4885,15126,12859,10930,10460,8113,5262,13875,6960,10112,12320,10051,11232,24860,27148,32233,19784,13734,14175,17434,20077,7742,14351,8887,15864,416984
18,52884,50371,21877,8485,5456,11926,9765,12385,5748,7930,17920,20961,14854,8150,10075,18820,19803,11602,49040,37300,20863,11362,14535,19950,35519,10419,10464,14680,26470,559614
19,15278,4409,2820,1491,1211,6953,6872,5504,16121,7646,843,2853,1680,10602,55562,64718,23242,24981,22285,16188,10338,7031,5717,5398,25076,5376,6916,6859,32429,396399
20,19068,7008,7514,14399,5127,26979,44932,8639,10613,9678,23099,17440,19080,22518,23618,66183,48170,22032,20145,16187,13227,11135,11238,16078,29854,8366,10220,9675,35929,578151
21,23986,22723,34348,26790,19586,9016,14123,16006,8733,6072,14757,39996,31280,19662,33461,21616,32588,12603,18778,11728,9807,7793,5150,15606,39169,7912,5506,12791,47690,569276
22,7119,6711,6564,12540,8853,13868,15699,6497,7990,7689,12146,9105,7149,7838,6346,7519,9561,9646,16892,17198,7208,4623,3126,13255,25129,5036,4208,9306,9742,278563
23,4655,8785,7431,3513,15246,16126,13937,5165,8663,7082,10447,3797,5665,5260,5526,5432,6383,5928,9899,27858,15950,4483,6501,8320,32532,4390,4109,19169,9648,281900
24,5698,15268,9877,5879,14411,16407,17891,4246,5062,11204,29736,16697,13380,13571,5989,15454,3251,10889,12908,31042,27630,9668,12132,20276,42541,7749,9979,20110,7401,416346
25,15846,6002,8942,8092,13925,10044,6555,5008,6349,9778,3750,6563,5746,5073,4273,3602,9490,6457,4664,55977,22252,16691,4244,3525,26958,3960,2340,12063,3167,291336
26,15194,7819,5055,8846,15133,12635,8265,4604,5931,7901,7895,5576,4925,7856,1610,2802,7145,8469,6300,39859,13947,4728,4899,6830,29296,5870,3426,14869,10143,277828
27,14954,8210,8931,10582,10268,9240,8383,45061,26409,40017,38590,17959,12311,5198,6152,3489,7607,7057,16306,18470,22306,10465,9493,11254,21710,25871,9578,9327,16872,452070
