node,dir_0,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,dir_7,dir_8,dir_9,dir_10,total
0,9594,7413,15063,8437,1612,10100,4015,6442,3087,5413,5555,76731
1,6980,8562,9492,7135,2480,6192,4390,4695,4902,2081,6671,63580
2,8205,6924,7841,8607,3491,2902,6331,3463,5162,3260,2344,58530
3,3816,4641,4826,6495,3924,3080,9927,2309,5727,3566,4541,52852
4,8722,6968,7076,10986,11340,5826,2717,3039,4580,2254,3141,66649
5,11823,6266,7471,8052,5782,5474,2565,3364,8166,1965,4440,65368
6,12559,5956,6060,8018,6907,10014,3473,2721,8635,4730,4637,73710
7,6490,7869,7164,1738,1134,9376,2081,2933,1743,3097,1801,45426
8,6629,11860,4475,7272,3699,5261,4700,4181,3626,2585,4672,58960
9,4444,9465,2527,5889,6000,3646,4835,4276,3008,2622,3973,50685
10,6139,5592,9885,7726,6529,2690,2521,732,4002,3043,3101,51960
11,4939,5434,4371,2102,6653,3283,2027,617,3830,1493,2477,37226
12,7449,5719,3820,2304,7702,3468,1057,255,4944,1256,2793,40767
13,6001,6116,3176,3280,4017,7159,2441,2693,2807,2405,3631,43726
14,1571,2602,2944,6931,1849,6215,2560,3648,745,463,743,30271
15,5149,5138,3005,3541,2390,3501,1571,2637,1725,3212,1430,33299
16,4149,3838,1770,2486,4663,1594,3997,2080,696,1577,790,27640
17,4008,1969,5992,4164,4420,1168,3496,1347,2980,2131,1058,32733
18,2271,3038,5307,3846,2404,4140,825,403,3643,3391,988,30256
19,2973,3183,2993,2445,6070,4483,1888,788,3453,1010,1183,30469
20,8471,9484,3372,6198,3988,8366,2981,2067,2752,3344,4398,55421
21,3770,1843,1424,4295,264,9742,758,2470,579,858,1294,27297
22,9419,5144,3453,5508,2405,7324,3358,3107,1802,2329,1776,45625
23,6423,1404,3573,4757,1635,1638,5048,3270,2156,2334,1573,33811
24,9129,1884,3700,4982,2748,1039,2125,866,3037,3035,1286,33831
25,5459,4363,4447,4525,7060,4398,1574,1440,2659,937,1600,38462
26,1648,4128,4503,2586,1103,2011,388,149,3299,290,1782,21887
27,4258,4257,5895,3713,6520,5349,2115,1027,2266,4019,3017,42436
28,3101,2451,2682,2536,3311,8218,1445,2305,1181,850,1596,29676
29,7555,4664,6410,1281,899,2761,3344,1475,1564,1895,1858,33706
30,12498,9546,6434,5288,5615,1937,7418,5544,2803,1749,3404,62236
31,8521,6771,6088,4695,5403,2216,3158,868,2831,4532,3255,48338
32,8592,6637,4271,6579,3970,6547,4270,2017,4655,1243,2233,51014
